vertices	faces	crossed_vertices	missing_vertices	valid_faces	degree_signed_area_estimate	min_signed_area_ratio	max_signed_area_ratio	negative_faces	near_zero_faces	sample_class	profile_id	level	steps	max_abs_hamiltonian	initial_max_abs_hamiltonian	active_remaining
162	320	162	0	320	1.0000000000000002	0.5754791107195715	1.5802594073530989	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F01_AM	2	1024	6.005640429407322e-12	3.885780586188048e-16	0
642	1280	642	0	1280	1.0	0.5724301140287522	1.5856318675213925	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F01_AM	3	1024	6.0359495179795886e-12	3.885780586188048e-16	0
2562	5120	2562	0	5120	1.0	0.571678266227767	1.586889883511542	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F01_AM	4	512	9.871226058777438e-11	3.885780586188048e-16	0
2562	5120	2562	0	5120	1.0	0.5716782665764115	1.5868898830321907	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F01_AM	4	1024	6.0359495179795886e-12	3.885780586188048e-16	0
162	320	162	0	320	1.0	0.5669120959138912	1.5571312847284593	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F01_A0	2	1024	1.1102230246251565e-16	1.1102230246251565e-16	0
642	1280	642	0	1280	1.0	0.5635919946545475	1.5612494835600992	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F01_A0	3	1024	1.6653345369377348e-16	1.6653345369377348e-16	0
2562	5120	2562	0	5120	1.0	0.5627723118804313	1.5621931296695277	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F01_A0	4	512	1.6653345369377348e-16	1.6653345369377348e-16	0
2562	5120	2562	0	5120	1.0	0.5627723120096546	1.562193129213338	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F01_A0	4	1024	1.6653345369377348e-16	1.6653345369377348e-16	0
162	320	162	0	320	1.0	0.5585965142888571	1.5346704987673905	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F01_AP	2	1024	4.856115509710435e-13	2.7755575615628914e-16	0
642	1280	642	0	1280	1.0	0.5550226485865493	1.5376056128983078	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F01_AP	3	1024	4.86166662483356e-13	3.3306690738754696e-16	0
2562	5120	2562	0	5120	1.0	0.554139585345874	1.5382533077500407	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F01_AP	4	512	7.796763235035087e-12	3.3306690738754696e-16	0
2562	5120	2562	0	5120	1.0	0.5541395859758395	1.5382533064894688	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F01_AP	4	1024	4.863331959370498e-13	3.3306690738754696e-16	0
162	320	162	0	320	1.0000000000000002	0.5731612655405071	1.5892934291348564	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AM_P05	2	1024	6.045164369083977e-12	4.440892098500626e-16	0
642	1280	642	0	1280	1.0	0.5714446760336394	1.5899013670778688	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AM_P05	3	1024	6.045164369083977e-12	4.440892098500626e-16	0
2562	5120	2562	0	5120	1.0	0.5713479380667024	1.589596772687768	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AM_P05	4	512	9.878675655272673e-11	5.551115123125783e-16	0
2562	5120	2562	0	5120	1.0	0.5713481960916549	1.5895902103527715	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AM_P05	4	1024	6.045164369083977e-12	5.551115123125783e-16	0
162	320	162	0	320	1.0	0.5700629666597011	1.6209535685884955	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AM_P20	2	1024	5.928146862288486e-12	4.440892098500626e-16	0
642	1280	642	0	1280	1.0	0.5685308822908655	1.6250327033551581	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AM_P20	3	1024	6.011635633740298e-12	4.440892098500626e-16	0
2562	5120	2562	0	5120	1.0000000000000002	0.5682960501255453	1.6258730591189172	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AM_P20	4	512	9.844181025897569e-11	5.551115123125783e-16	0
2562	5120	2562	0	5120	1.0	0.5683099463014298	1.6259019624934357	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AM_P20	4	1024	6.0276228452949e-12	5.551115123125783e-16	0
162	320	162	0	320	1.0	0.5646131125621114	1.5656500966849947	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_A0_P05	2	1024	1.7763568394002505e-15	3.3306690738754696e-16	0
642	1280	642	0	1280	1.0	0.5625763801707031	1.5652706994729488	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_A0_P05	3	1024	1.7763568394002505e-15	3.3306690738754696e-16	0
2562	5120	2562	0	5120	1.0	0.5623882501006489	1.5650654569295603	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_A0_P05	4	512	1.4432899320127035e-15	3.3306690738754696e-16	0
2562	5120	2562	0	5120	1.0	0.5623881688652721	1.5650629344840352	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_A0_P05	4	1024	1.887379141862766e-15	3.3306690738754696e-16	0
162	320	162	0	320	1.0	0.5606706702716583	1.6006070570453321	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_A0_P20	2	1024	5.662137425588298e-15	3.3306690738754696e-16	0
642	1280	642	0	1280	1.0000000000000002	0.5593662115981084	1.6022410926845638	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_A0_P20	3	1024	6.106226635438361e-15	3.3306690738754696e-16	0
2562	5120	2562	0	5120	1.0	0.5592600614480493	1.6030548052878901	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_A0_P20	4	512	8.426592756904938e-14	3.3306690738754696e-16	0
2562	5120	2562	0	5120	1.0	0.5592629266887172	1.6030218342816862	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_A0_P20	4	1024	6.994405055138486e-15	3.3306690738754696e-16	0
162	320	162	0	320	1.0	0.5563376196398918	1.542719113744585	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AP_P05	2	1024	5.282441151166495e-13	3.3306690738754696e-16	0
642	1280	642	0	1280	1.0	0.5540012813679801	1.5414083400687608	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AP_P05	3	1024	5.282441151166495e-13	4.440892098500626e-16	0
2562	5120	2562	0	5120	1.0	0.5537251307193548	1.5412918060755603	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AP_P05	4	512	8.482547997346046e-12	4.440892098500626e-16	0
2562	5120	2562	0	5120	1.0	0.5537251188495164	1.541293465900697	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AP_P05	4	1024	5.290767823851183e-13	4.440892098500626e-16	0
162	320	162	0	320	1.0	0.551889110398666	1.5810412614993596	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AP_P20	2	1024	8.306133558733109e-13	3.3306690738754696e-16	0
642	1280	642	0	1280	1.0	0.5507990422918384	1.5816316572248554	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AP_P20	3	1024	8.306133558733109e-13	6.661338147750939e-16	0
2562	5120	2562	0	5120	1.0	0.5505867804907215	1.582508170201383	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AP_P20	4	512	1.3344547689086994e-11	6.661338147750939e-16	0
2562	5120	2562	0	5120	1.0	0.5505843446454626	1.5825340332814597	0	0	OBSERVED_SAMPLED_REGULAR_ORIENTATION_PRESERVING	G68_F02_AP_P20	4	1024	8.306133558733109e-13	6.661338147750939e-16	0
