target	status	evidence	forbidden_promotion
endpoint variation factorization	DERIVED_CONDITIONAL_ON_TRANSVERSE_QUERY	exact P_sigma J identity	physical endpoint selection
criticality type separation	DERIVED	Jacobi rank versus endpoint grazing versus chart degeneracy	one universal caustic rule
S2 regular self-cover theorem	DERIVED_TOPOLOGICAL	covering and simple-connectedness	other topology theorem
axisymmetric twist area neutrality	DERIVED_IN_DECLARED_CLASS	exact determinant independent of psi prime	all angular mixing topology-neutral
F01 whole-sky bijection	DERIVED_CONTROL_THEOREM	constant-curvature optical ball and strict convexity	physical UDT sky
persistent F02 whole-sky regularity	OBSERVED_SAMPLED_REGULAR	three meshes two step counts and direct replay	global proof or physical selection
tapered sign-changing whole sky	BLOCKED_SUPPLIED_PROFILE_NOT_C2_AT_CENTER	exact and numeric one-sided second derivatives	UDT no-go or repaired core
current-control critical branch	NOT_OBSERVED_ON_ELIGIBLE_SAMPLED_CONTROLS	zero missing vertices zero inverted or near-zero faces	global absence of caustics
global symbolic scale	RETAINED_FREE	positive scale preserves degree parity and critical zeros	X_max or universe size
physical CMB source endpoint profile	OPEN_NO_OWNER	G71 through G74 boundaries	CMB prediction
source ensemble	DEFERRED_AFTER_TOPOLOGY	G73 sequence	fit or selector
deep-sky matter bracket	PROPOSED_LATER_OBSERVATIONAL_INPUT	user proposal	primordial source or native mass law
