premise	status	owner	role	forbidden_promotion
Lorentz metric and null cone	pinned-by-THEORY	G68 exact metric definition	query geometry	material signalling law
all 21 G68 profiles	pinned-by-HISTORICAL_CONTROL	PROFILE_UNIVERSE.tsv	complete frozen candidate universe	physical metric selection
observer at r/R=1/4 equator	pinned-by-HISTORICAL_CONTROL	G68 query	control observer event	preferred cosmic observer
complete initial direction sphere	free-and-explored	G74 query	whole-sky domain	selected physical source sky
first outward r/R=1 crossing	pinned-by-HISTORICAL_CONTROL	G68 comparison surface	control endpoint rule	last scattering or X_max
center C2 regularity	pinned-by-THEORY	metric curvature/Jacobi typing	whole-sky admissibility	smoothing or repaired core
R positive and symbolic	free-and-explored	G74 scale covariance	unit-independent topology	physical universe size
c_E	OBSERVED_CALIBRATION	founding metric	clock-length units	branch or endpoint selector
null geodesic generator	CHOSE_QUERY_CONTROL	G67/G68 query	observer-sky relation generator	local material signal
icosphere levels 2 3 4	CHOSE_NUMERIC	G74 preregistration	mesh refinement	physical angular cutoff
RK4 steps 512 1024	CHOSE_NUMERIC	G74 preregistration	time refinement	physical discretization
affine cap 4R	CHOSE_NUMERIC	G74 preregistration	bounded outcome census	physical boundary
source distribution	OPEN_INACTIVE	G71/G73	deferred source ensemble	CMB population
deep-sky survey structure	OPEN_INACTIVE	user observational proposal	later empirical bracket	current selector
X_max SNe bootstrap	WORKING_INACTIVE	current premise ledger	later compatibility or closure	current topology selector
physical CMB observable	OPEN_INACTIVE	G66/G71	later readout	TT TE EE BB prediction
