path	phase_status	reason	candidate_universe_status
AGENTS.md	PERMANENT_ROOT	mandatory operating instructions	OUTSIDE_BY_BASE_DATE_OR_ABSENCE
CANON.md	PERMANENT_ROOT	canon ledger	IN_CANDIDATE_UNIVERSE
CLAUDE.md	PERMANENT_ROOT	binding working charter	IN_CANDIDATE_UNIVERSE
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	PERMANENT_ROOT	governance control	IN_CANDIDATE_UNIVERSE
CROSS_MODEL_VERIFY.md	PERMANENT_ROOT	verification control	IN_CANDIDATE_UNIVERSE
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	PERMANENT_ROOT	foundation status ledger	IN_CANDIDATE_UNIVERSE
HANDOFF.md	PERMANENT_ROOT	startup handoff	IN_CANDIDATE_UNIVERSE
HYGIENE_HEADER_TEMPLATE.md	PERMANENT_ROOT	test-governed evidence template	OUTSIDE_BY_BASE_DATE_OR_ABSENCE
INDEX.md	PERMANENT_ROOT	repository navigation control	IN_CANDIDATE_UNIVERSE
LIVE.md	PERMANENT_ROOT	authoritative current-state control	IN_CANDIDATE_UNIVERSE
MEMORY.md	PERMANENT_ROOT	startup pointer ledger	OUTSIDE_BY_BASE_DATE_OR_ABSENCE
NEGATIVES_REGISTRY.md	PERMANENT_ROOT	premise-scoped negative ledger	IN_CANDIDATE_UNIVERSE
PROBLEM_STATEMENT.md	PERMANENT_ROOT	repository problem control	OUTSIDE_BY_BASE_DATE_OR_ABSENCE
PROVENANCE.md	PERMANENT_ROOT	provenance ledger	IN_CANDIDATE_UNIVERSE
README.md	PERMANENT_ROOT	root public navigation	OUTSIDE_BY_BASE_DATE_OR_ABSENCE
STRUCTURE_HYGIENE.md	PERMANENT_ROOT	test-governed structure control	OUTSIDE_BY_BASE_DATE_OR_ABSENCE
