kind	path	sha256	role
founding	founding.md	7cd593680e9c0e307ef13373058599012b37749f7f9a767bb1922418b388ccf7	W4 exact provisional premise and founding chain
source	udt_g257_gr_quiet_limit_embedding_audit_2026-08-25/AUDIT_REPORT.md	ad4135a3d4dd52bb6c1229695b341957a1066659e00beffd737b7fa2b0c0e82c	W3 quiet comparator status
source	udt_g259_metric_only_parent_operator_fork_classification_2026-08-25/LOVELOCK_NAVARRO_SCOPE.md	5de3467a6b5d3098975157f1363976f9530b6a3a9628650ce0bd463d90a17511	conditional theorem hypothesis map
source	udt_g259_metric_only_parent_operator_fork_classification_2026-08-25/EXACT_DERIVATION.md	b133061497de1d86ff790f9c913fa387a876b49a0ae05a2d726027104232bb16	operator fork and separators
source	udt_g259_metric_only_parent_operator_fork_classification_2026-08-25/DERIVATION_RESULT.json	5a095075fc037ee1498f05a6c7f96d332c74e886a1b0bcbff68453699cb26f7a	machine-readable G259 result
source	udt_g260_gr_quiet_angular_nondiscard_audit_2026-08-25/EXACT_DERIVATION.md	de32fc105dfe9cdbc964959a67c46a0eee58f95566b2df4f2ce115c48b6776da	full-metric angular non-discard theorem
source	udt_g260_gr_quiet_angular_nondiscard_audit_2026-08-25/DERIVATION_RESULT.json	ddc9b6f0ef357cf433d171472e51d49ca7c87352d5464ec4cf2d3349aa429248	machine-readable G260 result
prereg	udt_g261_universal_metric_coupling_parent_operator_ownership_2026-08-25/MAP.md	2b2526f41887b123a8f6e24867a99cc0b270a78d4e5a4001cde341ae75a69c39	whole-frame map
prereg	udt_g261_universal_metric_coupling_parent_operator_ownership_2026-08-25/PREREGISTRATION.md	84ddb739fd5ea790d47b39f46c27e6004af2bb2ecb4a39915124b66e1cdde023	frozen candidates and certification contract
prereg	udt_g261_universal_metric_coupling_parent_operator_ownership_2026-08-25/PREMISE_LEDGER.tsv	a5e7baaa9c2035773812773b20332c71389bc60cb3c84787e67688bfd6c78678	premise scope
