id	object	status	use	open_or_omitted
P01	reciprocal character on supplied ordered depth	DERIVED	endpoint factor algebra	physical observer/event/path-to-depth owner
P02	complete pair pullback before terminal readout	DERIVED_CONDITIONAL	evaluate full B_Q_S_Y_Z data	physical query family and numerical history
P03	co-presence	WORKING	common-solution membership only	signalling and solution selection
P04	metric causal accessibility	DERIVED_CONDITIONAL	time-oriented cone admissibility	material response and global causal completion
P05	unit-slope relational position	CHOSE_PROVISIONAL	use x_over_Xmax_equals_tanh_phi_pair	Xmax value proper length and canonization
P06	endpoint position within each congruent relation family	CHOSE_PROVISIONAL	test exact cycle descent	physical family population and cross-family quotient
P07	six clock-ruler directions	CHOSE_SUFFICIENCY_WITNESS	exact rank-ten reconstruction	unique minimal or physical observer population
P08	profiles Phi_minus and Phi_plus	FREE_AND_EXPLORED	nonuniqueness witness	physical profile law and global extension
P09	a_positive_b_greater_than_a_squared	FREE_OPEN_WITNESS_REGION	separate marked curvature signs	numerical values and observational meaning
P10	regular marked local patch	CHOSE_BOUNDED_REGIME	exact local theorem	singular null cut global and boundary strata
P11	angular_screen_mixing_perturbations	FREE_AND_EXPLORED_OPEN_NEIGHBORHOOD	no-frozen-sector robustness	time-live physical amplitudes and evolution
P12	c_E_and_G_obs	OBSERVED	dimensional-anchor audit	native bridge to density mass curvature or Xmax
