object	status	owner	maximum_statement
complete_pair_pullback	DERIVED_CONDITIONAL	complete_metric_plus_supplied_query	all_orchestra_channels_enter_before_terminal_readout
rank_complete_reconstruction	DERIVED	supplied_known_pair_planes_and_full_pullbacks	unique_metric_values_on_declared_regular_atlas
overlap_carry	DERIVED_CONDITIONAL	genuine_branch_resolved_overlap	presentation_transition_not_new_physics
endpoint_position	CHOSE_PROVISIONAL_PLUS_DERIVED	supplied_congruent_relation_family	tanh_depth_and_Mobius_composition
metric_causality	DERIVED_CONDITIONAL	time_oriented_Lorentz_metric	geometric_accessibility_not_material_signal
coherent_relation_history_equivalence	DERIVED_BOUNDED	rank_complete_valued_relation_atlas	no_second_metric_history_after_values_are_supplied
physical_relation_population	OPEN	none_currently	which_query_sheets_and_branches_are_realized
numerical_profile_or_evolution_law	OPEN	none_currently	which_coherent_valued_network_is_realized
cE_G_absolute_closure	OPEN	observed_anchors_only	cannot_form_length_or_profile_without_more_data_or_law
Xmax_value_and_completion	OPEN	working_frame_only	no_value_wall_center_or_boundary_inferred
