id	corruption	expected	result
K01	promote_metric_and_scalars_to_unique_lift	REJECT	PASS
K02	call_one_line_split_an_ordered_pair	REJECT	PASS
K03	apply_normalized_projector_on_null_stratum	REJECT	PASS
K04	let_hbar_select_a_direction_or_screen_weight	REJECT	PASS
K05	omit_a_preregistered_data_type	REJECT	PASS
K06	duplicate_a_preregistered_data_type	REJECT	PASS
K07	omit_a_causal_or_availability_stratum	REJECT	PASS
K08	change_generic_directional_Lie_span	REJECT	PASS
K09	miss_lambda_one_directional_collapse	REJECT	PASS
K10	promote_spectator_lambda_zero_to_native	REJECT	PASS
K11	promote_generated_rotation_to_force_or_Hopf_physics	REJECT	PASS
K12	select_one_ontology_codomain_without_rule	REJECT	PASS
K13	promote_action_or_variation_domain	REJECT	PASS
K14	remove_physical_screen_dilation_as_gauge	REJECT	PASS
K15	promote_universal_complete_lift	REJECT	PASS
K16	corrupt_a_registered_source_identity	REJECT	PASS
