id	available_data	current_status	question
D00	metric_g_plus_phi_value	ACTIVE_ZERO_JET	can_scalars_and_metric_solder_abstract_pair
D01	metric_g_plus_nonnull_dphi	CONDITIONAL_PROFILE_JET	does_one_line_select_pair_or_only_1plus3_split
D02	metric_g_plus_null_dphi	CONDITIONAL_PROFILE_JET	is_regular_semisimple_lift_available
D03	metric_g_plus_zero_dphi	ALLOWED_PROFILE_STRATUM	is_any_direction_selected
D04	metric_g_plus_supplied_observer_u	CONDITIONAL_RELATIONAL_INPUT	does_clock_axis_select_ruler_axis
D05	metric_g_plus_ordered_orthonormal_u_n	CONDITIONAL_RELATIONAL_INPUT	what_complete_lifts_and_screen_moduli_survive
D06	metric_g_plus_two_independent_covectors	CONDITIONAL_EXTRA_LOCAL_DATA	when_do_they_select_ordered_Lorentzian_plane
D07	metric_g_plus_simple_nondegenerate_bivector	CONDITIONAL_EXTRA_LOCAL_DATA	does_plane_data_select_axes_and_extension
D08	metric_g_plus_Hessian_or_curvature_eigendata	CHOSE_SECOND_JET_COMPARISON	what_choice_and_degeneracy_remain
D09	metric_g_plus_finite_cell_normal_or_seal_lift	OPEN_OR_BRANCH_CONDITIONAL	what_local_data_and_global_selection_are_missing
D10	metric_g_plus_conditional_angular_bundle_data	CONDITIONAL_UNSELECTED	whether_screen_structure_back_selects_pair_lift
D11	metric_g_plus_abstract_pair_representation_only	ACTIVE_FOUNDATION	whether_an_equivariant_solder_exists_without_spacetime_slot
D12	metric_g_plus_c_E_and_G_obs	OBSERVED_SCALAR_ANCHORS	whether_scalar_calibration_changes_directional_rank
D13	metric_g_plus_provisional_hbar	EXTERNAL_SCALAR_NOT_ACTIVATED	whether_action_scale_changes_directional_rank
D14	arbitrary_higher_jet_or_global_functional_data	EXPLICIT_UNBOUNDED_REMAINDER	outside_bounded_atlas_not_silently_excluded
