id	stratum	result	continuation_status
T01	no_directional_tensor	metric_and_scalars_select_no_pair	NO_LIFT
T02	timelike_nonzero_dphi	normalized_clock_line_and_conditional_clock_vs_all_space_1plus3_lift	LOCAL_CONDITIONAL
T03	spacelike_nonzero_dphi	normalized_ruler_line_and_algebraic_one_vs_Lorentz_complement_lift_but_no_clock_line	LOCAL_CONDITIONAL_NOT_CLEAN_PAIR_CODOMAIN
T04	null_nonzero_dphi	no_nontrivial_semisimple_stabilizer_invariant_lift	DEGENERATE
T05	zero_dphi	no_direction_selected	NO_LIFT
T06	dphi_causal_type_change	nonnul_projector_diverges_or_loses_rank_at_interface	NO_REGULAR_UNIVERSAL_CONTINUATION
T07	supplied_observer_without_separation_axis	observer_line_only;conditional_clock_democratic_1plus3_candidate	RELATIONAL_CONDITIONAL
T08	supplied_observer_and_nonzero_orthogonal_separation_axis	ordered_pair_with_one_physical_lambda_modulus	RELATIONAL_CONDITIONAL
T09	coincident_or_collinear_observer_pair	spatial_separation_axis_vanishes	FALLS_BACK_TO_T07
T10	two_direction_Gram_nondegenerate_Lorentzian	ordered_axes_possible_after_role_and_order_are_supplied	CONDITIONAL_D05
T11	two_direction_Gram_degenerate_or_wrong_signature	no_ordered_Lorentzian_clock_ruler_frame	DEGENERATE_OR_WRONG_TYPE
T12	second_jet_simple_spectrum	three_clock_spatial_pairings_survive	CHOICE_DEPENDENT
T13	second_jet_degenerate_or_eigenvalue_crossing	projectors_nonunique_or_discontinuous	NO_REGULAR_UNIVERSAL_CONTINUATION
T14	boundary_normal_only	one_spacelike_line_and_no_invariant_rank_two_projector	NO_COMPLETE_LIFT
T15	conditional_screen_bundle_without_pair_solder	screen_data_does_not_select_clock_ruler_axes	NO_BACK_SELECTION
T16	global_transport_or_cut_locus_required	local_axes_at_distinct_events_need_path_and_holonomy_control	OPEN_GLOBAL
