id	available_data	outcome	physical_moduli_or_obstruction	global_or_source_caveat
D00	metric_g_plus_phi_value	NO_COVARIANT_LIFT_FROM_DATA	full_Lorentz_commutant_is_scalar_identity	phi_value_and_scalar_anchors_break_no_directional_symmetry
D01	metric_g_plus_nonnull_dphi	COVARIANT_LINE_SPLIT_NOT_ORDERED_PAIR	unique_nontrivial_1plus3_involution_after_declaring_entire_complement_the_opposite_character	profile_and_causal_stratum_must_be_supplied;rank_two_pair_not_selected
D02	metric_g_plus_null_dphi	SINGULAR_OR_DEGENERATE_STRATUM	commutant_is_I_plus_nilpotent_with_no_nontrivial_idempotent_or_involution	normalized_projector_is_undefined
D03	metric_g_plus_zero_dphi	NO_COVARIANT_LIFT_FROM_DATA	full_directional_stabilizer_restored	zero_stratum_is_allowed
D04	metric_g_plus_supplied_observer_u	COVARIANT_LINE_SPLIT_NOT_ORDERED_PAIR	clock_democratic_1plus3_candidate_or_unfixed_complement_weight	observer_is_relational_input_and_no_ruler_axis_is_selected
D05	metric_g_plus_ordered_orthonormal_u_n	CONDITIONAL_ORDERED_PAIR_WITH_PHYSICAL_MODULI	one_physical_screen_dilation_lambda;screen_rotation_is_pointwise_Lorentz_gauge	separated_observers_still_require_event_pairing_and_transport
D06	metric_g_plus_two_independent_covectors	CONDITIONAL_ORDERED_PAIR_WITH_PHYSICAL_MODULI	D05_if_order_role_and_Lorentzian_Gram_data_supply_axes	unoriented_plane_or_degenerate_Gram_does_not_select_axes
D07	metric_g_plus_simple_nondegenerate_bivector	NO_FOUNDED_PHYSICAL_LIFT_FROM_PLANE_ALONE	plane_Hodge_generator_is_metric_gauge;founded_self_adjoint_H_requires_axes	bivector_selects_plane_not_clock_ruler_frame
D08	metric_g_plus_Hessian_or_curvature_eigendata	CHOICE_DEPENDENT_DERIVATIVE_LIFT	three_pairings_even_for_simple_spectrum;degeneracies_and_irreducible_curvature_exist	no_native_tensor_or_eigenvalue_priority
D09	metric_g_plus_finite_cell_normal_or_seal_lift	GLOBAL_OR_TRANSPORT_INPUT_REQUIRED	normal_only_is_one_spacelike_line;complete_lifts_are_nonunique	finite_cell_does_not_select_boundary_lift_or_bulk_continuation
D10	metric_g_plus_conditional_angular_bundle_data	GLOBAL_OR_TRANSPORT_INPUT_REQUIRED	screen_plane_or_axes_do_not_back_select_clock_ruler_axes	bundle_periods_caps_and_section_are_conditional
D11	metric_g_plus_abstract_pair_representation_only	NO_COVARIANT_LIFT_FROM_DATA	no_nonzero_equivariant_solder_from_abstract_pair_to_tangent_space	spacetime_slot_remains_open
D12	metric_g_plus_c_E_and_G_obs	NO_DIRECTIONAL_RANK_CHANGE	scalars_leave_every_stabilizer_unchanged	native_dimensional_placement_remains_open
D13	metric_g_plus_provisional_hbar	NO_DIRECTIONAL_RANK_CHANGE	action_scalar_leaves_every_stabilizer_unchanged	quantization_or_period_rule_would_be_an_additional_import
D14	arbitrary_higher_jet_or_global_functional_data	EXPLICIT_UNBOUNDED_REMAINDER	not_classified	no_universal_negative_beyond_bounded_atlas
