sha256	path	source_ref
b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	7851b445:UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md
a15c22901f5f8f9401fb53b04cff23a0b14c3c5f56ac7bb4f3b23882d247669e	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	7851b445:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md
fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	7851b445:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md
0315c99f8f4093fa162139b5ccfcc6bb2f97388d6772269d201b145b5ccde9ab	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/NEXT_STEP.md	7851b445:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/NEXT_STEP.md
eef6633d11a7cce49c527d3560676794fae6ca52036dd9c4ee4b1b92410c1650	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/STATUS_LEDGER.tsv	7851b445:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/STATUS_LEDGER.tsv
b2474b42179107664286c7253c8696feed7c2e15424597d530593e552047a2fd	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXTERNAL_REVIEW.md	7851b445:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXTERNAL_REVIEW.md
62f4fe3ca80987a0642cc36973f87db2764dcf6eee176296c25448bb5f5c6241	udt_reciprocal_calibration_state_solder_audit_2026-08-09/AUDIT_REPORT.md	7851b445:udt_reciprocal_calibration_state_solder_audit_2026-08-09/AUDIT_REPORT.md
8045a1a26727812289fff57e9a958df6fd4ff8e997db6fc3576cbc2b845cb598	udt_reciprocal_calibration_state_solder_audit_2026-08-09/EXACT_DERIVATION.md	7851b445:udt_reciprocal_calibration_state_solder_audit_2026-08-09/EXACT_DERIVATION.md
85554fa11160860280c2ea7fc9415e53e59153b500cdb3ff73b637d9bc5d51c1	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/AUDIT_REPORT.md	7851b445:udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/AUDIT_REPORT.md
eabfad044b0caf404a7bfab8dfa2462e3a68cf7a578e67451c86baf8b95aa71a	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	7851b445:udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md
ed8f3039a2946a3bcde6400d166d730df4d9c444554a4e0846fcc51d500e46f9	udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	7851b445:udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md
ce96774a1dcdefb690f716a6c69aa6cdf5c155e6cff051137f8efe9b0eb1a77c	udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md	7851b445:udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md
0995eaa36f5281c0dcd1662b6050950476e1ca992f59e18840ec9dc9aca0da60	udt_founding_observer_comparison_semantics_audit_2026-07-27/EXACT_ADJUDICATION.md	7851b445:udt_founding_observer_comparison_semantics_audit_2026-07-27/EXACT_ADJUDICATION.md
3a81c5c5b6c23218d9bfe26135c6b8225e0e41235aac712dfbdae5b53b4006fe	udt_native_reciprocal_comparison_bundle_audit_2026-07-27/EXACT_DERIVATION.md	7851b445:udt_native_reciprocal_comparison_bundle_audit_2026-07-27/EXACT_DERIVATION.md
7e03ef2631908a1e26c636bb9beb7410bdc534c9fde1e15d37eb9de5efadf29d	udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md	7851b445:udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md
40aac5529d0bd36d5b3aac0051cfdf1870d4fea27d14e1a66825048870941bed	udt_native_global_coframe_definition_audit_2026-07-28/EXACT_DERIVATION.md	7851b445:udt_native_global_coframe_definition_audit_2026-07-28/EXACT_DERIVATION.md
79d07c9fea46ef2b00757f412c5701ec3e748b6bfde5a5d137423379f4e06f0d	udt_complete_coframe_extension_solvability_audit_2026-08-04/EXACT_DERIVATION.md	7851b445:udt_complete_coframe_extension_solvability_audit_2026-08-04/EXACT_DERIVATION.md
32fadafc5b336a35aae10bc7c24e98c27bbd64e03d43d42bbd9f1a6a8f3d932c	udt_xmax_asymptotic_limit_frame_correction_2026-08-05/AUDIT_REPORT.md	7851b445:udt_xmax_asymptotic_limit_frame_correction_2026-08-05/AUDIT_REPORT.md
c6776f7f049a803128752a7ccaef4f4dfc0724ac5c5b8e408613bc354ba7a4f0	CURRENT_SCIENTIFIC_PREMISES.tsv	7851b445:CURRENT_SCIENTIFIC_PREMISES.tsv
7dfc9dcc1015613a4ce1dcc38b76981e1298244e1d6bd11d0cbc93b0aeb6f16a	CURRENT_RESEARCH_PROGRAM.md	7851b445:CURRENT_RESEARCH_PROGRAM.md
