candidate_id	family	axis_id	axis	disposition	derived_or_supplied	result	merit_filter
P01	orthogonal_exponential_fermi_tube	A01	typing	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	metric plus ordered worldline query	F(tau,s)=Exp_zA(tau)[s n(tau)] is a lawful local pair map on its regular domain	NONE_CHARACTERIZE_ONLY
P01	orthogonal_exponential_fermi_tube	A02	ownership	CONDITIONAL_QUERY_DATA	worldlines event pairing and branch supplied	bare ordered events do not own the worldline family or simultaneity rule	NONE_CHARACTERIZE_ONLY
P01	orthogonal_exponential_fermi_tube	A03	local_existence_uniqueness	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	unique regular A-orthogonal spacelike branch declared	implicit and normal-neighborhood construction is locally unique under the declared regularity	NONE_CHARACTERIZE_ONLY
P01	orthogonal_exponential_fermi_tube	A04	complete_metric_dependence	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	full Exp and pullback metric	all complete metric sectors enter the Jacobi columns of the pullback	NONE_CHARACTERIZE_ONLY
P01	orthogonal_exponential_fermi_tube	A05	calibration_propagation	CONDITIONAL_QUERY_DATA	A proper time affine ruler and event pairing supplied	origin is calibrated but off-origin tape depends on the supplied observer relation	NONE_CHARACTERIZE_ONLY
P01	orthogonal_exponential_fermi_tube	A06	covariance	DERIVED_FROM_METRIC_AND_DECLARED_QUERY	geometric Exp pullback and proper parameters	diffeomorphism and endpoint-frame covariant on the declared branch	NONE_CHARACTERIZE_ONLY
P01	orthogonal_exponential_fermi_tube	A07	intermediate_composition	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	independently rebuilt tubes versus carried tube state	pair surfaces do not have a canonical binary composition through B	NONE_CHARACTERIZE_ONLY
P01	orthogonal_exponential_fermi_tube	A08	signed_depth_cocycle	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	calibration transition through B not owned	terminal values compose only on one carried tape or an enriched calibrated-arrow groupoid	NONE_CHARACTERIZE_ONLY
P01	orthogonal_exponential_fermi_tube	A09	degenerate_strata	LOCAL_ONLY_BRANCH_VALUED	cut locus conjugate point rank loss null clock	regular branch ends or becomes a family with no silent continuation	NONE_CHARACTERIZE_ONLY
P01	orthogonal_exponential_fermi_tube	A10	global_continuation	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	global hyperbolicity topology and branch rules not supplied	no universal global tube follows from local normal geometry	NONE_CHARACTERIZE_ONLY
P01	orthogonal_exponential_fermi_tube	A11	maximum_interpretation	CONDITIONAL_QUERY_DATA	complete ordered worldline query required	strong local candidate map not a universally selected physical tape	NONE_CHARACTERIZE_ONLY
P02	complete_coframe_two_plane_integral_surface	A01	typing	CONDITIONAL_QUERY_DATA	physical reciprocal two-plane distribution supplied	an Sigma equals the declared rank-two distribution only on integral leaves	NONE_CHARACTERIZE_ONLY
P02	complete_coframe_two_plane_integral_surface	A02	ownership	OPEN_NOT_DECIDED_BY_CURRENT_FOUNDATION	physical coframe split and leaf not selected	complete coframe presentation alone does not own one invariant plane	NONE_CHARACTERIZE_ONLY
