item	status	use_in_G295	forbidden_promotion
F1_F4_reciprocal_metric	DERIVED_OR_DECLARED_AS_IN_FOUNDING	state and primary-reduction guard	value or history law
W1_completed_pair	WORKING_FOUNDATIONAL_CLARIFICATION	complete pair state after angular screen mixing	canon or dynamics
W5_projective_position	WORKING_FOUNDATIONAL_CLARIFICATION	projective readout remains downstream	proper distance scale or history
W6_nonsignalling_copresence	WORKING_FOUNDATIONAL_CLARIFICATION	nonpropagating membership versus metric-causal response typing	constraint formula update global now or history
G274_frame_carry	DERIVED_CONDITIONAL_ON_SUPPLIED_PATH	full nonradial composition guard	path independence
G284_metric_cones	DERIVED_CONDITIONAL_RECONSTRUCTION	causal sparsity mask	response operator or selected tide
G286_future_twins	BOUNDED_DERIVED_COUNTERMODEL	nonidentity discriminator	no-go against stronger law
G290_G292_screen_geometry	DERIVED_CONDITIONAL_ON_SUPPLIED_SCREEN	full-state and topology controls	continuous propagation or history selection
finite_linear_models	MATHEMATICAL_METHOD_ONLY	tangent architecture classifiers	UDT field equation
time_slicing	FREE_AND_NOT_ADOPTED	conditional constraint/update factorization only	global now or preferred foliation
constraint_operator	FREE_AND_EXPLORED	classify compatibility and nonidentity	owned UDT law
update_operator	FREE_AND_EXPLORED	classify causal support and propagation	owned UDT law
initial_boundary_data	OPEN	separate realized member from law family	founding derivation
observations	OMITTED	outcome blindness	calibration or selection
