id	statement	status	role	forbidden_promotion
P01	On supplied ordered depth the reciprocal squeeze is determinant one and additive	DERIVED	Longitudinal evaluator	Does not assign depth to events
P02	The complete metric pullback enters before terminal reciprocal readout	DERIVED_CONDITIONAL	Pair evaluator	Does not select a physical pair or history
P03	W5 identifies physical normalized pair position with complete screen-retaining projective state	WORKING_FOUNDATIONAL_CLARIFICATION	Existing provisional interpretation	Not canon proper radar optical or areal distance
P04	Candidate complete-separation clarification includes the completed pair and its neighboring tidal germ	CANDIDATE_WORKING_FOUNDATIONAL_CLARIFICATION	Object under audit	Must not be called adopted or derived before adjudication
P05	G280 admits equal endpoint scalar/W5 state with different Jacobi area	EXTERNALLY_REVIEWED_DERIVED_CONDITIONAL	Descriptor separator	Does not by itself prove equal complete separation
P06	G282 admits equal central metric first jet connection and endpoint state with different curvature/Jacobi response	EXTERNALLY_REVIEWED_DERIVED_CONDITIONAL	Jet-level separator	Does not by itself select either witness
P07	G283 admits arbitrary smooth symmetric tidal values through all owned compatibility identities	EXTERNALLY_REVIEWED_DERIVED_CONDITIONAL	Value-nonselection control	Does not prove no future UDT principle can select
P08	G284 reconstructs the tidal matrix from neighboring cone variation	EXTERNALLY_REVIEWED_DERIVED_CONDITIONAL	Causal-germ faithfulness control	Reconstruction is not value propagation
P09	c_E is an observed local clock/ruler calibration	OBSERVED	Local cone calibration	Not an absolute distance or independent history law
P10	No observation fit source action field equation scale Xmax or protected work may enter	PINNED_BY_SCOPE	Purity gate	No hidden imported selection
