stratum	constraint_layer	status	forcing_identity_or_citation	scope_stamp
E02full(7)	C1	CONDITIONAL	well-posed only given supplied base/angular split (T1_split_stabilizer_dim2: only so(1,1)+so(2) preserves upper-right-zero); given split+fixed H the class-as-a-set is so(2)-stable in full-K form, but the triangular presentation has stabilizer {0} (T1_triangular_chart_stabilizer_zero) so the registered chart is a gauge section, not covariant	registered chart; pointwise one-parameter class; connected local Lorentz algebra
E02full(7)	C2	SURVIVES_WITH_MODULI	moduli (a,b,d,C)=7; strict class-closure FAILS at total phi=0 (T2_nonclosure_witness_*); off that locus composition closes only with HISTORY-DEPENDENT moduli (BCH in L8, T2_L8_is_lie_algebra; cocycle T3_general_C_cocycle); constant-modulus global assignment requires identical member per segment	one-parameter segments, exact finite forms; global assignment = J07/J11-typed open datum
E02full(7)	C3	CONDITIONAL	supplied reciprocal swap gives lambda=0 ONLY in diagonal subfamily; in full class two mixing freedoms remain (udt_metric_natural_complete_extension_selector_audit_2026-07-27/AUDIT_REPORT.md, Result first); no banked gate acts on b or fixes C	conditional on supplied swap structure; not Lorentz holonomy; cross-branch splice forbidden
E02full(7)	C4	SURVIVES_WITH_MODULI	J05 SATISFIABLE_IN_PRINCIPLE (finite exp on all 4 slots, T3_general_C_finite_form); J06 SATISFIABLE_IN_PRINCIPLE (all 7 moduli explicitly retained); J07 SATISFIABLE_IN_PRINCIPLE only with supplied overlap cocycle data (T3), VIOLATED_IF_IMPOSED as one-chart-global; J10 SATISFIABLE_IN_PRINCIPLE as equivariant family, VIOLATED_IF_IMPOSED as fixed invariant member (scalar-only centralizer, 07-26); J11 VIOLATED_IF_IMPOSED with constant moduli (T2/T3 witnesses), satisfiable with cocycle transport; J13 SATISFIABLE_IN_PRINCIPLE (strata distinguished by structure, no merit pick); J15 SATISFIABLE_IN_PRINCIPLE (moduli reported)	typing of JOINT_OPERATION_OBLIGATIONS.tsv (2026-07-28) against Stage-1 algebra only
E03(6,det-one)	C1	CONDITIONAL	its trace part tr X = a+d = 0 is the UNIQUE stratum condition invariant under the FULL so(1,3) (T1_trace_condition_fully_invariant); the rest of its presentation is split-relative like E02full; triangular presentation stabilizer {0}	trace condition covariant everywhere; block presentation split-relative
E03(6,det-one)	C2	SURVIVES_WITH_MODULI	6 moduli; non-abelian (T2_K_bracket_nonabelian_witness); det-one is composition-stable (det multiplicative; bracket traceless) but the same total-phi=0 non-closure witness lies inside E03 (E03-internal witness [N-5 repaired]: det-one members (a,d)=(1,-1) and (-1,1) give product base=I with screen block diag(e^{2phi},e^{-2phi}) != I at total phi=0; base-identity argument member-independent; verifier check E3_E03_internal_witness)	same as E02full; det-one preserved by products
E03(6,det-one)	C3	CONDITIONAL	SO(3)/SO+(1,2) gates force isotropic members lambda=+1/-1 which have a+d = +2/-2 != 0: supplied observer/ruler reductions force OUT of det-one (07-27 audit table; 07-28 no-go reduced-structure table); swap-forced lambda=0 point (spectator) lies IN E03	each gate conditional on its supplied structure; the two +-1 gates belong to different supplied global structures (no splice)
E03(6,det-one)	C4	SURVIVES_WITH_MODULI	J05 SATISFIABLE_IN_PRINCIPLE; J06 SATISFIABLE_IN_PRINCIPLE (moduli retained); J07/J11 as E02full (VIOLATED_IF_IMPOSED with constant moduli / one-chart-global, satisfiable with cocycle data); J10 as E02full; J13 SATISFIABLE_IN_PRINCIPLE; J15 SATISFIABLE_IN_PRINCIPLE	typing only
E04(4,transverse-invariant)	C1	CONDITIONAL	given split+H, E04 (K=0, C free) is exactly so(2)-stable (T1_E04_stabilizer_so2, dim 1); not full-so(1,3) covariant (split-relative); triangularity vacuous here	split-relative; so(2)-covariant within split
E04(4,transverse-invariant)	C2	SURVIVES_WITH_MODULI	4 mixing moduli; non-abelian: [X_C1,X_C2]=[[0,0],[(C1-C2)H,0]] (T3_first_order_C_bracket); finite composition = affine cocycle C2*M(phi2)*e^{phi1 H}+C1*M(phi1) (T3_general_C_cocycle); class form recoverable only off total phi=0 with history-dependent Cbar; residual (C1-C2)*M(phi1) at phi-total=0	exact finite forms; global assignment J07/J11-typed
E04(4,transverse-invariant)	C3	CONDITIONAL	imposing E04's defining condition (unchanged transverse metric) is NOT a current UDT consequence (udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md: joint rank seven of the two extra spectator premises, "not current UDT consequences"); swap gate leaves two mixing freedoms in full class (07-27) i.e. does not close E04's C block	conditional on supplying transverse invariance as a premise
E04(4,transverse-invariant)	C4	SURVIVES_WITH_MODULI	J05 SATISFIABLE_IN_PRINCIPLE; J06 VIOLATED_IF_IMPOSED (imposing transverse invariance = assuming part of the named false pass "spectator screen isotropy assumed"; retained-as-modulus reading SATISFIABLE); J07 SATISFIABLE_IN_PRINCIPLE with cocycle data (the T3 law IS the required transition-datum type), VIOLATED_IF_IMPOSED as one-chart-global; J10 as family only; J11 VIOLATED_IF_IMPOSED with constant C; J13 SATISFIABLE_IN_PRINCIPLE; J15 SATISFIABLE_IN_PRINCIPLE	typing only
E05(3,no-mixing)	C1	CONDITIONAL	given split+H, so(2)-stable ONLY in chart-free full-K form (T1_E05_fullK_stabilizer_so2, dim 1); triangular presentation stabilizer {0} (T1_E05_triangular_stabilizer_zero)	split-relative; triangular chart a gauge artifact
E05(3,no-mixing)	C2	SURVIVES_WITH_MODULI	3 moduli; non-abelian in b (T2_K_bracket_nonabelian_witness); total-phi=0 witness lives here (T2_nonclosure_witness_*); off that locus closes with BCH/renormalized moduli	exact witness; J07/J11-typed global datum
E05(3,no-mixing)	C3	CONDITIONAL	imposing no-mixing is NOT a current UDT consequence (07-26 audit, same sentence as E04); SO(3)/SO+(1,2) gates force its isotropic members a=d=+1/-1 conditionally (07-27/07-28)	conditional on supplied structures as cited
E05(3,no-mixing)	C4	SURVIVES_WITH_MODULI	J05 SATISFIABLE_IN_PRINCIPLE; J06 VIOLATED_IF_IMPOSED (no-mixing assumed rather than derived; as retained moduli SATISFIABLE); J07/J10/J11 as E02full; J13 SATISFIABLE_IN_PRINCIPLE; J15 SATISFIABLE_IN_PRINCIPLE	typing only
E06(0,spectator)	C1	CONDITIONAL	[lam,X0]=0 iff lam in span(R23) (T1_E06_stabilizer_so2, dim 1 = cited lambda=0 centralizer dim); so(2)-fixed point given split+H, but pointwise full-frame invariance impossible (scalar-only centralizer, 07-26 full-frame correction)	split-relative; equivariant-not-invariant under full frame
E06(0,spectator)	C2	SURVIVES_WITH_MODULI	no moduli; the ONLY stratum whose exponential set is a closed one-parameter subgroup (abelian, single member; banked E02-record spectator_composition)	closure trivial; unique in THIS respect only (F-D guard: uniqueness quantified over closure property, not physicality)
E06(0,spectator)	C3	CONDITIONAL	supplied reciprocal swap forces lambda=0 = E06 ONLY within the diagonal subfamily (07-27: "swap gives lambda=0 only inside the extra diagonal subfamily; in the full class it leaves two mixing freedoms"); E07/E08 countermodels refute unconditional spectator uniqueness (banked E02 record)	conditional on supplied swap + diagonal-subfamily restriction; NOT unconditional
E06(0,spectator)	C4	CONDITIONAL	J05 SATISFIABLE_IN_PRINCIPLE (acts on all slots, trivially on screen); J06 VIOLATED_IF_IMPOSED (imposing E06 = the NAMED false pass "spectator screen isotropy assumed"); J07 SATISFIABLE_IN_PRINCIPLE (no moduli to transport); J10 SATISFIABLE_IN_PRINCIPLE under split (so(2)-fixed), VIOLATED_IF_IMPOSED pointwise-full-frame; J11 SATISFIABLE_IN_PRINCIPLE (closed subgroup); J13 VIOLATED_IF_IMPOSED (preferring E06 for GR-likeness = merit pick); J15 VIOLATED_IF_IMPOSED (promoting the E06 witness to unique law = the named false pass; unique only in stronger class)	typing only
diagonal-subfamily(b=0,C=0)	C1	NOT_WELL_POSED_POINTWISE	as an so(2)-covariant condition the (a,d) plane is a CHART SECTION: [R23,diag(-1,1,a,d)] leaves the subfamily off a=d (T1_diagonal_subfamily_not_so2_stable); invariant content = (tr K, det K, antisym part) (T1_so2_invariants_tr_det_antisym), i.e. the pair (lambda, |k|)	well-posed only as a gauge-fixed section or via its invariants
diagonal-subfamily(b=0,C=0)	C2	SURVIVES_WITH_MODULI	abelian (T2_diagonal_subfamily_abelian): zero BCH obstruction; composition closes off total phi=0 with phi-weighted-mean modulus (T2_diagonal_composition_renormalized_modulus); constant modulus survives iff all segments equal (T2_diagonal_modulus_shift_vanishes_iff_equal)	exact; affine-renormalization failure at total phi=0 remains
