unit_id	package	exploded_claim_count	clause_source_stamp_count	source_anchor_group_count	semantic_premise_profile_count	clause_source_stamps	shared_source_premise_ids	semantic_premise_ids	source_anchor_ranges	domain_and_premises	quantifier_guard	epistemic_labels	excluded_or_open_scope	primary_evidence	audit_result
P4-00	udt_p4_variation_domain_map_2026-07-28	4	4	3	1	P4-00:map_scope:cf16dd688966|P4-00:map_scope:cf16dd688966|P4-00:premise_ledger:c2538157759c|P4-00:owner_sequence:7f841ecb0fcb	P4-00:map_scope|P4-00:owner_sequence|P4-00:premise_ledger	SEM:9104e0b89717c370	udt_p4_variation_domain_map_2026-07-28/MAP.md:1-6|udt_p4_variation_domain_map_2026-07-28/MAP.md:100-109|udt_p4_variation_domain_map_2026-07-28/MAP.md:54-65	MAP-only variation-domain framing; owner clearances are operational facts	MAP_ONLY; L1-L8 explicitly OPEN/CHOSE/THEORY	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	a derived response, selected domain, action, or physics	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-01	udt_p4_routeB_extension_selection_2026-07-28	2	2	1	2	P4-01:survival_and_k4:61e3547e3020|P4-01:survival_and_k4:61e3547e3020	P4-01:survival_and_k4	SEM:9a32e230b9141775|SEM:b75b811114b4eaaf	udt_p4_routeB_extension_selection_2026-07-28/AUDIT_REPORT.md:17-39	registered positive-triangular chart, pointwise one-parameter off-shell E02 family	FOR_ALL_MEMBERS_OF_REGISTERED_CHART_CLASS; supplied reduction gates remain conditional	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	global assignment, dynamics, or a selected extension	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-02	udt_p4_routeC_shared_static_sector_2026-07-28	3	3	1	2	P4-02:pair_scoped_inequivalence:206204321c21|P4-02:pair_scoped_inequivalence:206204321c21|P4-02:pair_scoped_inequivalence:206204321c21	P4-02:pair_scoped_inequivalence	SEM:11e4e57750eb6e89|SEM:f304365ca6fae14b	udt_p4_routeC_shared_static_sector_2026-07-28/AUDIT_REPORT.md:18-42	CHOSE stationary R x T2 local-toric comparison domain and the conditional C2/Bach versus EH+Lambda pair	EQUATION_SET_INEQUIVALENCE; NOT_EMPTY_COMMON_SOLUTION_SET	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	absence of all common solutions or a verdict on other actions/domains	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-03	udt_p4_routeA_response_inverse_problem_2026-07-29	6	6	2	2	P4-03:posed_domain:be6859486b5d|P4-03:posed_domain:be6859486b5d|P4-03:posed_domain:be6859486b5d|P4-03:posed_domain:be6859486b5d|P4-03:equivariant_family:cfc89224156e|P4-03:equivariant_family:cfc89224156e	P4-03:equivariant_family|P4-03:posed_domain	SEM:66bb2e612b1b8a18|SEM:75bb73710de64bae	udt_p4_routeA_response_inverse_problem_2026-07-29/AUDIT_REPORT.md:21-41|udt_p4_routeA_response_inverse_problem_2026-07-29/AUDIT_REPORT.md:61-72	typed Stage-1 registered domain; 16 census objects include fields, anchors, forks, gauge, and chart structure	POSED_PROBLEM; POINTWISE_REGISTERED_CLASS; R11_PER_ROW_AND_STATUS_ROW_SEPARATE	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	a metric-derived exhaustive physical field census or selected response law	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-04	udt_gr_analog_reconnaissance_2026-07-29	4	4	2	1	P4-04:map_counts_shortlist:55699927d129|P4-04:map_counts_shortlist:55699927d129|P4-04:map_counts_shortlist:55699927d129|P4-04:import_ban:2cccdc506ced	P4-04:import_ban|P4-04:map_counts_shortlist	SEM:6f75c899b4c07612	udt_gr_analog_reconnaissance_2026-07-29/AUDIT_REPORT.md:15-22|udt_gr_analog_reconnaissance_2026-07-29/AUDIT_REPORT.md:24-40	reference-map scope only	MAP_ROWS_NOT_MATHEMATICAL_RESULTS	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	independent validation of the imported GR techniques or any UDT answer	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-05	udt_p4_routeA_stage2_pointwise_reduction_2026-07-29	6	6	2	2	P4-05:rpw_structure:ffcbfecad398|P4-05:rpw_structure:ffcbfecad398|P4-05:rpw_structure:ffcbfecad398|P4-05:rpw_structure:ffcbfecad398|P4-05:rpw_structure:ffcbfecad398|P4-05:eh_member:c8222aa7ed62	P4-05:eh_member|P4-05:rpw_structure	SEM:0280737c72ba4976|SEM:77c68988f31ecb55	udt_p4_routeA_stage2_pointwise_reduction_2026-07-29/AUDIT_REPORT.md:30-67|udt_p4_routeA_stage2_pointwise_reduction_2026-07-29/AUDIT_REPORT.md:82-92	stationary registered chart, declared jet<=2 alphabet, off degeneration strata and cut by derived on-stratum identities	EXACT_WITHIN_ORDER_BOUND; DEEPER_RESONANCE_NOT_EXHAUSTED	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	all-jet/global/on-shell completeness or selection of the EH-form	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-06	udt_p4_routeA_stage3_gate_cut_2026-07-29	3	3	2	2	P4-06:gate_cut:0e4001d55592|P4-06:resonance_queue:907a49b63659|P4-06:resonance_queue:907a49b63659	P4-06:gate_cut|P4-06:resonance_queue	SEM:b0d10ff08b6c35b2|SEM:d42c3c0cf2f28152	udt_p4_routeA_stage3_gate_cut_2026-07-29/AUDIT_REPORT.md:111-130|udt_p4_routeA_stage3_gate_cut_2026-07-29/AUDIT_REPORT.md:22-41	declared pointwise gate cut on R_PW	BOUNDED_GATE_CENSUS; RESONANCE_CONTACTS_PENDING	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	the queued resonance-locus census or whole-solution closure	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-07	udt_p4_routeA_slice2_solution_legs_2026-07-29	4	4	2	3	P4-07:quadratic_atlas:3825029d21ca|P4-07:integrated_bootstrap:1310fb56fb9d|P4-07:integrated_bootstrap:1310fb56fb9d|P4-07:integrated_bootstrap:1310fb56fb9d	P4-07:integrated_bootstrap|P4-07:quadratic_atlas	SEM:3022ba39e76b96ed|SEM:78490750f8a4b315|SEM:dfb90e4a9f274449	udt_p4_routeA_slice2_solution_legs_2026-07-29/AUDIT_REPORT.md:28-41|udt_p4_routeA_slice2_solution_legs_2026-07-29/AUDIT_REPORT.md:43-61	fiberwise-quadratic p-unmixed stationary slice and integrated pairing branch	EXISTENCE_WITHIN_REGISTERED_QUADRATIC_CLASS	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	a universal solution atlas, physical mass, or pointwise-pairing result	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-08	udt_p4_routeA_slice2b_full_cell_2026-07-29	5	5	3	5	P4-08:full_cell:d5c942c6b050|P4-08:mass_definitions:b6aeb02857fa|P4-08:mass_definitions:b6aeb02857fa|P4-08:none_promoted:834cc689e47e|P4-08:none_promoted:834cc689e47e	P4-08:full_cell|P4-08:mass_definitions|P4-08:none_promoted	SEM:298fb2b002ad52fa|SEM:62184aa5a6bdd185|SEM:bb902b9ecd25c427|SEM:c6de63722a9ae4bc|SEM:f276967eccef1d65	udt_p4_routeA_slice2b_full_cell_2026-07-29/AUDIT_REPORT.md:23-48|udt_p4_routeA_slice2b_full_cell_2026-07-29/AUDIT_REPORT.md:3-9|udt_p4_routeA_slice2b_full_cell_2026-07-29/AUDIT_REPORT.md:91-100	registered full-cell response class with branch-labeled conditional mass definitions	FULL_CELL_MEANS_CELL_PROFILE_WITHIN_DECLARED_RESPONSE_CLASS; MASS_IS_DEFINITIONAL	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	physical mass ownership or all response/action classes	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-09	udt_p4_bookkeeping_forcing_2026-07-29	4	4	2	1	P4-09:census_reduction:1a1ec5e881c3|P4-09:census_reduction:1a1ec5e881c3|P4-09:fork_open:88b6bc220704|P4-09:fork_open:88b6bc220704	P4-09:census_reduction|P4-09:fork_open	SEM:6e347b277b3350f2	udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md:22-48|udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md:94-105	banked tangent dimensions, enumerated pairings, stationary jet<=2 footing	REDUCTION_WITHIN_DECLARED_PAIRING_CLASS	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	a metric derivation of the census choice or the unrun field-response exhaustion	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
