record_id	cluster	independence_label	method_or_command	status	residual_or_count	evidence_and_limit	raw_output
IR01	inverse-domain/response	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: independent linear-system commutant solve	PASS	rank=15,nullity=1	A Lorentz-invariant 4x4 generator is scalar; the founded reciprocal generator is not.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR02	inverse-domain/response	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: independent signed-diagonal SO+(1,3) enumeration	PASS	[(1, -1, -1, 1), (1, -1, 1, -1), (1, 1, -1, -1), (1, 1, 1, 1)]	The signed-diagonal orthochronous determinant-one residual has four elements (K4).	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR03	inverse-domain/response	INDEPENDENT_PARSER_OR_REGRESSION	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: independent comment-aware TSV count	PASS	16	The registered Stage-1 census contains 16 objects, including supplied/open structure, not 16 physical fields.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR04	Noether cut	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: fresh 4x4 commutator projected to triangular-chart tangent	PASS	0	Screen rotation is chart-tangent only at k_mod=0 and yields the banked codimension-one identity.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR05	seam/wall coefficients	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: direct chain-rule variation	PASS	0	At phi=0 the delta-phi wall coefficient is -c_E B_Q.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR06	seam/wall coefficients	INDEPENDENT_PARSER_OR_REGRESSION	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: solve independent two-coefficient jump equations	PASS	[{B_Q: 0, B_rho: q/2}]	For nonzero c_E, the banked flux-seal plus glue jump pins B_Q=0 and B_rho=q/2 at the realized N=2 germ.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR07	period/real-vs-circle	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: abelianization of r T r^-1=T^-1	PASS	[0]	A real or integer additive period on the D_infinity translation is killed by reflection conjugacy.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR08	period/real-vs-circle	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: nonnegative-sum theorem plus exact witnesses	PASS	sum_i E_i L_i=0 with E_i>=0,L_i>0 implies each E_i=0	Uniform all-definite cyclic rings are massless only under the stated positivity and cyclic-period premises.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR09	period/real-vs-circle	GENUINELY_DIFFERENT_METHOD	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: direct target-kernel comparison	PASS	ker(exp:R->R+)={0}; ker(exp(i.):R->U1)=2pi Z	Integers arise from a compact target kernel, not from compact source topology alone.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
IR10	period/real-vs-circle	INDEPENDENT_PARSER_OR_REGRESSION	python3 udt_p4_cold_adversarial_review_2026-08-01/independent_recompute.py :: fresh TSV schema/count parser	PASS	rows=20 unique=20	The period-gate recovery target has 20 distinct rows.	INDEPENDENT_RECOMPUTATION_RAW.jsonl
