unit_id	path	git_blob	sha256	size_bytes	role
CONTROL	AGENTS.md	3be47d05d7c5db93ed6b6b600c8fd02663dd5bbf	4475c69c0c9b20b12292e51685170d5db59c0243251bd0750f164ed0813cc3f3	20900	CONTROL_OR_CROSS_CUTTING
CONTROL	CANON.md	ad53786250f6ec8a4740d9068e08d48e384999e3	f9ee32e2473b44407a813929e10547f66e378516e856697a7bca2226d9ef370b	36956	CONTROL_OR_CROSS_CUTTING
CONTROL	CURRENT_SCIENTIFIC_PREMISES.md	1a25dc1d354e0065c527374767f11aa9d06d62de	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	2493	CONTROL_OR_CROSS_CUTTING
CONTROL	CURRENT_SCIENTIFIC_PREMISES.tsv	f923b077483c2d2ab5fde2697a6e63649d027dc6	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f	6798	MACHINE_OR_RAW_EVIDENCE
CONTROL	HANDOFF.md	b278f92c8d0afdc32777bcb136a719e342816174	491771f9eb068b40b42c9e40dc677597a5287df997214c3ca9953c328905834a	74121	CONTROL_OR_CROSS_CUTTING
CONTROL	INFLIGHT_STATE.md	b8bcef04d7f2e3c9a7c4aa260f3cc3d4139272bf	968275db505721cf115581905d932bc7a6e2b9447d0a8a0c1162afd4c17e45eb	10053	CONTROL_OR_CROSS_CUTTING
CONTROL	LIVE.md	1662bd907da9eb45b41df3fae77cee42524fc5ab	cff5475992bb80b9496b88ef2c19efe10c37570e1433c8d36c425fc2733319cb	61788	CONTROL_OR_CROSS_CUTTING
CONTROL	NEGATIVES_REGISTRY.md	3499784aad717d0c259094f0ada48277865b03c2	7e58d46fbb797c5dd8178506e59b1273c3b49e9825deb0286769705c4028807f	167755	CONTROL_OR_CROSS_CUTTING
CONTROL	P4_ARC_SUMMARY_2026-07-31.md	edd3492d9479e9b798a22d13fb2b60197c9df7d8	db004cbc5c72c8cdf1f784a1b514ab95ec94db34205e4283ebcba31a96c1e31b	14831	CONTROL_OR_CROSS_CUTTING
CONTROL	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	9011179c4166e7f094c3e7a613ce4720210ce404	25df2f0480698939e1a04f65bb29819b4d846c7961d76e347f25f1f68b5712b0	3300	CONTROL_OR_CROSS_CUTTING
CONTROL	PONDER_100KLY_VIEW_2026-07-31.md	4fba5f2bbabbee5d245ad9c021fb4a5e8e70c67e	edcabb65c457d121ff11d3be4d3428ab05f51272ee9c648a65767d778f4cb57a	6103	CONTROL_OR_CROSS_CUTTING
CONTROL	PONDER_MATH_ELEGANCE_2026-07-31.md	6f46b7760ef65c1e46190d0643fe83b174938dca	6d510c050f9c116e4c09e82f4edf6ac942bd64f95bb1476dc2196cae8e24c6b9	59093	CONTROL_OR_CROSS_CUTTING
CONTROL	ROADMAP_LINEAR_TIME_2026-07-31.md	ddf7cb8dee0b42d7872849e365678b3da261c294	2976abe138948e3aeeb1a8736514a94dd72bca425bb6e52c0ae0d419c6a62d76	9883	CONTROL_OR_CROSS_CUTTING
CONTROL	SCOPING_MAP_seam_constants_from_metric_2026-07-31.md	386bf5cf613189cb727086190f17e88ad9077e44	c237e38b0f9d884512f82df9475f402dba1d43fe3238dbc76cb4be29b7b84c0d	7656	CONTROL_OR_CROSS_CUTTING
P4-04	udt_gr_analog_reconnaissance_2026-07-29/ANALOG_RECON_REPORT.md	49622f4620178b4a2ab084a57c05b7a770364ed9	1db216b37ee2a08505e984c265ee18df582ed2ed87c5b12b34a9efdfb1f93ec6	28998	PACKAGE_RECORD
P4-04	udt_gr_analog_reconnaissance_2026-07-29/AUDIT_REPORT.md	f4e4ce708d53f0966d5e51422cf38a870f6c759f	d13383c53143193a816a95c1b2c70502b466adda5b455ceaa0ab89f3eb281c29	3969	LOAD_BEARING_REPORT
P4-04	udt_gr_analog_reconnaissance_2026-07-29/AUDIT_VERIFIER_REPORT.md	bcfdd91eb0f51c0a9137acfe2b0ef9a754da4bcd	711bfde63020f9367f8070a875493a5d4f6bdbf1d4157a54cd17d24c245ee5f7	14479	VERIFIER
P4-04	udt_gr_analog_reconnaissance_2026-07-29/CORRECTION_LAYER.md	39fd7e59dad29adc3bfde383d70a96cde03c05c6	c50ca343d64520ceb9d12b6650a59c56c0c49acc5c402d20ac7bd3e310b98b8f	6631	PACKAGE_RECORD
P4-04	udt_gr_analog_reconnaissance_2026-07-29/GR_ANALOG_MAP.tsv	3056533d18c456b39ac42a1f5d7207ce5ab1ef4a	c9d7d332dc68f5de37051e4bef1c885e4948ca24b6f1ba8addaf307babba5a5e	27591	MACHINE_OR_RAW_EVIDENCE
P4-04	udt_gr_analog_reconnaissance_2026-07-29/PREREGISTRATION.md	ef02e227917bff19b27d98499fd17bea9f41fdcc	4a3c06dd5c0dfbd25feb9ca95a5e53c19ff50be42971217cb221ca49756af0cd	8085	PREREGISTRATION
P4-14	udt_mirror_canon_provenance_audit_2026-07-30/AUDIT_VERIFIER_REPORT.md	c67fda6a49eedfabc7038818bbb3805a477b4783	6ee2749cc2116063eeedcda9f44ebfd618bf49858801af2573ed13dce1fbdf6e	14058	VERIFIER
P4-14	udt_mirror_canon_provenance_audit_2026-07-30/CONSUMER_LEDGER.tsv	58c2d62df9281227d5b3170fdef7ca264e017726	4062c42d2a57e78acc64eaf1b64737115a0193ee0c644eab49f1d60dafed6d7a	7463	MACHINE_OR_RAW_EVIDENCE
P4-14	udt_mirror_canon_provenance_audit_2026-07-30/CORRECTION_LAYER.md	2cbf7cf995d9c62eca983afd11f555b4e1a18a9e	4c4e26ae03e886e47cbb58c07ed17909887f66c6fd33485550a8816399380459	6542	PACKAGE_RECORD
