unit_id	package	bank_commit	unit_kind	verbatim_headline_bundle
P4-00	udt_p4_variation_domain_map_2026-07-28	7a33c5f	PACKAGE_HEADLINE_BUNDLE	The P4 MAP (gate a, map-only): variation-domain frame whole + premise ledger L1–L8; Charles cleared B→A staged, C parallel.
P4-01	udt_p4_routeB_extension_selection_2026-07-28	da301b1	PACKAGE_HEADLINE_BUNDLE	The 7-parameter extension family SURVIVES all four constraint layers; residual chart symmetry = exactly the Klein four-group K₄.
P4-02	udt_p4_routeC_shared_static_sector_2026-07-28	25078b9	PACKAGE_HEADLINE_BUNDLE	Scoped negative → NEGATIVES #78: (C2/Bach, EH+Λ) share NO exact static sector on the registered domain.
P4-03	udt_p4_routeA_response_inverse_problem_2026-07-29	b5aac4a	PACKAGE_HEADLINE_BUNDLE	THE INVERSE PROBLEM POSED: 16-object variation domain; all 15 requirements formalized (8 pointwise / 2 whole-solution / 4 global); no Lorentz-invariant response exists — equivariant family forced.
P4-04	udt_gr_analog_reconnaissance_2026-07-29	b198113	PACKAGE_HEADLINE_BUNDLE	GR-analog map: 11 veins / 26 rows; Category-A technique shortlist; RED-row import bans (e.g. e^{iS} quantization arguments).
P4-05	udt_p4_routeA_stage2_pointwise_reduction_2026-07-29	2c0e7cc	PACKAGE_HEADLINE_BUNDLE	ℛ_PW (pointwise-surviving response space) NONEMPTY, exactly parametrized, stratified; codim-1 Noether identity at k_mod=0; EH-form located INSIDE it.
P4-06	udt_p4_routeA_stage3_gate_cut_2026-07-29	21d589c	PACKAGE_HEADLINE_BUNDLE	Gate cut on ℛ_PW; deeper resonance-locus census QUEUED as a verifier-required precondition for locus-contacting candidates.
P4-07	udt_p4_routeA_slice2_solution_legs_2026-07-29	d110fe0	PACKAGE_HEADLINE_BUNDLE	Solution legs: the quadratic-w atlas (e^{a_F p0}=(a_F²E0/2)x²+w1x+w0); the massive locus {I_p=0}; bootstrap tie 2E0·I_p=0 (integrated branch only).
P4-08	udt_p4_routeA_slice2b_full_cell_2026-07-29	2fc9597	PACKAGE_HEADLINE_BUNDLE	Full-cell atlas; mass branches M-GEN=M-DENS-proper=2ℓE0, M-WALL=a_F·M-GEN; labeled candidate-definition branches, none promoted.
P4-09	udt_p4_bookkeeping_forcing_2026-07-29	38577c9	PACKAGE_HEADLINE_BUNDLE	The census fork (constants vs fields) ≡ the bookkeeping fork — REDUCTION THEOREM; the fork certified FREE (no banked source decides it).
P4-10	udt_p4_routeD_field_registration_2026-07-29	a851028	PACKAGE_HEADLINE_BUNDLE	Field census REGISTERS (first no-required-amendments verdict): the fork is a pure domain-definition choice.
P4-11	udt_p4_routeP_seal_parity_2026-07-29	ea5d8a3	PACKAGE_HEADLINE_BUNDLE	Mirror-seal parity cuts: ε_λ=−1 derived ⟹ constant λ pinned 0; anchored-pairing bifurcation (massive certificate fails under P1-4D, intact under P1-triad).
P4-12	udt_p4_gradient_seat_2026-07-29	f521222	PACKAGE_HEADLINE_BUNDLE	LOCK-EMERGENCE THEOREM: on P1-4D the free-λ(x) rows force λ≡0 wherever E0≠0 — constancy EMERGES; fields-census massive class under five cutting conditions.
P4-13	udt_p4_angular_completion_2026-07-30	5978573	PACKAGE_HEADLINE_BUNDLE	Angular selector derived CONDITIONAL on typed premise R-A (fold = point involution); under R-A the fields-massive class collapses; {R-A, pointwise crease, banked-complete} jointly unsatisfiable.
P4-14	udt_mirror_canon_provenance_audit_2026-07-30	c1bbca7	PACKAGE_HEADLINE_BUNDLE	The mirror canon = derived seam-BRIDGE + RATIFIED-never-derived closure promotion; Charles ruled SPLIT-AND-KEEP → CANON C-2026-07-30-1 (G17 finiteness kept; G18 closure = owner-ratified proposal).
P4-15	udt_p4_seam_closure_derivation_2026-07-30	0d0d575	PACKAGE_HEADLINE_BUNDLE	BRIDGE-ONLY DERIVED: the φ=0 seam forces a data handshake only; closure genuinely free; the conditional fold Picard-forced exactly on its 3-premise locus.
P4-16	udt_p4_boundary_action_gate_2026-07-30	f859d62	PACKAGE_HEADLINE_BUNDLE	The wall action ALMOST FULLY RIGID at N=2 (glue uniquely pinned 𝔅_ρ=q/2; flux-seal ⟺ 𝔅_Q=0); THE DISCRIMINATOR = the discrete posture (quotient/two-sided/open).
P4-17	udt_p4_period_gate_2026-07-30	807ad0d	PACKAGE_HEADLINE_BUNDLE	NO quantization (all holonomy targets REAL — integers need a circle-valued field: THE DOORWAY); no posture selector; ring law ⇒ uniform closed rings forced massless (MASS WANTS HETEROGENEITY); massive mixed crease-glue chain CERTIFIED.
P4-18	udt_p4_stability_slice_2026-07-30	cc8b872	PACKAGE_HEADLINE_BUNDLE	THE PRUNER: constants massive chain unstable with free wall data BUT the odd-parity pin ABSORBS the unique negative mode (absorption theorem); fields lock class stable iff 64E0²ℓ⁴ ≤ g_p·c_m·π⁴ (the first mass–size–stiffness law); double-crease massive EMPTY.
P4-19	udt_p4_doorway_study_2026-07-31	f27b5ca	PACKAGE_HEADLINE_BUNDLE	The theory OWNS the door's ingredients not the door (K₄ = real points of the gauge-spent screen U(1)); a NEW S¹ field REGISTERS legally (REGISTERED-POSIT); THE FIRST LIVE INTEGER Σcᵢ Lᵢ+ΣJₛ=2πn_w; carrier posit partially founded at the circle layer.
P4-20	udt_p4_coupling_derivation_2026-07-31	2541617	PACKAGE_HEADLINE_BUNDLE	Six lawful coupling classes; the c_θ lattice cut REAL; disjointness DERIVED both parity signs: the certified massive chain carries NO θ-momentum; every ℤ-lattice massless-confined; E0 UNCUT everywhere — integers label completion sheets, never states.
P4-21	udt_p4_timelive_map_2026-07-31	a5cdf07 + 588eb0b	PACKAGE_HEADLINE_BUNDLE	TIME-LIVE MAP (CLEARED; Charles ruled everything-on/bounded-by-layer/controls-only): premise ledger T-L1..T-L8; time-topology fork carried 3 ways; owner-kernel correction folded in; staged T1–T4 program.
P4-22	udt_p4_timelive_stage_T1_2026-07-31	f2343b7	PACKAGE_HEADLINE_BUNDLE	STAGE T1: the inverse problem re-posed time-live, everything on — shift row's native form DERIVED (ADM pin proven physically distinct); no-free-lapse; K₄ survives+grows; R1–R15 re-posed 0 breaks (temporal mirror derived); static ℛ_PW embeds; C-1 static-recovery EXACT; THE LOCK-READING FORK load-bearing, both branches to T2.
P4-23	udt_p4_timelive_stage_T2_2026-07-31	fdae2dc	PACKAGE_HEADLINE_BUNDLE	STAGE T2: the pointwise layer time-live — φ-forcing intact (Q=c_E·e^{−φ} still forced; bare-t excluded); all three R_N slots survive as physical content (coordinate branch); ℛ_PW^T READING-INDEPENDENT (the fork changes meaning, not shape — decision deferrable); static ℛ_PW embeds exactly; Noether identity extends verbatim; C-1 exact.
P4-24	udt_p4_timelive_stage_T3_2026-07-31	a56c2ab	PACKAGE_HEADLINE_BUNDLE	STAGE T3 (the bridge test; OB-3 MIXED): native layer — no integers on the untwisted census, depth-lock: massive ⇒ non-uniform proper period; IF-ADOPTED ε=+1 — THE MARRIAGE at the LABEL level, PROVISIONAL (certified massive carriers carry live time-winding n_t; E0/ℓ still uncut); ε=−1 strengthened survival; twisted-identification = named open seat.
P4-25	udt_p4_angular_map_2026-07-31	1ab4884	PACKAGE_HEADLINE_BUNDLE	ANGULAR MAP (cleared: torus-first): no banked kill covers angular field-dependence; ledger A-L1..A-L9; A3 = the line-branch integer test.
P4-26	udt_p4_angular_stage_A1_2026-07-31	2fd4af3	PACKAGE_HEADLINE_BUNDLE	STAGE A1 (angular-live posing, OA1-1): metric opened natively (mix rows permitted, non-KK); K₄ survives; residual symmetry whole (ζ-layer verifier-found; AM-D tower form); THE SPATIAL-READING FORK (mix rows irreducible vs removable — both carried); R1-R15 0 breaks; C-1/C-2 exact; 17 registry flags.
P4-27	udt_p4_angular_stage_A2_2026-07-31	b85bea6	PACKAGE_HEADLINE_BUNDLE	STAGE A2 (angular-live pointwise, OA2-1): φ-forcing mode-uniform; both R_m slots survive as physical content; reading-independence angular analog DERIVED; ℛ_PW^T embeds exactly at mode zero; identity verbatim (m-sector adds no cut); ℛ_PW^A mode-uniform; P3b conditional seat; C-1/C-2 exact.
P4-28	udt_p4_angular_stage_A3_2026-07-31	e379098	PACKAGE_HEADLINE_BUNDLE	STAGE A3 (OB3-3 MIXED-BY-KIND; VERIFIED-WITH-CAVEATS): 126-row torus→full-S3→all-smooth-detail census; fixed mode/presentation/Hopf/base integers and continuous fiber holonomy survive, but no solution-dependent native integer cuts either conditional massive carrier; completion joins and angular-live on-shell coexistence remain OPEN.
Q1	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	2e93a62	CROSS_CUTTING_QUESTION	Does the inverse-problem domain follow from the metric and registered premises, or silently choose an alphabet, pairing, posture, census, or variation rule?
Q2	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	2e93a62	CROSS_CUTTING_QUESTION	Do static, time-live, and angular-live response spaces embed exactly, without a formal-family to fixed-realized-metric quantifier change?
Q3	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	2e93a62	CROSS_CUTTING_QUESTION	Do mass branches and stability results survive their complete premise stacks, without conditional definitions being narrated as physical mass?
Q4	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	2e93a62	CROSS_CUTTING_QUESTION	Is the real-character versus compact-circle integer distinction a theorem of the admitted domain rather than an artifact of chosen topology or transition class?
Q5	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	2e93a62	CROSS_CUTTING_QUESTION	Does A3 exhaust its stated torus, full-sphere, and fine-detail layers without steering toward integers?
Q6	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	2e93a62	CROSS_CUTTING_QUESTION	Are coordinate/projected reading forks shape-neutral through A2, and where do they first become physically distinguishable?
Q7	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	2e93a62	CROSS_CUTTING_QUESTION	Which P4 claims are independent, which share one derivation or implementation, and which require different-method recomputation?
Q8	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	2e93a62	CROSS_CUTTING_QUESTION	Does nuclear scoping remain separated into banked structural theorems, textbook/SEMF reimplementation, and conditional identifications?
