unit_id	package	producer	verifier	shared_inputs	shared_expressions_or_parsers	independence_grade	circularity_risk	cold_review_disposition
P4-00	udt_p4_variation_domain_map_2026-07-28	derive_*.py or source document	none or document/provenance audit	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	MAP_OR_PROVENANCE_ONLY	No independent algebra is implied by the package headline.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-01	udt_p4_routeB_extension_selection_2026-07-28	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-02	udt_p4_routeC_shared_static_sector_2026-07-28	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-03	udt_p4_routeA_response_inverse_problem_2026-07-29	derive_*.py or source document	in-package VERIFIER_* script(s), same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_INDEPENDENCE_PLUS_PARSER_REPLAY	Separate script, but shared conventions/source tuples/generated schemas; recovery/count controls are not independent algebra.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-04	udt_gr_analog_reconnaissance_2026-07-29	derive_*.py or source document	none or document/provenance audit	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	MAP_OR_PROVENANCE_ONLY	No independent algebra is implied by the package headline.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-05	udt_p4_routeA_stage2_pointwise_reduction_2026-07-29	derive_*.py or source document	in-package VERIFIER_* script(s), same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_INDEPENDENCE_PLUS_PARSER_REPLAY	Separate script, but shared conventions/source tuples/generated schemas; recovery/count controls are not independent algebra.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-06	udt_p4_routeA_stage3_gate_cut_2026-07-29	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-07	udt_p4_routeA_slice2_solution_legs_2026-07-29	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-08	udt_p4_routeA_slice2b_full_cell_2026-07-29	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
P4-09	udt_p4_bookkeeping_forcing_2026-07-29	derive_*.py or source document	in-package VERIFIER_INDEPENDENT_CHECK.py, same-session record	package preregistration; banked conventions; cited source tuples	same mathematical identities; JSON/TSV schemas; producer replay where recorded	PARTIAL_DIFFERENT_IMPLEMENTATION	Separate symbolic construction, yet identical source premises and same-session context; no external model/method family.	Cold script recomputed selected mandatory clusters; un-recomputed clauses remain premise-scoped, not upgraded.
