attachment	relative_path	governing_banner_or_status	claim_or_mechanical_role	relation_to_own_D0_D5	disposition	notes
A1-A5	CANON.md	CANON / Charles canonized / append-only	owner-canon ledger for foundational and later status rulings	primary historical foundation cited in D0-D5; later refinements re-audited here	SURVIVING	Use with its own scope lines and later clarifications; does not by itself close Q1/Q2/Q3.
A1-A5	udt_field_equations_derivation_results.md	historical crux derivation / blind-verified / canonization left to Charles	metric-varying-c absorbability and matter-source-weight claim family	relevant to D0-D5 action/coupling forks; source-weight route remains unclosed	CONDITIONAL	Useful for the conditional matter-weight proposal; does not derive a unique action or fix a native mass law.
A1-A5	native_geometric_action_results.md	DERIVED/verified given action form / NOT canon	historical angular-curvature-mismatch action candidate and Z_phi fork record	supports D0-D5 underdetermination by preserving a conditional native-action branch	CONDITIONAL	K^2 ambiguity closed there only inside its named class; full time-live/native status remains open.
A1-A5	simple_metric_S9_native_action_honesty_results.md	LEAD / honesty map / native package still OPEN	simple-metric honesty audit distinguishing A-primary from E-primary problem types	background scoping only; not load-bearing for cold conclusions	OUT-OF-SCOPE	Helpful as historical hygiene; no current authority beyond keeping package types separate.
A1-A5	matter_carrier_provenance_audit_results.md	BANKED-FOR-STRUCTURE provenance finding	provenance audit that the S^2 carrier is an added posit, not metric-derived	directly confirms D0-D5 carrier underdetermination and noninheritance of a unique carrier	SURVIVING	Important provenance seam: native action on a posited carrier is not matter derived from the metric.
A1-A5	noNull_energy.py	mechanical replacement of centered stencil / representation change, not new operator	numerical discretization audit removing the Nyquist-null centered-difference artifact	supersedes old centered-operator provenance and blocks using that match as current evidence	ALGEBRA-ONLY	Mechanical numerical-hygiene artifact; it certifies stencil behavior, not physical conclusions.
A1-A5	w_alg_verifier_scripts/UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md	historical dispatch / not result authority	implementation-and-verification charter for the H3 static mass-backreaction program	relevant to what later work intended to test, not to what D0-D5 may inherit	OUT-OF-SCOPE	Contains premises and gates, not passed evidence.
A1-A5	pre_native_era_census.md	provenance census / quarantine audit	historical scope-and-contamination census for pre-native micro records	supports D0-D5 by clarifying provenance and supersession status of earlier branches	SURVIVING	Useful provenance control; not a physics derivation.
A1-A5	macro_spine_provenance_2026-07-06.md	live macro-spine provenance pass / no hard quarantine	macro provenance and supersession audit	supports provenance discipline only; no direct change to cold conclusions	SURVIVING	Important for banner/status discipline; macro closure itself remains separate.
A6	archive/native_action_chat_2026-07-14_15/README.md	README firewall / quarantined historical evidence / not live foundation	authority rule for all A6 archive materials	controls every A6 use in this addendum	SURVIVING	Scripts and *_out.txt certify only encoded algebra/consistency, never premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
