# STAMP: Stage A2 angular-live pointwise ledger. Contract = PREREGISTRATION.md (frozen first). EVERYTHING-ON within the cleared layers; T^2 stratum (A-L1, full-S^3 TYPED); tri-graded jets <= 2 per direction (A-L2, higher TYPED); time-live-LINE (A-L4); theta ABSENT (A-L5); registered stationary presentation (general arenas TYPED); polynomial/formal in (k10,C); BOTH lock-reading AND BOTH spatial-reading branches carried at the same depth; mode decomposition Category-A; no response law selected, no fork resolved, no solve, no angular cycle census (Stage A3's contract; F-P1 honored).
# STAMP: layered character rule (TP2-1/TP2-2): K4 ((t,y,z) spectators) x T^2-translations (bare angles excluded; mode grading slack-stable) x METRIC-LAYER T-parity Z2 (conditional, banked T2) x ANGULAR-MIRROR Z2 x Z2 (conditional, granted-only, bridge floor G18; pairs +n/-n modes) x STRATUM N-parity Z2 (psi-branch, lock-coordinate reading, banked T2) x STRATUM m-involution Z2 (chi-branch, spatial-coordinate reading, NEW). Resonance-locus contacts: OPEN-PENDING-CENSUS.
# STAMP: mode_zero_restriction column = the C-1 identity (mechanical vs banked TIMELIVE_T2_LEDGER.tsv + timelive_T2_results.json); static_restriction_transitive column = the C-2 identity (mechanical vs banked routeA_stage2_results.json).
row	kind	content	character	tag	mode_zero_restriction	static_restriction_transitive	basis_checks
R_phi	COMPONENT	K4 char trivial ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:even/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; reading-unchanged on all four branch-pairs	trivial	DERIVED	T2 component recovered (C1a)	banked static component recovered (C2a)	P1i;P2b;P2c;P2f;P2g;P2j
R_f	COMPONENT	K4 char trivial ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:odd/z:odd (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; reading-unchanged on all four branch-pairs	trivial	DERIVED	T2 component recovered (C1a)	banked static component recovered (C2a)	P1i;P2b;P2c;P2f;P2g;P2j
R_bh	COMPONENT	K4 char trivial ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:even/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; reading-unchanged on all four branch-pairs	trivial	DERIVED	T2 component recovered (C1a)	banked static component recovered (C2a)	P1i;P2b;P2c;P2f;P2g;P2j
R_lambda	COMPONENT	K4 char trivial ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:even/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; reading-unchanged on all four branch-pairs	trivial	DERIVED	T2 component recovered (C1a)	banked static component recovered (C2a)	P1i;P2b;P2c;P2f;P2g;P2j
R_kmod	COMPONENT	K4 char trivial ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:even/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; reading-unchanged on all four branch-pairs	trivial	DERIVED	T2 component recovered (C1a)	banked static component recovered (C2a)	P1i;P2b;P2c;P2f;P2g;P2j
R_k10	COMPONENT	K4 char chi_a ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:even/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; reading-unchanged on all four branch-pairs	chi_a	DERIVED	T2 component recovered (C1a)	banked static component recovered (C2a)	P1i;P2b;P2c;P2f;P2g;P2j
R_c00	COMPONENT	K4 char chi_b ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:even/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; reading-unchanged on all four branch-pairs	chi_b	DERIVED	T2 component recovered (C1a)	banked static component recovered (C2a)	P1i;P2b;P2c;P2f;P2g;P2j
R_c11	COMPONENT	K4 char chi_b ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:even/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; reading-unchanged on all four branch-pairs	chi_b	DERIVED	T2 component recovered (C1a)	banked static component recovered (C2a)	P1i;P2b;P2c;P2f;P2g;P2j
R_c01	COMPONENT	K4 char chi_c ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:even/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; reading-unchanged on all four branch-pairs	chi_c	DERIVED	T2 component recovered (C1a)	banked static component recovered (C2a)	P1i;P2b;P2c;P2f;P2g;P2j
R_c10	COMPONENT	K4 char chi_c ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:even/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; reading-unchanged on all four branch-pairs	chi_c	DERIVED	T2 component recovered (C1a)	banked static component recovered (C2a)	P1i;P2b;P2c;P2f;P2g;P2j
