completion_id	prior_global_data_level	complete_g_phi_witness	clock_phi_solder	optical_correspondence	smallest_missing_object
FC01_BOUNDARY_BOUNDARY	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	NO	OPEN	NOT_EVALUABLE_NO_COMPLETE_G_PHI_METRIC	complete_metric_observer_pairing_path_and_screen_transport
FC02_ONE_CAP_BOUNDARY	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	NO	OPEN	NOT_EVALUABLE_NO_COMPLETE_G_PHI_METRIC	complete_metric_observer_pairing_path_and_screen_transport
FC03_TWO_CAP_P0	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	NO	OPEN	NOT_EVALUABLE_NO_COMPLETE_G_PHI_METRIC	complete_metric_observer_pairing_path_and_screen_transport
FC04_TWO_CAP_P1	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	NO	OPEN	NOT_EVALUABLE_NO_COMPLETE_G_PHI_METRIC	complete_metric_observer_pairing_path_and_screen_transport
FC05_TWO_CAP_P_GT1	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	NO	OPEN	NOT_EVALUABLE_NO_COMPLETE_G_PHI_METRIC	complete_metric_observer_pairing_path_and_screen_transport
FC06_NONPRIMITIVE_CAP	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	NO	OPEN	NOT_EVALUABLE_NO_COMPLETE_G_PHI_METRIC	complete_metric_observer_pairing_path_and_screen_transport
FC07_PERIODIC_TORUS_BUNDLE	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	NO	OPEN	NOT_EVALUABLE_NO_COMPLETE_G_PHI_METRIC	complete_metric_observer_pairing_path_and_screen_transport
FC08_MIRROR_DOUBLE	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	NO	OPEN	NOT_EVALUABLE_NO_COMPLETE_G_PHI_METRIC	complete_metric_observer_pairing_path_and_screen_transport
FC09_NONORIENTABLE_GLUE	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	NO	OPEN	NOT_EVALUABLE_NO_COMPLETE_G_PHI_METRIC	complete_metric_observer_pairing_path_and_screen_transport
FC10_STRATIFIED_PROJECTOR	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	NO	OPEN	NOT_EVALUABLE_NO_COMPLETE_G_PHI_METRIC	complete_metric_observer_pairing_path_and_screen_transport
FC11_NONINTEGRABLE_DISTRIBUTION	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	NO	OPEN	NOT_EVALUABLE_NO_COMPLETE_G_PHI_METRIC	complete_metric_observer_pairing_path_and_screen_transport
FC12_RECIPROCAL_TORIC_DIAGONAL	CONDITIONAL_CONTROL_NO_COMPLETE_PROFILE_OR_ENDPOINT_SOLUTION	NO_CONDITIONAL_OPEN_PROFILE_CONTROL_ONLY	OPEN	NOT_EVALUABLE_NO_COMPLETE_G_PHI_METRIC	complete_metric_observer_pairing_path_and_screen_transport
