family_id	family_label	prior_complete_spatial_metric	prior_two_point_distance	optical_correspondence	classification
B01	Exact_C0_C1_foundation	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B02	Final_native_action_adjudication	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B03	P01_canonical_geometry_evaluator	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B04	P02_local_jet_atlas	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B05	P03_founded_constraint_atlas	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B06	P03G_global_kinematic_assembly	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B07	P04_dynamics_branch_ruling	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B08	P05_full_equation_variation	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B09	Time_live_characteristic_flux	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B10	Free_global_seal_transversality	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B11	Finite_cell_completion_atlas	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B12	Complete_seal_fixed_set_selector	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B13	Complete_coframe_seal_involution	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B14	Complete_lift_mu_closure	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B15	Global_coframe_cocycle	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B16	Global_metric_assembly_atlas	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B17	Complete_connector_assembly	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B18	Angular_toric_closure	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B19	Conditional_C2_Bach_route	YES_CONDITIONAL	CALCULABLE_ROUND_CONTROL	ROUND_CENTER_FREE_NULL_AND_REST_JACOBI_EXACT;CONSTANT_LAPSE_NO_RECIPROCAL_CLOCK	CONDITIONAL_COMPLETE_GEOMETRIC_WITNESS
B20	Conditional_EH_route	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B21	Macro_WRL_SNe_branch	NO	NOT_EVALUABLE_GLOBALLY	CENTERED_WRL_CLOCK_AREA_READOUT_ONLY;NO_GLOBAL_PAIR_GEOMETRY	LOCAL_RESIDUAL_READOUT
B22	Conditional_particle_Hopfion	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B23	Bootstrap_selector_family	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B24	Reciprocal_pair_wall_module	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B25	Time_live_spherical_numerical_branches	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B26	Legacy_pre_July_branches	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B27	Intrinsic_object_Cartan_transport	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
B28	Global_reciprocal_and_Hopf_realization	NO	NOT_EVALUABLE	NOT_EVALUABLE_NO_COMPLETE_METRIC	NO_COMPLETE_OPTICAL_WITNESS
