path	sha256	size
AUDIT_REPORT.md	7e1b3709126fb7ab3e89ffc7d68fee816f5edd1cc9b4e983dcf6a30434159844	3928
CATCH_PROOF_RESULT.json	6c546aa117a8e3ba702a75f5c01eb8ba6bc9bae8646d36dd4da31a0ac3d55ffa	772
COMPLETENESS_MAP.md	1d8edbfdca537919dd2ff65601f69e570022720514a886f95360ffff0c6f4278	1075
DERIVATION_RESULT.json	5f87e4bfd56c5522c26ad2de8f9f4f18c7e722e7ca078e77d5cdf1cf88f259eb	2168
EXACT_DERIVATION.md	3c6fcfbe1e9e114d751705b50af0909f94990fc1a60010b3ab4d82328a4aa1ef	12348
EXTERNAL_REVIEW.md	6865c4d73f60c08f8f981edce51c8dd7d65e12613b2c24a610df94605fb6971c	2232
EXTERNAL_REVIEW_DISPATCH.md	52b0cf6bc3f407955ec5041297f2a53af19e1f513c9a90011f763767875c5f00	3838
EXTERNAL_REVIEW_RAW.md	4d387811c51e165905e21fb9c1451d1ae8f4f633fc664bf86a5d20cdd9de770e	8342
FALSIFICATION_CONTRACT.tsv	60fafc3e8e8aa9b35ad1e555249332a6fc494f358746024275c50c55cf47221e	1496
FAMILY_AXES.tsv	d100c919964ce7b31aecdb1e957ac03c3398db743636665cb123ff4b9d01d649	1186
FINAL_VERIFICATION.md	9ecb8b8f9e35087b87dd3851f4c5bba9ceba555d7c5e765e4c66c6141bcd7496	1865
INDEPENDENT_VERIFICATION_RESULT.json	1a0c3dbc7695f2ad21d4bc5a94230e4fd4f21a08461b2612e8fb26a54885cdeb	2193
LAY_REPORT.md	68f7068594ade6937a7a75037e50c76d865c485a77086d62b4db8d6531c6cbf2	1286
NEXT_STEP.md	4673c9e4038f831a19c9712c709a32aeeacc1a2bf8eeacb09ab6e2c9b29d0bbf	982
PONDER_MAP.md	269d01dfe7e35bad5adfcf2c9526af21bef64b69c163dea6bf0b1b6ccdf96e79	1052
POST_REVIEW_PROVENANCE_CORRECTION.md	70fddc93395b1b4ba9ed9073131de7f5857cfe122b90a0cd8be02e244d8cea4b	965
PREMISE_LEDGER.tsv	890ca3adbe8cb3c82bb7d746b29f17e8a1481afb2eceb6b02c32a1c2f0e3b29b	1651
PREREGISTRATION.md	3d765ca6e6be36c9ee090095e83aa55d3daa7873964680fa091f3cd30b5dd16b	4159
REPOSITORY_GATES.json	0e20b1c80c0da01df14ad9fa66af9874d164c140b2fa887c58a9103d5cd99b03	906
SOURCE_MANIFEST.tsv	de8bac6ac68e8fda7f6c3d4e02426cd7e87fd16a6b3b9c9eeda10e7c66f60efa	2668
STATUS_LEDGER.tsv	cee50ed19aa7636c1d511307f8dd0605c3f46f6be8ad2e651321b328dedd1c7b	1744
TRANSPORT_FAMILY_ATLAS.tsv	6e77ccbe7df78950223de46751139ae07e3730c21029a10802a8c61500b99fd0	1752
build_package_manifest.py	1bdbe5685b8ad18d6905b32dc20e7f0e0327ab94d618d39adb9a3a2555bbc5ae	819
derive_calibration_transport.py	02ef361c6566c9fba492fc191c892135acf8b3635a8d94415dc4b79b621139e2	9298
run_catch_proofs.py	cdc35d70a8e21eaeb14c17c7cff6d827e5a0864f6e4da636d0889ddf9d217897	3877
verify_calibration_transport_independent.py	1176f659ed1c9c78fd69fcedda2db1a3911bacd1849e071fc8c60845a02fcc24	9411
verify_package_manifest.py	2616747e3f96cd08d0969d71647aa32b512b5a6ab6512eb5210215a5e17d7bcb	1093
verify_preregistration.py	77b8cfd315d415e978f2cbd08bd5987303c823f7ba6a1916c8cb6a41cdf86a79	2348
verify_repository_gates.py	32f77149c8372b88db09424fc3b07e5cbd9eca11b4dc1905d853dfed8aa6dc63	9281
