premise_id	object	status	use	open_scope	forbidden_promotion
P01	founded reciprocal character on supplied ordered depth	DERIVED	normalization and exchange/reversal gate	physical observer/path-to-depth owner	pointwise phi or pair relation inferred automatically
P02	complete Lorentzian coframe with phi+orchestra and mixing	DEFINED_CONFIGURATION_ARCHITECTURE	full time-live geometric arena	on-shell histories and physical branch	configuration family called dynamics
P03	ordered observer query and regular path	SUPPLIED_CONDITIONAL	types endpoints and path transports	physical query/path selection	bare endpoints said to select a path
P04	reciprocal clock/ruler grading	DERIVED_CORE_PLUS_CONDITIONAL_COMPLETE_REALIZATION	defines calibration line and pure reciprocal limit	null/degenerate continuation	complete physical flag called founded
P05	R17 pair foliation and normal SO2 path functor	DERIVED_ON_SUPPLIED_STATIONARY_C01_C06	recovery control only	time-live extension branch and physical selection	R17 promoted universally
P06	terminal reciprocal c_E	OBSERVED_CALIBRATION_ANCHOR	fixes terminal normalization/readout	universal mixed-geometry c_eff and pair construction	c_E used to construct the tape
P07	strong CSN	OPEN_INACTIVE	none	explicit future reauthorization	used as gauge or selector
P08	bootstrap	WORKING	none in derivation	future global/on-shell owner	used to choose coefficients
P09	action source boundary matter	OPEN	none	complete dynamics	conditional historical equations imported
P10	time dependence and all coframe amplitudes	FREE_AND_RETAINED	general arena	actual on-shell evolution	stationarity or frozen amplitudes treated as whole

