test_id	failure condition
F01	A claimed line transport fails exact identity composition or reversal.
F02	Levi-Civita or another metric-compatible transport is assigned nonzero calibration dilation without nonmetric structure.
F03	A local Lorentz or screen-gauge representative change alters a claimed physical scalar.
F04	A nontrivial continuous real character is assigned to global SO2 endpoint holonomy without retaining a path lift or winding label.
F05	Reciprocal c_E is used to construct the observer relation rather than normalize/read its terminal imbalance.
F06	Time derivatives angular structure or mixing are suppressed in the general theorem without a conditional scope label.
F07	A stationary R17 formula is promoted to all complete time-live coframes.
F08	A free one-form coefficient function endpoint potential or holonomy term is silently fixed.
F09	Composition or Reciprocity is claimed to select a coefficient that survives the exact algebra.
F10	An arbitrary coframe parallelism is called metric-natural without auditing local Lorentz dependence.
F11	An order-zero or first-jet classification is promoted to all higher-jet natural laws.
F12	An action source bootstrap rule boundary branch path or regime is invented to close the family.
F13	A result from the stopped historical equation census is used as affirmative derivation input.
F14	The protected curvature-atlas directory is read mined staged or cited.
F15	A negative is stated beyond the declared smooth regular class.

