claim_id	claim	status	scope	open_boundary
S01	Smooth local positive calibration-line transports form an affine connection family	DERIVED	declared local linear path-functor class	nonlocal and higher categorical functionals
S02	Metric-compatible transport generates zero reciprocal magnitude	DERIVED	all regular time-dependent Lorentzian geometries	nonmetric or bilocal comparison owners
S03	Complete-coframe absolute parallelism is metric-compatible and zero-magnitude	DERIVED	any supplied complete coframe	physical ownership of coframe representative and torsion role
S04	The reciprocal infinitesimal strain projection is one half ruler-minus-clock logarithmic rate	DERIVED	regular moving causal flag	null and rank-changing flags
S05	Each supplied regular calibrated pair-metric family uniquely induces alpha_pair=dphi_pair	DERIVED_CONDITIONAL	same calibrated smooth pair family	physical pair-family owner and global transitions
S06	Scalar middle reset telescopes on one common calibrated pair family	DERIVED_CONDITIONAL	matched three-observer states on same family	independently rebuilt tapes
S07	Time angular shift and mixing sectors remain active in the pair formula	DERIVED_STRUCTURAL	complete pair Jacobian and arbitrary state differential	actual on-shell time-live family
S08	c_E is terminal calibration and does not select the pair family	OBSERVED_PLUS_DERIVED_TYPE	declared pair coordinates	universal mixed-geometry c_eff
S09	A separate scalar reset equation is not required after a common pair family is supplied	DERIVED_TYPE_REDUCTION	declared regular pair-family class	owner constructing that family
S10	Physical pair family on-shell rule global completion action source and bootstrap return	OPEN	complete UDT	all downstream physics
