id	object	status	regime	evidence	remaining_open
S01	local_timelike_line	CONDITIONAL	TIMELIKE_NONNULL_DPHI	dphi_sharp_normalized_with_registered_time_orientation	is_dphi_a_selected_physical_observer
S02	timelike_real_3plus3	DERIVED	TIMELIKE_NONNULL_DPHI	rank3_projector_on_line_wedge_orthogonal_and_Hodge_complement	global_persistence
S03	timelike_Cartan_identification	DERIVED	TIMELIKE_NONNULL_DPHI	sector_basis_01_02_03_equals_boosts_and_12_13_23_equals_rotations	physical_dynamics
S04	timelike_LC_preservation	DERIVED	SMOOTH_TIMELIKE_NONNULL_REGION	nabla_P_zero_iff_off_stabilizer_boost_extrinsic_connection_zero	actual_branch_profile
S05	timelike_LC_mixing	DERIVED	ONE_TANGENT_GENERIC_NONZERO_OFF_STABILIZER_CONNECTION	exact_cross_block_ranks_2_and_2_total_rank_4	multi_direction_holonomy
S06	timelike_unmixed_axis	DERIVED	ONE_TANGENT_GENERIC_BOOST_VECTOR	rank2_cross_blocks_leave_axis_parallel_to_boost_component	global_integrability
S07	spacelike_real_3plus3	DERIVED	SPACELIKE_NONNULL_DPHI	line_wedge_orthogonal_plus_Lambda2_orthogonal	observer_interpretation
S08	spacelike_stabilizer	DERIVED	SPACELIKE_NONNULL_DPHI	SO_PLUS_1_2_preserving_subalgebra	not_an_SO3_observer_screen
S09	spacelike_LC_mixing	DERIVED	SMOOTH_SPACELIKE_NONNULL_REGION	nabla_P_zero_iff_SO12_complement_connection_zero	actual_branch_profile
S10	Kato_intertwiner_timelike	DERIVED	SMOOTH_FIXED_RANK_TIMELIKE_REGION	exact_commutator_and_metric_skew_checks	not_physical_time_evolution
S11	Kato_intertwiner_spacelike	DERIVED	SMOOTH_FIXED_RANK_SPACELIKE_REGION	exact_commutator_check	not_physical_time_evolution
S12	Hodge_exchange	CONDITIONAL	ORIENTED_REGULAR_NONNULL_REGION	Hodge_squares_minus_one_exchanges_rank3_sectors_and_commutes_with_LC	nonorientable_twist_and_singular_extension
S13	null_line_map	DERIVED	NULL_NONNULL_DPHI	rank1_nilpotent_parent_map	physical_interface_data
S14	null_Lambda2_map	DERIVED	NULL_NONNULL_DPHI	rank2_nilpotent_induced_map	not_a_semisimple_3plus3
S15	null_semisimple_split	OPEN	NULL_NONNULL_DPHI	normalized_projector_singular	no_native_extension_derived
S16	zero_dphi_split	OPEN	ZERO_DPHI	direction_dependent_projector_limits	no_intrinsic_line
S17	phi_value_zero	DERIVED	PHI_ZERO_WITH_NONNULL_DPHI	phi_equals_t_at_t_zero_control	seal_value_does_not_fix_gradient
S18	type_change	DERIVED	SMOOTH_DPHI_CAUSAL_SIGN_CHANGE	must_cross_null_or_zero	through_interface_law_open
S19	CSN_projector_invariance	DERIVED	POSITIVE_COMMON_SCALE_REPRESENTATIVES	line_projector_exactly_invariant	scale_selection
S20	CSN_LC_mixing_invariance	REJECTED	LOCAL_NONCONSTANT_COMMON_SCALE	flat_constant_dphi_counterexample_and_conformal_connection_witness	physical_representative_selection
S21	FC01_boundary_boundary	OPEN	PARAMETRIC_COMPLETION_FAMILY	no_complete_onshell_g_phi_witness	profile_and_boundary_data
S22	FC02_one_cap_boundary	OPEN	PARAMETRIC_COMPLETION_FAMILY	no_complete_onshell_g_phi_witness	cap_extension_and_time_live_profile
S23	FC03_two_cap_P0	OPEN	PARAMETRIC_COMPLETION_FAMILY	static_compact_real_phi_forces_critical_point	time_live_nonnull_profile
S24	FC04_two_cap_P1	OPEN	PARAMETRIC_COMPLETION_FAMILY	static_compact_real_phi_forces_critical_point	time_live_nonnull_profile
S25	FC05_two_cap_Pgt1	OPEN	PARAMETRIC_COMPLETION_FAMILY	static_compact_real_phi_forces_critical_point	time_live_nonnull_profile
S26	FC06_nonprimitive_cap	OPEN	REGULAR_COMPLEMENT_ONLY	true_singular_stratum_blocks_metric_construction	extension_or_exclusion
S27	FC07_periodic_torus_bundle	OPEN	PARAMETRIC_COMPLETION_FAMILY	periodic_static_real_phi_forces_critical_point	time_live_nonnull_profile
S28	FC08_mirror_double	OPEN	PARAMETRIC_COMPLETION_FAMILY	even_scalar_zero_normal_derivative_and_odd_sign_twist	seam_lift
S29	FC09_nonorientable_glue	OPEN	PARAMETRIC_COMPLETION_FAMILY	projector_may_descend_but_Hodge_requires_orientation_twist	global_twisted_completion
S30	FC10_stratified_projector	OPEN	PARAMETRIC_COMPLETION_FAMILY	other_projector_strata_do_not_determine_dphi_strata	complete_profile
S31	FC11_nonintegrable_distribution	OPEN	PARAMETRIC_COMPLETION_FAMILY	other_anholonomic_plane_independent_of_kernel_dphi	complete_profile
S32	FC12_reciprocal_toric_diagonal	CONDITIONAL	OPEN_NONNULL_CONTROL_ONLY	local_profile_control_no_complete_endpoints	cap_or_glue_extension
S33	complete_onshell_branch_count	OBSERVED	REGISTERED_SOURCE_UNIVERSE	zero_complete_g_phi_solutions_among_12_completion_families	solve_complete_metric_phi_equations
S34	finite_cell_branch_selection	OPEN	ALL_12_COMPLETION_FAMILIES	no_action_source_boundary_or_bootstrap_selector_used	no_physical_selection
S35	connection_physicality	OPEN	ALL_NONNULL_REGIONS	LC_and_Kato_are_geometric_connections	not_force_or_evolution
S36	matter_or_Hopf_emergence	OPEN	ALL_AUDITED_DOMAINS	no_carrier_section_action_or_source_derived	separate_bridge
