id	path	role
S01	AGENTS.md	binding_method
S02	CANON.md	canon_boundary
S03	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	durable_frontier
S04	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	CSN_authority
S05	udt_frame_bivector_equivariance_audit_2026-07-23/AUDIT_REPORT.md	parent_Cartan_join
S06	udt_frame_bivector_equivariance_audit_2026-07-23/DERIVATION_RESULT.json	parent_exact_algebra
S07	udt_frame_bivector_equivariance_audit_2026-07-23/MANIFEST.sha256	parent_freeze
S08	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/AUDIT_REPORT.md	global_survival_parent
S09	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/FINITE_CELL_BRANCH_ATLAS.tsv	twelve_family_parent
S10	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/GLOBAL_SURVIVAL_THEOREMS.tsv	global_theorems
S11	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/MANIFEST.sha256	survival_parent_freeze
S12	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	Kato_and_completion_parent
S13	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	completion_registry
S14	udt_global_metric_assembly_atlas_2026-07-22/BUNDLE_HOLONOMY_ATLAS.tsv	transport_distinctions
S15	udt_global_metric_assembly_atlas_2026-07-22/EXACT_TRANSPORT_CONTROL.json	exact_Kato_control
S16	udt_global_metric_assembly_atlas_2026-07-22/SHA256SUMS.txt	assembly_parent_freeze
S17	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	dphi_strata_parent
S18	udt_complete_metric_intrinsic_object_audit_2026-07-23/DOMAIN_TRANSITION_LEDGER.tsv	dphi_domain_parent
S19	udt_complete_metric_intrinsic_object_audit_2026-07-23/MANIFEST.sha256	intrinsic_parent_freeze
S20	udt_finite_cell_completion_atlas_2026-07-21/AUDIT_REPORT.md	completion_type_scope
S21	udt_finite_cell_completion_atlas_2026-07-21/CAUSAL_TIME_LIVE_ATLAS.tsv	causal_completion_axis
S22	udt_finite_cell_completion_atlas_2026-07-21/SHA256SUMS.txt	completion_parent_freeze
