id	rejected_failure	exercised_by	expected	actual
C01	missing_completion_family	verify_finite_cell_cartan_independent.py	reject	rejected
C02	duplicate_completion_family	verify_finite_cell_cartan_independent.py	reject	rejected
C03	missing_completion_causal_pair	verify_finite_cell_cartan_independent.py	reject	rejected
C04	duplicate_completion_causal_pair	verify_finite_cell_cartan_independent.py	reject	rejected
C05	missing_connection_domain	verify_finite_cell_cartan_independent.py	reject	rejected
C06	missing_transition_witness	verify_finite_cell_cartan_independent.py	reject	rejected
C07	selecting_unsolved_completion_family	verify_finite_cell_cartan_independent.py	reject	rejected
C08	inventing_complete_g_phi_witness	verify_finite_cell_cartan_independent.py	reject	rejected
C09	losing_Kato_on_nonnull_fixed_rank_region	verify_finite_cell_cartan_independent.py	reject	rejected
C10	continuing_semisimple_split_through_null	verify_finite_cell_cartan_independent.py	reject	rejected
C11	claiming_intrinsic_split_at_zero_dphi	verify_finite_cell_cartan_independent.py	reject	rejected
C12	treating_spacelike_split_as_SO3_observer_split	verify_finite_cell_cartan_independent.py	reject	rejected
C13	treating_null_filtration_as_3plus3	verify_finite_cell_cartan_independent.py	reject	rejected
C14	equating_phi_zero_with_dphi_zero	verify_finite_cell_cartan_independent.py	reject	rejected
C15	treating_Kato_as_physical_time_evolution	verify_finite_cell_cartan_independent.py	reject	rejected
C16	claiming_LC_preservation_is_CSN_invariant	verify_finite_cell_cartan_independent.py	reject	rejected
C17	claiming_all_static_compact_cells_support_nonzero_dphi	verify_finite_cell_cartan_independent.py	reject	rejected
C18	claiming_time_live_evades_obstruction_as_theorem	verify_finite_cell_cartan_independent.py	reject	rejected
C19	extending_through_true_metric_singularity	verify_finite_cell_cartan_independent.py	reject	rejected
C20	claiming_branch_selection	verify_finite_cell_cartan_independent.py	reject	rejected
C21	claiming_complete_onshell_solution	verify_finite_cell_cartan_independent.py	reject	rejected
C22	importing_action_source_or_carrier	verify_finite_cell_cartan_independent.py	reject	rejected
