completion_id	causal_class	local_structure	connection_behavior	geometric_transport	completion_constraint	field_witness_status	selection
FC01_BOUNDARY_BOUNDARY	TIMELIKE_NONNULL	CARTAN_3PLUS3_PERSISTS	LC_PRESERVES_IFF_BOOST_EXTRINSIC_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	BOUNDARIES_ALLOW_NONNULL_SUBMERSION_BUT_DO_NOT_FORCE_PROFILE	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC01_BOUNDARY_BOUNDARY	SPACELIKE_NONNULL	REAL_3PLUS3_PERSISTS_WITH_SO_PLUS_1_2_INTERPRETATION	LC_PRESERVES_IFF_COMPLEMENT_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	BOUNDARIES_ALLOW_NONNULL_SUBMERSION_BUT_DO_NOT_FORCE_PROFILE	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC01_BOUNDARY_BOUNDARY	NULL_INTERFACE	SEMISIMPLE_3PLUS3_DEGENERATES_TO_NILPOTENT_FILTRATION	NORMALIZED_SPLIT_UNDEFINED	KATO_3PLUS3_UNDEFINED_AT_INTERFACE	BOUNDARIES_ALLOW_NONNULL_SUBMERSION_BUT_DO_NOT_FORCE_PROFILE	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC01_BOUNDARY_BOUNDARY	ZERO_INTERFACE	NO_INTRINSIC_LINE_OR_SPLIT	UNDEFINED	NONCANONICAL_CONTINUATION_ONLY	BOUNDARIES_ALLOW_NONNULL_SUBMERSION_BUT_DO_NOT_FORCE_PROFILE	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC01_BOUNDARY_BOUNDARY	TYPE_CHANGING	MUST_CROSS_NULL_OR_ZERO_DEGENERATION	NO_SINGLE_STABILIZER_ACROSS_CHANGE	PIECEWISE_ONLY_WITH_EXTRA_INTERFACE_DATA	BOUNDARIES_ALLOW_NONNULL_SUBMERSION_BUT_DO_NOT_FORCE_PROFILE	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC02_ONE_CAP_BOUNDARY	TIMELIKE_NONNULL	CARTAN_3PLUS3_PERSISTS	LC_PRESERVES_IFF_BOOST_EXTRINSIC_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	ORBIT_DEPTH_STATIC_CAP_FORCES_NORMAL_CRITICALITY;GENERAL_OR_TIMELIVE_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC02_ONE_CAP_BOUNDARY	SPACELIKE_NONNULL	REAL_3PLUS3_PERSISTS_WITH_SO_PLUS_1_2_INTERPRETATION	LC_PRESERVES_IFF_COMPLEMENT_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	ORBIT_DEPTH_STATIC_CAP_FORCES_NORMAL_CRITICALITY;GENERAL_OR_TIMELIVE_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC02_ONE_CAP_BOUNDARY	NULL_INTERFACE	SEMISIMPLE_3PLUS3_DEGENERATES_TO_NILPOTENT_FILTRATION	NORMALIZED_SPLIT_UNDEFINED	KATO_3PLUS3_UNDEFINED_AT_INTERFACE	ORBIT_DEPTH_STATIC_CAP_FORCES_NORMAL_CRITICALITY;GENERAL_OR_TIMELIVE_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC02_ONE_CAP_BOUNDARY	ZERO_INTERFACE	NO_INTRINSIC_LINE_OR_SPLIT	UNDEFINED	NONCANONICAL_CONTINUATION_ONLY	ORBIT_DEPTH_STATIC_CAP_FORCES_NORMAL_CRITICALITY;GENERAL_OR_TIMELIVE_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC02_ONE_CAP_BOUNDARY	TYPE_CHANGING	MUST_CROSS_NULL_OR_ZERO_DEGENERATION	NO_SINGLE_STABILIZER_ACROSS_CHANGE	PIECEWISE_ONLY_WITH_EXTRA_INTERFACE_DATA	ORBIT_DEPTH_STATIC_CAP_FORCES_NORMAL_CRITICALITY;GENERAL_OR_TIMELIVE_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
