completion_id	topology_family	source_data_level	parent_projector_survival	timelike_persistence	spacelike_or_static_persistence	timelike_local_structure	spacelike_local_structure	LC_mixing	Kato_transport	degeneration_or_gluing	Hodge_status	selection
FC01_BOUNDARY_BOUNDARY	I_X_ORBIT	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	CONDITIONAL_ON_UNSUPPLIED_G_PHI_PROFILE_AND_BOUNDARY_DATA	POSSIBLE_IF_GLOBAL_NONNULL_GRADIENT__NOT_FORCED	POSSIBLE_IF_GLOBAL_SUBMERSION_NONNULL__NOT_FORCED	BOOST3_PLUS_ROTATION3_CARTAN_IF_DPHI_TIMELIKE_NONNULL	SO_PLUS_1_2_STABILIZER_PLUS_COMPLEMENT_IF_DPHI_SPACELIKE_NONNULL	PROFILE_AND_REPRESENTATIVE_DEPENDENT;IFF_OFF_STABILIZER_CONNECTION_NONZERO	AVAILABLE_ON_SMOOTH_FIXED_RANK_NONNULL_REGIONS;NOT_PHYSICAL_EVOLUTION	BOUNDARIES_ALLOW_NONNULL_SUBMERSION_BUT_DO_NOT_FORCE_PROFILE	CONDITIONAL_ON_ORIENTATION_AND_NONNULL_DPHI	NO_COMPLETE_ONSHELL_WITNESS;NO_BRANCH_SELECTED
FC02_ONE_CAP_BOUNDARY	SOLID_TORUS_WITH_BOUNDARY	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	CONDITIONAL_AND_CAP_EXTENSION_PROFILE_DEPENDENT	TIME_COMPONENT_CAN_EVADE_CAP_CRITICALITY__NOT_FORCED	COHOMOGENEITY_ONE_SMOOTH_CAP_FORCES_CRITICAL_DPHI__GENERAL_STATIC_FIELD_OPEN	BOOST3_PLUS_ROTATION3_CARTAN_IF_DPHI_TIMELIKE_NONNULL	SO_PLUS_1_2_STABILIZER_PLUS_COMPLEMENT_IF_DPHI_SPACELIKE_NONNULL	PROFILE_AND_REPRESENTATIVE_DEPENDENT;IFF_OFF_STABILIZER_CONNECTION_NONZERO	AVAILABLE_ON_SMOOTH_FIXED_RANK_NONNULL_REGIONS;NOT_PHYSICAL_EVOLUTION	ORBIT_DEPTH_STATIC_CAP_FORCES_NORMAL_CRITICALITY;GENERAL_OR_TIMELIVE_OPEN	CONDITIONAL_ON_ORIENTATION_CAP_REGULARITY_AND_NONNULL_DPHI	NO_COMPLETE_ONSHELL_WITNESS;NO_BRANCH_SELECTED
FC03_TWO_CAP_P0	S2_X_S1_STANDARD_OR_GENERAL_P0	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	OBSTRUCTED_FOR_STATIC_REAL_PHI__CONDITIONAL_TIME_LIVE	TIME_LIVE_NONNULL_GRADIENT_MAY_EVADE_STATIC_OBSTRUCTION__NOT_FORCED	STATIC_COMPACT_REAL_PHI_HAS_AT_LEAST_ONE_CRITICAL_POINT	BOOST3_PLUS_ROTATION3_CARTAN_IF_DPHI_TIMELIKE_NONNULL	SO_PLUS_1_2_STABILIZER_PLUS_COMPLEMENT_IF_DPHI_SPACELIKE_NONNULL	PROFILE_AND_REPRESENTATIVE_DEPENDENT;IFF_OFF_STABILIZER_CONNECTION_NONZERO	AVAILABLE_ON_SMOOTH_FIXED_RANK_NONNULL_REGIONS;NOT_PHYSICAL_EVOLUTION	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	ORIENTABLE_CLASS_BUT_DPHI_DOMAIN_OPEN	NO_COMPLETE_ONSHELL_WITNESS;NO_BRANCH_SELECTED
FC04_TWO_CAP_P1	S3	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	OBSTRUCTED_FOR_STATIC_REAL_PHI__CONDITIONAL_TIME_LIVE	TIME_LIVE_NONNULL_GRADIENT_MAY_EVADE_STATIC_OBSTRUCTION__NOT_FORCED	STATIC_COMPACT_REAL_PHI_HAS_AT_LEAST_ONE_CRITICAL_POINT	BOOST3_PLUS_ROTATION3_CARTAN_IF_DPHI_TIMELIKE_NONNULL	SO_PLUS_1_2_STABILIZER_PLUS_COMPLEMENT_IF_DPHI_SPACELIKE_NONNULL	PROFILE_AND_REPRESENTATIVE_DEPENDENT;IFF_OFF_STABILIZER_CONNECTION_NONZERO	AVAILABLE_ON_SMOOTH_FIXED_RANK_NONNULL_REGIONS;NOT_PHYSICAL_EVOLUTION	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	ORIENTABLE_CLASS_BUT_DPHI_DOMAIN_OPEN	NO_COMPLETE_ONSHELL_WITNESS;NO_BRANCH_SELECTED
FC05_TWO_CAP_P_GT1	LENS_L_P_Q	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	OBSTRUCTED_FOR_STATIC_REAL_PHI__CONDITIONAL_TIME_LIVE	TIME_LIVE_NONNULL_GRADIENT_MAY_EVADE_STATIC_OBSTRUCTION__NOT_FORCED	STATIC_COMPACT_REAL_PHI_HAS_AT_LEAST_ONE_CRITICAL_POINT	BOOST3_PLUS_ROTATION3_CARTAN_IF_DPHI_TIMELIKE_NONNULL	SO_PLUS_1_2_STABILIZER_PLUS_COMPLEMENT_IF_DPHI_SPACELIKE_NONNULL	PROFILE_AND_REPRESENTATIVE_DEPENDENT;IFF_OFF_STABILIZER_CONNECTION_NONZERO	AVAILABLE_ON_SMOOTH_FIXED_RANK_NONNULL_REGIONS;NOT_PHYSICAL_EVOLUTION	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	ORIENTABLE_CLASS_BUT_DPHI_DOMAIN_OPEN	NO_COMPLETE_ONSHELL_WITNESS;NO_BRANCH_SELECTED
FC06_NONPRIMITIVE_CAP	SINGULAR_TORIC_COMPLETION	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	DEFINED_ONLY_ON_REGULAR_NONNULL_DPHI_COMPLEMENT	TIME_DEPENDENCE_DOES_NOT_REPAIR_UNDEFINED_SINGULAR_GEOMETRY	SINGULAR_OR_ORBIFOLD_STRATUM_REQUIRES_SEPARATE_EXTENSION_DATA	BOOST3_PLUS_ROTATION3_CARTAN_IF_DPHI_TIMELIKE_NONNULL	SO_PLUS_1_2_STABILIZER_PLUS_COMPLEMENT_IF_DPHI_SPACELIKE_NONNULL	PROFILE_AND_REPRESENTATIVE_DEPENDENT;IFF_OFF_STABILIZER_CONNECTION_NONZERO	AVAILABLE_ON_SMOOTH_FIXED_RANK_NONNULL_REGIONS;NOT_PHYSICAL_EVOLUTION	TRUE_SINGULAR_STRATUM_BLOCKS_CONSTRUCTION;REGULAR_COMPLEMENT_ONLY	UNDEFINED_AT_TRUE_METRIC_OR_MANIFOLD_SINGULARITY	NO_COMPLETE_ONSHELL_WITNESS;NO_BRANCH_SELECTED
FC07_PERIODIC_TORUS_BUNDLE	TORUS_BUNDLE_OVER_S1	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	OBSTRUCTED_FOR_STATIC_REAL_PHI__CONDITIONAL_TIME_LIVE	TIME_LIVE_NONNULL_GRADIENT_MAY_EVADE_STATIC_OBSTRUCTION__NOT_FORCED	STATIC_COMPACT_REAL_PHI_HAS_AT_LEAST_ONE_CRITICAL_POINT	BOOST3_PLUS_ROTATION3_CARTAN_IF_DPHI_TIMELIKE_NONNULL	SO_PLUS_1_2_STABILIZER_PLUS_COMPLEMENT_IF_DPHI_SPACELIKE_NONNULL	PROFILE_AND_REPRESENTATIVE_DEPENDENT;IFF_OFF_STABILIZER_CONNECTION_NONZERO	AVAILABLE_ON_SMOOTH_FIXED_RANK_NONNULL_REGIONS;NOT_PHYSICAL_EVOLUTION	PERIODIC_STATIC_REAL_SCALAR_FORCES_CRITICAL_POINT;TIMELIVE_NONNULL_OPEN	GL2Z_ORIENTATION_AND_DPHI_GLUE_DEPENDENT	NO_COMPLETE_ONSHELL_WITNESS;NO_BRANCH_SELECTED
FC08_MIRROR_DOUBLE	DOUBLE_OR_REFLECTION_QUOTIENT	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	EVEN_STATIC_MIRROR_BRANCH_OBSTRUCTED__OTHER_LIFTS_CONDITIONAL	TIME_LIVE_COMPONENT_MAY_EVADE__MIRROR_LIFT_DEPENDENT	MIRROR_INVARIANT_SMOOTH_PHI_HAS_ZERO_NORMAL_DERIVATIVE_AT_FIXED_SEAM__COMPACT_DOUBLE_HAS_CRITICAL_POINT	BOOST3_PLUS_ROTATION3_CARTAN_IF_DPHI_TIMELIKE_NONNULL	SO_PLUS_1_2_STABILIZER_PLUS_COMPLEMENT_IF_DPHI_SPACELIKE_NONNULL	PROFILE_AND_REPRESENTATIVE_DEPENDENT;IFF_OFF_STABILIZER_CONNECTION_NONZERO	AVAILABLE_ON_SMOOTH_FIXED_RANK_NONNULL_REGIONS;NOT_PHYSICAL_EVOLUTION	EVEN_SCALAR_NORMAL_DERIVATIVE_ZERO;ODD_DOUBLE_NEEDS_SIGN_TWIST_TO_QUOTIENT	ANGULAR_AND_ORIENTATION_LIFT_DEPENDENT	NO_COMPLETE_ONSHELL_WITNESS;NO_BRANCH_SELECTED
FC09_NONORIENTABLE_GLUE	NONORIENTABLE_ORIENTATION_TWISTED	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	REAL_3PLUS3_PROJECTORS_CAN_DESCEND_IF_DPHI_LINE_DESCENDS	POSSIBLE_IF_DPHI_DESCENDS_NONNULL__NOT_FORCED	COMPACT_SUBCASES_FORCE_CRITICAL_POINT__BOUNDARY_SUBCASES_PROFILE_DEPENDENT	BOOST3_PLUS_ROTATION3_CARTAN_IF_DPHI_TIMELIKE_NONNULL	SO_PLUS_1_2_STABILIZER_PLUS_COMPLEMENT_IF_DPHI_SPACELIKE_NONNULL	PROFILE_AND_REPRESENTATIVE_DEPENDENT;IFF_OFF_STABILIZER_CONNECTION_NONZERO	AVAILABLE_ON_SMOOTH_FIXED_RANK_NONNULL_REGIONS;NOT_PHYSICAL_EVOLUTION	PROJECTOR_MAY_DESCEND_WITH_LINE;ORDINARY_HODGE_REQUIRES_ORIENTATION_TWIST	ORDINARY_GLOBAL_HODGE_ENDOMORPHISM_FAILS__ORIENTATION_TWIST_REQUIRED	NO_COMPLETE_ONSHELL_WITNESS;NO_BRANCH_SELECTED
FC10_STRATIFIED_PROJECTOR	STRATIFIED_DISTRIBUTION	PARAMETRIC_COMPLETION_TYPE_NO_COMPLETE_G_PHI_FIELD_WITNESS	SURVIVES_OTHER_MOTIF_CHANGES_IFF_METRIC_REGULAR_AND_DPHI_NONNULL	REGISTERED_STRATIFICATION_DOES_NOT_FIX_DPHI_CAUSAL_STRATIFICATION	REGISTERED_STRATIFICATION_DOES_NOT_FIX_DPHI_CAUSAL_STRATIFICATION	BOOST3_PLUS_ROTATION3_CARTAN_IF_DPHI_TIMELIKE_NONNULL	SO_PLUS_1_2_STABILIZER_PLUS_COMPLEMENT_IF_DPHI_SPACELIKE_NONNULL	PROFILE_AND_REPRESENTATIVE_DEPENDENT;IFF_OFF_STABILIZER_CONNECTION_NONZERO	AVAILABLE_ON_SMOOTH_FIXED_RANK_NONNULL_REGIONS;NOT_PHYSICAL_EVOLUTION	OTHER_PROJECTOR_STRATA_DO_NOT_DETERMINE_DPHI_STRATA	CONDITIONAL_ON_ORIENTATION_METRIC_REGULARITY_AND_NONNULL_DPHI	NO_COMPLETE_ONSHELL_WITNESS;NO_BRANCH_SELECTED
