id	premise	status	source	limit
P01	complete_four_dimensional_conformal_Lorentzian_metric_coframe	PINNED_BY_THEORY	udt_metric_pure_frame_rederivation_2026-07-23	no_selected_solution
P02	local_SO_plus_1_3_frame_algebra	PARENT_DERIVED	udt_frame_bivector_equivariance_audit_2026-07-23	pointwise
P03	alpha_equals_dphi	PINNED_BY_THEORY	complete_metric_intrinsic_object_audit	dynamics_open
P04	nonnull_dphi_rank3_plus_rank3_split	PARENT_DERIVED_CONDITIONAL	complete_metric_intrinsic_object_audit	nonnull_only
P05	timelike_split_equals_boost_rotation_Cartan_decomposition	PARENT_DERIVED_CONDITIONAL	frame_bivector_equivariance_audit	timelike_nonzero_dphi
P06	spacelike_split_has_SO_plus_1_2_stabilizer	PARENT_DERIVED_CONDITIONAL	frame_bivector_equivariance_audit	no_observer_selected
P07	Levi_Civita_connection	PINNED_BY_GEOMETRY_AFTER_REPRESENTATIVE	metric_geometry	local_CSN_dependence
P08	Kato_projector_transport	PARENT_DERIVED_GEOMETRIC_IDENTITY	global_metric_assembly_atlas	smooth_fixed_rank_projectors
P09	twelve_registered_completion_families	PINNED_BY_REGISTERED_ATLAS	global_metric_assembly_atlas	taxonomy_not_solutions
P10	complete_onshell_g_phi_finite_cell_solutions	ZERO_REGISTERED	finite_cell_survival_audit	no_fabrication
P11	static_time_live_boundary_cap_mirror_glue	FREE_AND_EXPLORED	finite_cell_survival_audit	no_preference
P12	timelike_spacelike_null_zero_typechange	FREE_AND_EXPLORED	current_scope	no_preference
P13	orientation	FREE_AND_EXPLORED	current_scope	Hodge_qualification
P14	CSN_projector_descent	PINNED_BY_THEORY	intrinsic_object_audit	connection_not_assumed_invariant
P15	c_E_observational_scale	OBSERVATIONAL_ANCHOR	current_UDT_status	no_effect_on_dimensionless_local_classification
P16	action_source_boundary_functional	OPEN_NOT_USED	current_frontier	no_dynamics
P17	carrier_Hopf_section_density_mass_scale	OPEN_NOT_USED	current_frontier	no_physical_promotion
P18	compute	CPU_ONLY	preregistration	no_GPU
