pair_id	lane	realization	bulk_status	free_seal_transversality	global_R_cell_equation	Xmax_join	P06_ready
L01_C01	L01	C01	CONDITIONAL_METRIC_BULK_OPERATOR	ONE_B_DEPENDENT_EMBEDDING_RESPONSE_ADDED_BOUNDARY_POLARIZATION_OPEN	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L01_C02	L01	C02	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_EMBEDDING_RESPONSE_PARTIAL_EXTRA_FIELD_RESPONSE_UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L01_C03	L01	C03	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_EMBEDDING_RESPONSE_PARTIAL_EXTRA_FIELD_RESPONSE_UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L01_C04	L01	C04	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_EMBEDDING_RESPONSE_PARTIAL_EXTRA_FIELD_RESPONSE_UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L01_C05	L01	C05	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_EMBEDDING_RESPONSE_PARTIAL_EXTRA_FIELD_RESPONSE_UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L01_C06	L01	C06	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_EMBEDDING_RESPONSE_PARTIAL_EXTRA_FIELD_RESPONSE_UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L01_C07	L01	C07	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_EMBEDDING_RESPONSE_PARTIAL_EXTRA_FIELD_RESPONSE_UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L02_C01	L02	C01	CONDITIONAL_METRIC_BULK_OPERATOR	ONE_B_DEPENDENT_EMBEDDING_RESPONSE_ADDED_BOUNDARY_POLARIZATION_OPEN	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L02_C02	L02	C02	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_EMBEDDING_RESPONSE_PARTIAL_EXTRA_FIELD_RESPONSE_UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L02_C03	L02	C03	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_EMBEDDING_RESPONSE_PARTIAL_EXTRA_FIELD_RESPONSE_UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L02_C04	L02	C04	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_EMBEDDING_RESPONSE_PARTIAL_EXTRA_FIELD_RESPONSE_UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L02_C05	L02	C05	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_EMBEDDING_RESPONSE_PARTIAL_EXTRA_FIELD_RESPONSE_UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L02_C06	L02	C06	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_EMBEDDING_RESPONSE_PARTIAL_EXTRA_FIELD_RESPONSE_UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L02_C07	L02	C07	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_EMBEDDING_RESPONSE_PARTIAL_EXTRA_FIELD_RESPONSE_UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L03_C01	L03	C01	NO_OPERATOR	UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L03_C02	L03	C02	NO_OPERATOR	UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L03_C03	L03	C03	NO_OPERATOR	UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L03_C04	L03	C04	NO_OPERATOR	UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L03_C05	L03	C05	NO_OPERATOR	UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L03_C06	L03	C06	NO_OPERATOR	UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
L03_C07	L03	C07	NO_OPERATOR	UNDEFINED	NOT_EVALUABLE_COMPLETE_GLOBAL_FUNCTIONAL_ABSENT	OPEN	NO
