basis_count	alpha_index	log10_alpha	alpha	lambda	raw_chi2	edf	gcv
16	0	-12.0	1e-12	1.4632182598642196e-13	2133.1160989009036	16.999999998346407	0.9049667864347894
16	1	-11.75	1.7782794100389228e-12	2.602010903909524e-13	2133.1160989008977	16.999999997059447	0.9049667864338058
16	2	-11.5	3.1622776601683794e-12	4.627102415119072e-13	2133.116098900901	16.99999999477088	0.9049667864320623
16	3	-11.25	5.6234132519034904e-12	8.228280952947618e-13	2133.116098900899	16.999999990701163	0.9049667864289589
16	4	-11.0	1e-11	1.4632182598642196e-12	2133.1160989009004	16.99999998346407	0.9049667864234417
16	5	-10.75	1.7782794100389227e-11	2.6020109039095236e-12	2133.1160989009004	16.999999970594487	0.9049667864136303
16	6	-10.5	3.1622776601683794e-11	4.627102415119072e-12	2133.1160989008977	16.999999947708787	0.9049667863961808
16	7	-10.25	5.6234132519034906e-11	8.228280952947618e-12	2133.1160989009004	16.999999907011613	0.9049667863651546
16	8	-10.0	1e-10	1.4632182598642198e-11	2133.116098900901	16.999999834640676	0.9049667863099793
16	9	-9.75	1.778279410038923e-10	2.6020109039095237e-11	2133.1160989009013	16.99999970594495	0.9049667862118621
16	10	-9.5	3.1622776601683795e-10	4.6271024151190724e-11	2133.116098900899	16.999999477088046	0.9049667860373809
16	11	-9.25	5.623413251903491e-10	8.228280952947619e-11	2133.116098900901	16.999999070116743	0.9049667857271076
16	12	-9.0	1e-09	1.4632182598642196e-10	2133.116098900904	16.999998346408695	0.904966785175355
16	13	-8.75	1.7782794100389228e-09	2.602010903909524e-10	2133.1160989009018	16.999997059455602	0.9049667841941831
16	14	-8.5	3.1622776601683795e-09	4.627102415119072e-10	2133.116098900904	16.99999477089986	0.9049667824493931
16	15	-8.25	5.623413251903491e-09	8.228280952947618e-10	2133.1160989009145	16.999990701228683	0.9049667793466875
16	16	-8.0	1e-08	1.4632182598642197e-09	2133.1160989009386	16.99998346428062	0.9049667738292609
16	17	-7.75	1.7782794100389228e-08	2.6020109039095237e-09	2133.1160989010336	16.999970595168584	0.9049667640179121
16	18	-7.5	3.162277660168379e-08	4.627102415119072e-09	2133.1160989013133	16.999947710935686	0.9049667465711315
16	19	-7.25	5.6234132519034905e-08	8.228280952947617e-09	2133.1160989022105	16.999907018412113	0.9049667155476038
16	20	-7.0	1e-07	1.4632182598642195e-08	2133.1160989050404	16.99983466217479	0.9049666603845408
16	21	-6.75	1.7782794100389227e-07	2.6020109039095235e-08	2133.1160989139908	16.999706012926957	0.9049665623063983
16	22	-6.5	3.162277660168379e-07	4.6271024151190715e-08	2133.116098942293	16.999477302975492	0.9049663879504164
16	23	-6.25	5.62341325190349e-07	8.228280952947617e-08	2133.116099031715	16.999070796156317	0.9049660780685281
16	24	-6.0	1e-06	1.4632182598642196e-07	2133.1160993141284	16.99834855582184	0.9049655275544328
16	25	-5.75	1.778279410038923e-06	2.602010903909524e-07	2133.116100205157	16.997066237762738	0.9049645502981668
16	26	-5.5	3.162277660168379e-06	4.627102415119072e-07	2133.116103011434	16.994792303984898	0.9049628178543764
16	27	-5.25	5.623413251903491e-06	8.228280952947619e-07	2133.11611182208	16.990768674259186	0.9049597540117348
16	28	-5.0	1e-05	1.4632182598642198e-06	2133.1161393319553	16.98367622482506	0.904954358498399
16	29	-4.75	1.778279410038923e-05	2.6020109039095237e-06	2133.116224402478	16.971258004238557	0.9049449272274793
16	30	-4.5	3.1622776601683795e-05	4.627102415119073e-06	2133.116483127191	16.94976669993801	0.9049286528685343
16	31	-4.25	5.623413251903491e-05	8.228280952947618e-06	2133.1172481985686	16.91330441901645	0.9049011810424122
16	32	-4.0	0.0001	1.4632182598642197e-05	2133.1194100411362	16.853437192394537	0.9048564621127415
16	33	-3.75	0.00017782794100389227	2.6020109039095236e-05	2133.1251144469434	16.76005633910746	0.9047877055659252
16	34	-3.5	0.00031622776601683794	4.627102415119072e-05	2133.1388624238043	16.62471277607164	0.9046903902138254
16	35	-3.25	0.0005623413251903491	8.228280952947619e-05	2133.1690191545576	16.445572352754105	0.9045666805105691
16	36	-3.0	0.001	0.00014632182598642196	2133.231415235726	16.228292226195897	0.9044276152398736
16	37	-2.75	0.0017782794100389228	0.00026020109039095237	2133.360005131404	15.977635354477492	0.9042912278499761
16	38	-2.5	0.0031622776601683794	0.0004627102415119072	2133.623295989712	15.686960631453166	0.9041814960550683
16	39	-2.25	0.005623413251903491	0.0008228280952947618	2134.119578641968	15.338893651623824	0.9041268172366397
16	40	-2.0	0.01	0.0014632182598642196	2134.915451393879	14.916492003274476	0.9041424427941873
16	41	-1.75	0.01778279410038923	0.0026020109039095237	2135.975104288756	14.410954812244016	0.9042064085405827
16	42	-1.5	0.03162277660168379	0.004627102415119072	2137.220230364369	13.818301706930411	0.9042824380624405
16	43	-1.25	0.05623413251903491	0.00822828095294762	2138.7319024600874	13.133698407448117	0.904401052926069
16	44	-1.0	0.1	0.014632182598642197	2140.9219348228676	12.355705777947186	0.9047350262599537
16	45	-0.75	0.1778279410038923	0.026020109039095237	2144.548424540342	11.497862702290563	0.9056142234227245
16	46	-0.5	0.31622776601683794	0.04627102415119072	2150.628823684235	10.592266240335565	0.9074910134314553
16	47	-0.25	0.5623413251903491	0.08228280952947618	2160.5065324553593	9.679216215100492	0.9109600993639975
16	48	0.0	1.0	0.14632182598642196	2176.2397262201425	8.793812102803887	0.9169119084020823
16	49	0.25	1.7782794100389228	0.26020109039095235	2201.1802078369255	7.960066980599959	0.9267712128008694
16	50	0.5	3.1622776601683795	0.4627102415119072	2240.6737511909428	7.19187972323481	0.9427914015274574
16	51	0.75	5.623413251903491	0.8228280952947619	2302.679158484253	6.496133213707273	0.9683156348790373
16	52	1.0	10.0	1.4632182598642196	2398.2921979235243	5.874928694317683	1.0079972694904087
16	53	1.25	17.78279410038923	2.6020109039095236	2544.6299231221187	5.326090634195552	1.069010679938656
