basis_count	alpha_index	log10_alpha	alpha	lambda	raw_chi2	edf	gcv
16	0	-12.0	1e-12	1.4632182598642201e-13	2133.116098900896	16.999999998346407	0.9049667864347862
16	1	-11.75	1.7782794100389228e-12	2.602010903909525e-13	2133.1160989008913	16.999999997059447	0.904966786433803
16	2	-11.5	3.1622776601683794e-12	4.627102415119073e-13	2133.116098900894	16.99999999477088	0.9049667864320593
16	3	-11.25	5.6234132519034904e-12	8.228280952947621e-13	2133.1160989008927	16.999999990701163	0.9049667864289562
16	4	-11.0	1e-11	1.46321825986422e-12	2133.116098900893	16.99999998346407	0.9049667864234386
16	5	-10.75	1.7782794100389227e-11	2.6020109039095244e-12	2133.1160989008913	16.999999970594487	0.9049667864136263
16	6	-10.5	3.1622776601683794e-11	4.627102415119074e-12	2133.116098900895	16.999999947708787	0.9049667863961797
16	7	-10.25	5.6234132519034906e-11	8.228280952947621e-12	2133.116098900895	16.999999907011613	0.9049667863651523
16	8	-10.0	1e-10	1.46321825986422e-11	2133.116098900893	16.999999834640676	0.904966786309976
16	9	-9.75	1.778279410038923e-10	2.6020109039095247e-11	2133.116098900895	16.99999970594495	0.9049667862118594
16	10	-9.5	3.1622776601683795e-10	4.627102415119074e-11	2133.1160989008927	16.999999477088046	0.9049667860373782
16	11	-9.25	5.623413251903491e-10	8.228280952947621e-11	2133.116098900893	16.999999070116743	0.9049667857271043
16	12	-9.0	1e-09	1.4632182598642204e-10	2133.116098900891	16.999998346408695	0.9049667851753493
16	13	-8.75	1.7782794100389228e-09	2.602010903909525e-10	2133.116098900895	16.999997059455602	0.9049667841941802
16	14	-8.5	3.1622776601683795e-09	4.627102415119074e-10	2133.1160989009004	16.99999477089986	0.9049667824493917
16	15	-8.25	5.623413251903491e-09	8.228280952947621e-10	2133.116098900904	16.999990701228683	0.904966779346683
16	16	-8.0	1e-08	1.4632182598642201e-09	2133.11609890093	16.99998346428062	0.9049667738292573
16	17	-7.75	1.7782794100389228e-08	2.602010903909525e-09	2133.116098901023	16.999970595168584	0.9049667640179077
16	18	-7.5	3.162277660168379e-08	4.6271024151190735e-09	2133.116098901308	16.999947710935686	0.9049667465711292
16	19	-7.25	5.6234132519034905e-08	8.22828095294762e-09	2133.1160989022055	16.999907018412113	0.9049667155476017
16	20	-7.0	1e-07	1.4632182598642201e-08	2133.116098905032	16.99983466217479	0.9049666603845371
16	21	-6.75	1.7782794100389227e-07	2.6020109039095245e-08	2133.116098913989	16.999706012926957	0.9049665623063975
16	22	-6.5	3.162277660168379e-07	4.6271024151190735e-08	2133.1160989422833	16.999477302975492	0.9049663879504124
16	23	-6.25	5.62341325190349e-07	8.228280952947621e-08	2133.1160990317076	16.999070796156317	0.904966078068525
16	24	-6.0	1e-06	1.4632182598642202e-07	2133.1160993141184	16.99834855582184	0.9049655275544286
16	25	-5.75	1.778279410038923e-06	2.602010903909525e-07	2133.1161002051495	16.997066237762738	0.9049645502981635
16	26	-5.5	3.162277660168379e-06	4.6271024151190735e-07	2133.1161030114217	16.9947923039849	0.9049628178543713
16	27	-5.25	5.623413251903491e-06	8.228280952947622e-07	2133.1161118220734	16.990768674259186	0.9049597540117321
16	28	-5.0	1e-05	1.4632182598642202e-06	2133.1161393319526	16.98367622482506	0.9049543584983979
16	29	-4.75	1.778279410038923e-05	2.602010903909525e-06	2133.1162244024713	16.971258004238557	0.9049449272274764
16	30	-4.5	3.1622776601683795e-05	4.627102415119074e-06	2133.1164831271826	16.94976669993801	0.9049286528685309
16	31	-4.25	5.623413251903491e-05	8.228280952947621e-06	2133.1172481985636	16.913304419016452	0.90490118104241
16	32	-4.0	0.0001	1.4632182598642202e-05	2133.1194100411385	16.853437192394537	0.9048564621127425
