gate_id	mutation_or_failure	must_fail_or_narrow
F01	candidate_missing_duplicate_or_role_changed	candidate_universe_integrity
F02	parent_package_or_source_hash_mismatch	frozen_authority
F03	profile_loop_radius_shell_or_point_added_after_outcome	preregistration_integrity
F04	connection_assigned_to_zero_blocked_or_degenerate_control	ownership_gate
F05	stereographic_omitted_point_not_proved_inside_D	global_chart_gate
F06	generic_equator_removed_again	domain_integrity
F07	connection_factorization_accepted_without_full_metric_identity	provenance_gate
F08	acceleration_term_dropped_without_n_phi_zero_proof	complete_connection_gate
F09	positive_denominator_cleared_without_sign_proof	zero_set_equivalence
F10	S_zero_called_D_without_biconditional proof	singularity_completeness
F11	rational_denominator_zero_omitted	clearing_integrity
F12	global_zero_claim_inferred_from_samples_or_scan	global_completeness
F13	complex_unit_ideal_called_real_decomposition_without_saturation	ideal_scope_gate
F14	nontrivial_saturated_ideal_silently discarded	negative_result_retention
F15	numeric_root_set_called complete without exact_or_interval proof	real_algebraic_gate
F16	one_candidate_zero_set assigned to all four without identity	branch_comparison
F17	C16_C17 scaling inferred from decimals	exact_twist_control
F18	regular_edge_or_radius omitted	18_loop_census
F19	pole_sign_puncture_or_shell omitted	20_loop_census
F20	dependent_sixth_edge_or_puncture promoted to independent without relation	homology_census
F21	homologous_loops_assigned_equal_holonomy despite_nonzero_curvature	path_dependence_guard
F22	finite_loop_value inferred from point curvature	finite_path_guard
F23	quadrature_retuned_after value inspection	outcome_retuning_guard
F24	quadrature convergence absent_or_tolerance_loose	numeric_certification
F25	nonzero integral claimed without error exclusion	zero_classification_guard
F26	orientation reversal fails to negate signed rapidity	orientation_control
F27	SO11 rapidity called U1 phase	group_provenance
F28	anchored_connection_value called arbitrary_gauge_invariant	frame_scope_guard
F29	screen_O2 component change alters geometric result	O2_naturality
F30	zero_radius trend called exact asymptotic theorem from three_radii	asymptotic_scope
F31	pole_shell trend called global pole theorem from two_shells	pole_scope
F32	full_Levi_Civita_holonomy_called_kernel_plane_holonomy	bundle_scope
F33	stationary_off_shell atlas called dynamic persistence	authority_guard
F34	one_profile_family called universal metric substrate	bounded_family_guard
F35	charge_quantization_carrier_Hopf_particle_or_force inferred	interpretation_guard
F36	action_source_boundary_density_bootstrap_Xmax_mass_or_stability inferred	physics_scope_guard
F37	GPU_fit_relaxation_or_observation_selection used	method_guard
F38	semantic_guard_advertised_as_independent algebra	evidence_honesty
F39	production_and_independent_routes share load_bearing functions	independence_guard
F40	object_or_premise_identity shifted_or_silently omitted	ledger_completeness
