candidate_id	profile_id	role	a	loop_id	parameter_name	parameter_value	H_256	H_512	H_1024	H_2048	convergence_difference	convergence_threshold	orientation_reverse_H_2048	orientation_reversal_error	status
C04	C04	PRIMARY_OWNER	1	R01	rho	0.01	-9.64078002198878870670816358027917107735977236142557684524531306121684085672316399957844758960159315506271e-106	1.18459971639027799992236031626889697894787119518194910154926565154936962368295831302660888668262581105684e-104	1.0891132947925591711846194823866693647689621374843590912661886084788032490233212062152355606241008663758e-104	1.11862096165525337794701891190642188925809614573530279698460524701665640996289247071554384111417335564006e-104	2.95076668626942067623994295197525244891340082509437057184166385378531609395712645003082804900724892642596e-106	9.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999363e-71	1.11862096165525337794701891190642188925809614573530279698460524701665640996289247071554384111417335564006e-104	2.23724192331050675589403782381284377851619229147060559396921049403331281992578494143108768222834671128012e-104	PASS_PRIMARY
C04	C04	PRIMARY_OWNER	1	R01	rho	0.05	-8.139385313523511432971202774938060034312966543165832054937711118681541974971387039264791926589573081016e-104	1.40087339145797915759995989541164443520361510630611309690989115295530537411597919566382777725365084420289e-104	-5.02696343926162486683889407146032990857801375327536361462702868099664322203671939517774758621966066609777e-104	-1.08751746703832481219115861447850245276908686714293781117996974070674849837473119736739137247587242712436e-104	3.93944597222330005464773545698182745580892688613242580344705894028989472366198819781035621374378823897341e-104	9.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999363e-71	-1.08751746703832481219115861447850245276908686714293781117996974070674849837473119736739137247587242712436e-104	2.17503493407664962438231722895700490553817373428587562235993948141349699674946239473478274495174485424873e-104	PASS_PRIMARY
C04	C04	PRIMARY_OWNER	1	R01	rho	0.1	-3.95771902642843067476792638708868238605070258627271321330742559892066127692249186494628790568954577760844e-104	3.49769540175092778032738948777323049606803258954122144255550276822193258808949652128691504790868689652357e-105	-5.52811809096612397051349945086858551019146668051213537531369572927192088492461294123727828115703648443059e-105	-1.46747398194826021160416278706733198784853841512703271075190252722758919574518638495793140686505268674044e-104	9.14662172851647814552812841980473436829391747075819173220532954300397107252725090834203578749349038297383e-105	9.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999363e-71	-1.46747398194826021160416278706733198784853841512703271075190252722758919574518638495793140686505268674044e-104	2.93494796389652042320832557413466397569707683025406542150380505445517839149037276991586281373010537348088e-104	PASS_PRIMARY
C04	C04	PRIMARY_OWNER	1	R02	rho	0.01	0.0000000695503075032180289276391511848220682524407919310538046367938687844726546213483313819074087380787500449251	0.0000000695503075032180289276391511848220682561965910809440580824266904536609969754225386716894420001479421462525	0.0000000695503075032180289276391511848220682561965910809440580824266904536609969754382170050007753776058516147973	0.0000000695503075032180289276391511848220682561965910809440580824266904536609969754382170050007753776058528581216	1.24332427328238001021373568514421418368800624641871902747011462681915137799370122379523077004838821536884e-105	9.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999363e-71	-0.00000006955030750321802892763915118482206825619659108094405808242669045366099697543821700500077537760585327455	4.16428472352797140407203253448986805358517160615584660570469898982578783451314998928676607228535505010523e-106	PASS_PRIMARY
C04	C04	PRIMARY_OWNER	1	R02	rho	0.05	0.00000864815675247201932948132508383311710414400947471244222978836840745268801337275853303069676293983628212005	0.00000864815675247201932948132508383311710463615078650960217252379924084921960635077084304016344912852879766893	0.00000864815675247201932948132508383311710463615078650960217252379924084921960635293037172560643058673110168395	0.00000864815675247201932948132508383311710463615078650960217252379924084921960635293037172560643058673109339966	8.28428666471985804065700051033076409514857860627486212275977745869637301720734623635616776097994558843021e-105	9.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999363e-71	-0.00000864815675247201932948132508383311710463615078650960217252379924084921960635293037172560643058673109383568	4.36015087616834633718789500543724426060451505593413795934725129405072264063544538755587776893681346759485e-106	PASS_PRIMARY
C04	C04	PRIMARY_OWNER	1	R02	rho	0.1	0.0000680660553801199110996417356756909187651524909794941273003320166373594956555270757454286760432862224611247	0.0000680660553801199110996417356756909187695956978705729957470402856344460821520252033021763941478266545585842	0.0000680660553801199110996417356756909187695956978705729957470402856344460821520463604703338496301463434999741	0.0000680660553801199110996417356756909187695956978705729957470402856344460821520463604703338496301463435209028	2.09287242056080624185018960260987724509016722684838622048668062114434686750501378602682132908967046444553e-104	6.80660553801199110996417356756909187695956978705729957470402856344460821520463604703338496301463435210772e-70	-0.0000680660553801199110996417356756909187695956978705729957470402856344460821520463604703338496301463435121825	8.72030175233669267437579001087448852120903011186827591869450258810144528127089077511175553787362693518969e-105	PASS_PRIMARY
C04	C04	PRIMARY_OWNER	1	R03	rho	0.01	1.04204677954925343155632599391670599195629352738717813107711065557961523135940232224013179561880293694361e-106	5.21023389774626715778162996958352995978146763693589065538555327789807615679701161120065897809401468471803e-107	-8.16031329343042756394594781086569305817657094071337765994403468009040737087167630619797153812492546611163e-107	-4.00331143235416997042374992075374080647388102905411576481176123509501212371775935368309601083454828937098e-106	3.18728010301112721402915513966717150065622393498277799881735776708597138663059172306329885702205574275982e-106	9.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999363e-71	-4.00331143235416997042374992075374080647388102905411576481176123509501212371775935368309601083454828937098e-106	8.00662286470833994084749984150748161294776205810823152962352247019002424743551870736619202166909657874196e-106	PASS_PRIMARY
C04	C04	PRIMARY_OWNER	1	R03	rho	0.05	-7.12148494649305433156739508411775820474055868986265099746634693572755499009403135793149511308532722770444e-105	4.25703791535074309087740573684658151233896657222074080513993136689563801685717326871536963899900930623729e-106	-9.41480212320201857316998511951157331423713935172612722560536867942873467723662132914958991179332884076123e-106	-2.82379457656003196914940758970613066697817907833789669342460438620119224660604242718963679195190131807074e-105	1.88231436423983011183240907775497333555446514316528397086406751825831877888238029427467780077256843399461e-105	9.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999363e-71	-2.82379457656003196914940758970613066697817907833789669342460438620119224660604242718963679195190131807074e-105	5.64758915312006393829881517941226133395635815667579338684920877240238449321208485437927358390380263614147e-105	PASS_PRIMARY
C04	C04	PRIMARY_OWNER	1	R03	rho	0.1	1.8552622570785547030518040383469745990286502255928594842526087464051731012265998512666082502928125444745e-105	-1.31778440614463078679365692097134434349154840055147351295708761320996560193200036650894695662043701147571e-104	-4.92944944338097013977502142043925871366617936975659519264339264149172911702026320092558582864841919933322e-105	3.6186225104923287428052276711564482564363100447730066529552929523628805608384524536309012757653381557498e-107	4.96563566848589342720307369715082319623054247020432525917294557101535792262864772546189484140607258089344e-105	9.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999363e-71	3.6186225104923287428052276711564482564363100447730066529552929523628805608384524536309012757653381557498e-107	7.2372450209846574856104553423128965128726200895460133059105859047257611216769049072618025515306763114996e-107	PASS_PRIMARY
C04	C04	PRIMARY_OWNER	1	R04	rho	0.01	3.30694817756769021555436662440978757347492519792974603635167901491252244854410966725980174506365225255123e-107	5.36306068184244146503209750272704764083916763596873368078231587904312262882110697602068017231492997496246e-106	2.09295222540462171437304039737597081791605210674826237669626148182147485140567868491704527839110337528e-106	2.15706137280440641129400916284568278320991835649468545177783114817190344237696671520073580456466756066216e-106	6.41091473997846969209687654697119652938662497464230750815696663504285909712880302836905261735641853821545e-108	9.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999363e-71	2.15706137280440641129400916284568278320991835649468545177783114817190344237696671520073580456466756066216e-106	4.31412274560881282258801832569136556641983671298937090355566229634380688475393343040147160912933512132431e-106	PASS_PRIMARY
