candidate_id	parent_status	global_role	lambda	a	profile_scope
C01	ZERO	NO_CONNECTION_CONTROL	-1	1	frozen_parent
C02	ZERO	NO_CONNECTION_CONTROL	0	1	frozen_parent
C03	ZERO	NO_CONNECTION_CONTROL	1	1	frozen_parent
C04	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	GLOBAL_CURVATURE_OWNER	0	1	area_only
C05	ZERO	NO_CONNECTION_CONTROL	0	1	diagonal_shear
C06	ZERO	NO_CONNECTION_CONTROL	0	1	offdiagonal_shear
C07	ZERO	NO_CONNECTION_CONTROL	0	1	both_shears
C08	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	GLOBAL_CURVATURE_OWNER	0	1	full_screen
C09	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	GLOBAL_CURVATURE_OWNER	-1	1	full_screen
C10	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	GLOBAL_CURVATURE_OWNER	1	1	full_screen
C11	ZERO	NO_CONNECTION_CONTROL	0	1	slaved_area
C12	ZERO	NO_CONNECTION_CONTROL	0	1	constant_area
C13	ZERO	NO_CONNECTION_CONTROL	0	1	constant_depth
C14	PROJECTOR_BLOCKED	PROJECTOR_BLOCKED_CONTROL	0	1	homogeneous
C15	PROJECTOR_BLOCKED	PROJECTOR_BLOCKED_CONTROL	0	0	twist_free
C16	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	EXACT_TWIST_SCALING_CONTROL	0	4	full_screen_C08_shape
C17	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	EXACT_TWIST_SCALING_CONTROL	0	5	full_screen_C08_shape
C18	METRIC_DEGENERATE	DEGENERATE_CONTROL	0	1	V_zero
