candidate_id	profile_id	a	loop_id	parameter_name	parameter_value	H_independent	H_reverse_independent	primary_difference	orientation_reversal_error	agreement_threshold	status
C17	C08	5	R01	rho	0.01	-0.000000050822934998464424092828503169573218288918047630599545607600497081955559965416846028732730532579381396593024488110589655447809	0.000000050822934998464424092828503169573218288918047630599545607600497081955559965416846028732730532579381396593024488110589655442039	8.4704891664107438171547124488110589655447400823610838793543989667797272091379122956301487300951121768764494180262905663114846e-89	5.770611636116084862974331726560520898655383575035320021938924404001856368925699539277974120195231731098976049583486419229762e-129	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C17	C08	5	R01	rho	0.05	-0.0000056940647171662424681744857753700115770662948508143936502336185649615616318172449641090635710211188052055427205230099125114895	0.0000056940647171662424681744857753700115770662948508143936502336185649615616318172449641090635710211188052055427205230099125114895	9.4901078619437376617402727205230099125113330585620906524918758835010914717256271001361997524921035523979779968545848332104756e-87	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C17	C08	5	R01	rho	0.1	-0.000032611790870231576056830719713876123632710306166337696284959915363108655535437744448923200443466489888095695720708565109682283	0.000032611790870231576056830719713876123632710306166337696284959915363108655535437744448923200443466489888095695720708565109682283	5.4352984783719293367144995720708565109682250485995729157139062426832196335388315403238955152975885286059931896779944290062119e-86	0.0	3.2611790870231576056830719713876123632710306166337696284959915363108655535437744394570215659747196520950700000000000000001442e-70	PASS_INDEPENDENT
C17	C08	5	R02	rho	0.01	-0.0042268037336738526397087141800934848205187361286903169791106125482763216930986126151170000455048501920012377505384992425574255	0.0042268037336738526397087141800934848205187361286903169791106125482763216930986126151170000455048501920012377505384992425574255	7.0446728894564210662377377505384992425572256861898505660964902144098368220455326768165681403375948359215949626112938507899425e-84	0.0	4.2268037336738526397087141800934848205187361286903169791106125482763216930986126080723271560484291257635000000000000000001528e-68	PASS_INDEPENDENT
C17	C08	5	R02	rho	0.05	-0.020932348394449846701639627668774277748461139631908274976431701036475752778174993009990749867493386773927544234205202002438595	0.020932348394449846701639627668774277748461139631908274976431701036475752778174993009990749867493386773927544234205202002438595	3.488724732408307783582524423420520200243811040200221983986654519413086406932713346468767882334928905698041989279224892211923e-83	0.0	2.0932348394449846701639627668774277748461139631908274976431701036475752778174992975103502543410308938102300000000000000000695e-67	PASS_INDEPENDENT
C17	C08	5	R02	rho	0.1	-0.040660276891829827822317543669124305513129791734530282780317215476426925098415116980906244942483755992188677090392220771650208	0.040660276891829827822317543669124305513129791734530282780317215476426925098415116980906244942483755992188677090392220771650208	6.7767128153049713036875077090392220771653146123889109258979513657708093597180294655876834444324507639196008299092268251242178e-83	0.0	4.066027689182982782231754366912430551312979173453028278031721547642692509841511691313911678943404295531359999999999999999881e-67	PASS_INDEPENDENT
C17	C08	5	R03	rho	0.01	0.0000000000015437611128464872987557019159506521739034759248123469405689844273346449208012274889021534365358361036241952384239215711931609	-0.0000000000015437611128464872987557019159506521739034759248123469405689844273346449208012274889021534365358361036241952384239215714636583	1.3625187176931821774908755238423921571193135631096332341522489539739482654565364053623889698812012725113530873261328460642077e-92	2.7049742044294147795192179968252441712447110507978062602838708143758701729339216590365503688415148739526450232422592590139509e-130	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C17	C08	5	R03	rho	0.05	0.0000000048836633391639262140985560123960136739208907669372596869184699402283066274716027034600421474482580584646944848181870184750131	-0.0000000048836633391639262140985560123960136739208907669372596869184699402283066274716027034600421474482580584646944848181870184735704	4.2988320424785157384551274484818187018474730484034390976936390694707630866069347803002229827767054445759451293741249324639676e-89	1.4426529090290212157435829316401302246638458937588300054847311010004640922314248848194935300488079327747440123958716048074405e-129	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C17	C08	5	R03	rho	0.1	0.00000016216074719107340385530488175484634835021857241702790938941136924717693806509894621467732929708062569179485906067350442749378	-0.00000016216074719107340385530488175484634835021857241702790938941136924717693806509894621467732929708062569179485906067350442749378	1.4163785247517463425793698590606735044274953085969904913453235746048273676826048664124145799336128717502417371050571859623797e-87	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C17	C08	5	R04	rho	0.01	-0.0000000000015437452072176920957794505901529144965411425746997191928297760004886225495196937644736964695272433073596295678306665443944197	0.0000000000015437452072176920957794505901529144965411425746997191928297760004886225495196937644736964695272433073596295678306665441013809	1.362516069949651575199437956783066654439445402341277192026414705934939844842581102707024368481235857370659633445873090986194e-92	2.9303887214651993444791528298940145188484369716976234486408600489071926873450817972895962329116411134486987751791141972651135e-130	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C17	C08	5	R04	rho	0.05	-0.0000000048824350792611064314676813588468936096831248389479219039155363838376754933311161874923335547889078650159513267607269876377568	0.0000000048824350792611064314676813588468936096831248389479219039155363838376754933311161874923335547889078650159513267607269876399207	4.2986335559757016062090171326760726987637835034757796905471668342559418275206266620759952860345862953841089437416917084643532e-89	2.1639793635435318236153743974601953369957688406382450082270966515006961383471373272292402950732118991621160185938074072111608e-129	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C17	C08	5	R04	rho	0.1	-0.00000016200924825412418870996934644513965578441195554608488351172209226595851660496487326775575384686441260781140110893482697693606	0.00000016200924825412418870996934644513965578441195554608488351172209226595851660496487326775575384686441260781140110893482697693606	1.4161576271975665186729044011089348269769470816725989048387781780746841251080955165950868790027539395513578185284403130990304e-87	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C17	C08	5	R05	rho	0.01	-0.000000000011698913988209691683726387346662127104682788774252484727846933450282267051715923650721358418760852234185987615076333270485596	0.000000000011698913988209691683726387346662127104682788774252484727846933450282267051715923650721358418760852234185987615076333270315126	1.1079512508314440868226498761507633327048532289160429529673458144498350355253709364320561114887272762435840732578915746129068e-91	1.704697285083120772509507175082575753753177276804867486949731086143126515234398545538659347030329686188906499022465470524417e-130	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C17	C08	5	R05	rho	0.05	-0.000000035772787266727697487868493202066460479263962725357301304467519721003792579999375448228400696653575697884874193227794864008164	0.000000035772787266727697487868493202066460479263962725357301304467519721003792579999375448228400696653575697884874193227794864008164	3.3880264210073937453893847419322779486400807770972866394139016566281751169628493340751925452521809481151923656526424922375331e-88	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
