object_id	object	question	maximum_status
O01	global_domain_M	does_stereographic_R3_cover_all_of_M_and_what_is_excluded	EXACT_DOMAIN
O02	connection_factorization	does_full_metric_omega_reduce_to_minus_a_eta_over_sqrt_uS	EXACT_IDENTITY_OR_REFUTED
O03	positive_denominators	which_factors_are_positive_or_nonzero_on_M	EXACT_SIGN_ATLAS
O04	singularity_set	is_D_the_complete_singularity_set	EXACT_GLOBAL_SET_OR_OPEN
O05	C04_curvature_polynomials	what_are_cleared_primitive_B_components	EXACT_POLYNOMIAL_TRIPLE
O06	C08_curvature_polynomials	what_are_cleared_primitive_B_components	EXACT_POLYNOMIAL_TRIPLE
O07	C09_curvature_polynomials	what_are_cleared_primitive_B_components	EXACT_POLYNOMIAL_TRIPLE
O08	C10_curvature_polynomials	what_are_cleared_primitive_B_components	EXACT_POLYNOMIAL_TRIPLE
O09	C04_global_zero_set	what_is_the_real_saturated_zero_set_on_M	EXACT_OR_OPEN_PARTIAL
O10	C08_global_zero_set	what_is_the_real_saturated_zero_set_on_M	EXACT_OR_OPEN_PARTIAL
O11	C09_global_zero_set	what_is_the_real_saturated_zero_set_on_M	EXACT_OR_OPEN_PARTIAL
O12	C10_global_zero_set	what_is_the_real_saturated_zero_set_on_M	EXACT_OR_OPEN_PARTIAL
O13	cross_configuration_zero_relation	which_zero_components_are_shared_or_distinct	EXACT_OR_OPEN
O14	C16_C17_curvature_scaling	do_controls_scale_C08_by_four_and_five	EXACT
O15	regular_loop_census	are_all_18_regular_geometric_loops_evaluated	EXACT_CENSUS
O16	pole_loop_census	are_all_20_pole_geometric_loops_evaluated	EXACT_CENSUS
O17	finite_integral_values	what_are_the_152_primary_signed_rapidities	OBSERVED_HIGH_PRECISION
O18	twist_integral_scaling	do_all_76_controls_scale_exactly	EXACT_OR_NUMERIC_CERTIFICATE
O19	loop_orientation_control	does_orientation_reversal_negate_each_tested_integral	EXACT_OR_NUMERIC_CERTIFICATE
O20	radius_dependence	how_do_regular_integrals_change_across_three_fixed_radii	BOUNDED_ATLAS
O21	pole_shell_dependence	how_do_pole_integrals_change_across_two_fixed_shells	BOUNDED_ATLAS
O22	homology_vs_path_dependence	can_values_be_inferred_from_H1_or_require_paths	EXACT_SCOPE_RULING
O23	infinitesimal_limit_consistency	do_regular_values_approach_zero_consistently	BOUNDED_ASYMPTOTIC_CHECK
O24	screen_O2_naturality	do_consistent_component_changes_preserve_geometric_results	EXACT_NATURALITY
O25	SO11_frame_gauge_scope	which_connection_values_are_anchored_frame_dependent	EXACT_SCOPE_RULING
O26	zero_blocked_degenerate_controls	do_controls_remain_unassigned	FAIL_CLOSED
O27	full_Levi_Civita_holonomy	is_it_computed_or_conflated	OPEN_DISTINCT
O28	charge_carrier_substrate_or_selection	does_any_result_supply_physics	OPEN_NOT_INFERRED
