object	status	role	guard
reciprocal_cE_character	DERIVED_ON_SUPPLIED_DEPTH	local reciprocal representation	does not assign physical pair edge
copresence	WORKING_FOUNDATIONAL_FRAME	whole-solution observer co-membership	not local transport or instantaneous signalling
complete_metric_history	FREE_AND_EXPLORED	two frozen regular witnesses	neither witness promoted to physical history
local_light_cones	DERIVED_CONDITIONALLY	causal admissibility from supplied Lorentz metric	not material-light dynamics
null_hamiltonian_preservation	DERIVED	metric affine propagation identity	not history selection
frequency_ratio_cocycle	DERIVED_CONDITIONALLY	same carried covector and endpoint clocks	requires matched calibration and query
terminal_reciprocal_composition	DERIVED_CONDITIONALLY	shared endpoint calibration potential	independently rebuilt pair tapes need not share it
full_jacobi_phase_composition	DERIVED_CONDITIONALLY	matched branch and phase state	position-block inverse not required
screen_holonomy	DERIVED_CONDITIONALLY	path-labelled orthogonal transport	nonidentity loop is lawful
pair_groupoid_global_descent	CONDITIONAL_NONIDENTITY_CLOSURE	zero reciprocal triangle periods on supplied physical pair family	not yet derived as metric-only law
all_route_identity	EXTRA_UNOWNED_PREMISE	would force flat descent	do not erase lawful curvature or holonomy
global_causal_completion	OPEN_NONIDENTITY_CLASS	chronology causality stable causality or global hyperbolicity	not implied by local cones or Reciprocity
metric_to_physical_pair_family	OPEN	assigns direct co-present relation arrows	current smallest ownership gap
mixed_causal_pair_compatibility	OPEN_NEXT_GATE	joins causal carried and direct co-present edges	must reproduce G116 locally and retain angular phase
SNe_transfer_Xmax_bootstrap_action_source_matter	OMITTED	downstream or separate lanes	not used as selector
