object	status	claim	scope
primary_radial_pair_phi_equals_profile	DERIVED_CONDITIONAL	completed_pair_Phi_equals_primary_phi	supplied_calibrated_radial_pair
connected_scalar_incidence_rank	DERIVED	rank_equals_N_minus_1	arbitrary_finite_connected_graph
anchored_primary_state_dimension	DERIVED	nu_of_N_equals_N_minus_1	frozen_scalar_network_equations
cycle_composition	DERIVED	cycle_rank_equals_E_minus_N_plus_1	connected_graph
angular_jet_map	DERIVED_CONDITIONAL	locally_invertible_with_determinant_minus_exp_minus_4phi	finite_real_phi_primary_metric
angular_value_propagation	OPEN	no_owned_residual_from_endogenous_angular_outputs	18_source_bounded_universe
finite_radial_jet_realization	DERIVED	arbitrary_value_first_second_jets_have_exact_smooth_realization	distinct_positive_finite_nodes
finite_timelive_jet_realization	DERIVED	arbitrary_event_clock_jets_have_exact_smooth_realization	distinct_finite_event_nodes
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	used_conditionally_not_canon	G176_scope
primary_profile_value_law	OPEN	function_valued_state_remains	18_source_bounded_universe
observational_anchor	OBSERVED_CLOSED_FOR_G256	not_used	no_fit_scope
X_max	WORKING_FOUNDATIONAL_FRAME_CLOSED_FOR_G256	not_used	no_boundary_or_profile_input
ODE_PDE_GPU	OPEN_GATED	no_owned_residual_defines_a_solve	G256_solver_gate
G256_landing	EXTERNALLY_VERIFIED_WITH_CAVEATS__R2_SELF_CONTAINED_REPLAY_ACCEPTED	function_valued_primary_state_remains	bounded_18_source_universe
