kind	N	edge_count	incidence_rank	cycle_rank	cycle_annihilation_rank	anchored_state_dimension
path	2	1	1	0	0	1
star	2	1	1	0	0	1
complete	2	1	1	0	0	1
path	3	2	2	0	0	2
star	3	2	2	0	0	2
cycle	3	3	2	1	1	2
complete	3	3	2	1	1	2
path	4	3	3	0	0	3
star	4	3	3	0	0	3
cycle	4	4	3	1	1	3
complete	4	6	3	3	3	3
path	5	4	4	0	0	4
star	5	4	4	0	0	4
cycle	5	5	4	1	1	4
complete	5	10	4	6	6	4
path	6	5	5	0	0	5
star	6	5	5	0	0	5
cycle	6	6	5	1	1	5
complete	6	15	5	10	10	5
path	7	6	6	0	0	6
star	7	6	6	0	0	6
cycle	7	7	6	1	1	6
complete	7	21	6	15	15	6
path	8	7	7	0	0	7
star	8	7	7	0	0	7
cycle	8	8	7	1	1	7
complete	8	28	7	21	21	7
path	9	8	8	0	0	8
star	9	8	8	0	0	8
cycle	9	9	8	1	1	8
complete	9	36	8	28	28	8
path	10	9	9	0	0	9
star	10	9	9	0	0	9
cycle	10	10	9	1	1	9
complete	10	45	9	36	36	9
path	11	10	10	0	0	10
star	11	10	10	0	0	10
cycle	11	11	10	1	1	10
complete	11	55	10	45	45	10
path	12	11	11	0	0	11
star	12	11	11	0	0	11
cycle	12	12	11	1	1	11
complete	12	66	11	55	55	11
