domain	N	condition_count	matrix_rank	maximum_degree	all_jets_exact	null_deformation_preserves_all_registered_jets	third_germ_change_at_first_node	coefficient_sha256
radial	2	6	6	5	True	True	-6	a447e233be930bcc4705225dd482bdabede310e767073177179e87950b6f9c97
radial	3	9	9	8	True	True	48	bdfa3580689679b2ae98b0a076689b2d137dec16d606a54c40ccbb57f247a574
radial	4	12	12	11	True	True	-1296	270301a0197210c7e3f834f186696c9d6afe2eb143ca54960adb550780a0b836
radial	5	15	15	14	True	True	82944	fa71a956aed7b94f7d3b9d663154c5125723a60eb30e3eb85a7c7414c6188461
radial	6	18	18	17	True	True	-10368000	e9c5075a7556fa14c474ddbd5ba576531e53553a635c8cfe7e5483a1ac9284d3
radial	7	21	21	20	True	True	2239488000	dea4c7e096b037a1fa1cc80695efa35959db7db526fba99ceefafa97e63f3990
radial	8	24	24	23	True	True	-768144384000	2a378abb108c6214ffef8c6cce8f3dc6f5749490aa625d65b45d5ce5079f5996
timelive	2	6	6	5	True	True	-6	a447e233be930bcc4705225dd482bdabede310e767073177179e87950b6f9c97
timelive	3	9	9	8	True	True	48	bdfa3580689679b2ae98b0a076689b2d137dec16d606a54c40ccbb57f247a574
timelive	4	12	12	11	True	True	-1296	270301a0197210c7e3f834f186696c9d6afe2eb143ca54960adb550780a0b836
timelive	5	15	15	14	True	True	82944	fa71a956aed7b94f7d3b9d663154c5125723a60eb30e3eb85a7c7414c6188461
timelive	6	18	18	17	True	True	-10368000	e9c5075a7556fa14c474ddbd5ba576531e53553a635c8cfe7e5483a1ac9284d3
timelive	7	21	21	20	True	True	2239488000	dea4c7e096b037a1fa1cc80695efa35959db7db526fba99ceefafa97e63f3990
timelive	8	24	24	23	True	True	-768144384000	2a378abb108c6214ffef8c6cce8f3dc6f5749490aa625d65b45d5ce5079f5996
