configuration_id	design_id	design_family	bank	point_id	configuration_sha256	metric_jet_sha256	phi_jet_sha256	parameter_tangent_sha256	alpha_0	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	beta	determinant	inertia	identity_residual	latent_to_slot_rank	latent_rank_status	scalar_curvature	ricci_rank	ricci_rank_status	curvature_operator_rank	curvature_rank_status	riemann_max_abs	ricci_max_abs	weyl_max_abs	weyl_trace_residual	ricci_square	riemann_square	weyl_square	mixed_curvature_max_abs	time_derivative_activity	depth_derivative_activity	angular2_derivative_activity	angular3_derivative_activity	expansion_0	expansion_1	expansion_rank	shear_rank	twist_rank	twist_max_abs	shear_max_abs	phi	phi_gradient_norm	phi_gradient_max_abs	phi_horizontal_support	phi_vertical_support	phi_hessian_max_abs	complete_metric_parameter_rank	combined_parameter_rank	retained	physical_merit
O00_B0_P0	O00	ORIGIN	B0	P0	489183e5cd6a23268a2a97497bdd5da067a466d20c905212a89b8fa336377e14	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	527b82953b39c16712bbe090e5ef96084c4fc4a68dffaba71cac8efea50ac945	dfe3c8c3075fd01ffad3e97ba6b2d117f54b42a426006ec866f74d31377885d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	-0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
O00_B0_P4	O00	ORIGIN	B0	P4	489183e5cd6a23268a2a97497bdd5da067a466d20c905212a89b8fa336377e14	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	527b82953b39c16712bbe090e5ef96084c4fc4a68dffaba71cac8efea50ac945	7d45a8677173d11a933f593b130bf84069200ad64928279b9a51e3fa5f89b935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	-0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
O00_B1_P1	O00	ORIGIN	B1	P1	ed88600f67835aa4c7c72298400dc0870370ba474d6483e2001af5ad97b507d2	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	28dfda44cf903e60c76839d44e49e280426e9e9f9c40f719d00f92a62ae4d998	700d100bf6ca8a26c534be90ed357949e58e0f82a7a41970a48fc565f5024462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
O00_B1_P5	O00	ORIGIN	B1	P5	ed88600f67835aa4c7c72298400dc0870370ba474d6483e2001af5ad97b507d2	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	28dfda44cf903e60c76839d44e49e280426e9e9f9c40f719d00f92a62ae4d998	12ac2c180953681f699064a21d5e94af5f86adce519c16f73fb921bba94fe4b1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
O00_B2_P2	O00	ORIGIN	B2	P2	b6f985a9093a93ce62c6f81a1225a5cf9e8b23695e70c6f4051755885c6ddf1f	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	46f491a8f59ba536515f87502a4e3a4bac051a35b7d80a81f3a0845f7359914c	52c2ad67007d2b016ed3fcf0e89106b5a6b2a6dd17dac240275b0977c7baec01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
O00_B2_P6	O00	ORIGIN	B2	P6	b6f985a9093a93ce62c6f81a1225a5cf9e8b23695e70c6f4051755885c6ddf1f	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	46f491a8f59ba536515f87502a4e3a4bac051a35b7d80a81f3a0845f7359914c	809ff71b5b1405c16b3efda872102dfb624614478e5065f3d0a11ef6e0a85dde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
O00_B3_P3	O00	ORIGIN	B3	P3	a92339cd53ae05abe4b199a362f8d143e65260e581a3ea37320f2bc5e86d1b8f	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	ac335f35da29702418f5d8cf71dd82a02d637b793c3f7cbcab1e4cc1bbed6d89	8901e553ec904b45deb639d72b8c4f6f141594688a9197c095284591661b0ce7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
O00_B3_P7	O00	ORIGIN	B3	P7	a92339cd53ae05abe4b199a362f8d143e65260e581a3ea37320f2bc5e86d1b8f	1128763960173f2d5d5ff770393019f3d61ab005fe9a83d8135afc4b09880fc2	ac335f35da29702418f5d8cf71dd82a02d637b793c3f7cbcab1e4cc1bbed6d89	a58330a280362058f55a5c432fbc03a80bcc33d5e8ae1f4024ae81a4ed7feb69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.0	0	NUMERIC_CLASSIFIED	0	NUMERIC_CLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00P_B0_P0	A00P	METRIC_AXIS	B0	P0	f6653f5fb1103b733c88771c36a2736a849432f5c7abc3d7f7488a099ea405bd	8b37d014a35eae12ac38843cd2e3bdfbeb29e4f471a40e1dd5fe34e6f6860978	527b82953b39c16712bbe090e5ef96084c4fc4a68dffaba71cac8efea50ac945	d38fbda32d468d85c7e03a221eadb9fb6131ea2cf02e96587776d91e0a66ca46	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.04885146491240536	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.09258417241833218	0.07887661170094944	0.04025919568827926	1.0408340855860843e-17	0.016160774528710904	0.061710570959231485	0.03018451044317229	0.09258417241833218	0.3520532612975431	0.15646811613224137	0.07823405806612069	0.31293623226448275	0.0	0.0	0	0	0	0.0	0.0	-0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00P_B0_P4	A00P	METRIC_AXIS	B0	P4	0d78512fd0e84f6e7c504b0e6371a2dad31049934694fa20fc7f5512694f3003	1bcd9093e42e01b8d210b3a3495647d9a87374c82a261409b9182c61aeedca2b	527b82953b39c16712bbe090e5ef96084c4fc4a68dffaba71cac8efea50ac945	c6e9bf0463a3e5db53c0af3e5b703b71c5afd2fab6f0f6d3c00cab614918c536	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4676806472446766	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.04210614434001738	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.0925722239180128	0.07858135112907177	0.04112219691459434	1.8214596497756474e-17	0.016612198905722655	0.06411884127493744	0.03148541926055295	0.0925722239180128	0.3718145877642794	0.15560436602957212	0.0671494185319105	0.28589137588412	0.0	0.0	0	0	0	0.0	0.0	-0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
