bank	field	control	target	dx0_linear	dx1_linear	dx2_linear	dx3_linear	all_coordinates_present
B0	a	alpha_0	METRIC_ONLY	0.15	-0.06666666666666667	0.03333333333333333	0.13333333333333333	YES
B0	b	alpha_1	METRIC_ONLY	-0.03333333333333333	0.06666666666666667	-0.15	-0.05	YES
B0	c	alpha_2	METRIC_ONLY	0.1	-0.11666666666666667	-0.016666666666666666	0.08333333333333333	YES
B0	d	alpha_3	METRIC_ONLY	-0.08333333333333333	0.016666666666666666	0.11666666666666667	-0.1	YES
B0	e	alpha_4	METRIC_ONLY	0.05	0.15	-0.06666666666666667	0.03333333333333333	YES
B0	f	alpha_5	METRIC_ONLY	-0.13333333333333333	-0.03333333333333333	0.06666666666666667	-0.15	YES
B0	A2_0	alpha_6	METRIC_ONLY	0.016666666666666666	0.1	-0.11666666666666667	-0.016666666666666666	YES
B0	A3_0	alpha_7	METRIC_ONLY	0.13333333333333333	-0.08333333333333333	0.016666666666666666	0.11666666666666667	YES
B0	A2_1	alpha_8	METRIC_ONLY	-0.05	0.05	0.15	-0.06666666666666667	YES
B0	A3_1	alpha_9	METRIC_ONLY	0.08333333333333333	-0.13333333333333333	-0.03333333333333333	0.06666666666666667	YES
B0	phi	beta	PHI_ONLY	-0.1	-0.016666666666666666	0.1	-0.11666666666666667	YES
B1	a	alpha_0	METRIC_ONLY	0.06666666666666667	-0.13333333333333333	-0.016666666666666666	0.1	YES
B1	b	alpha_1	METRIC_ONLY	-0.1	0.016666666666666666	0.13333333333333333	-0.06666666666666667	YES
B1	c	alpha_2	METRIC_ONLY	0.05	-0.15	-0.03333333333333333	0.08333333333333333	YES
B1	d	alpha_3	METRIC_ONLY	-0.11666666666666667	-0.016666666666666666	0.11666666666666667	-0.08333333333333333	YES
B1	e	alpha_4	METRIC_ONLY	0.03333333333333333	0.15	-0.05	0.06666666666666667	YES
B1	f	alpha_5	METRIC_ONLY	-0.13333333333333333	-0.016666666666666666	0.1	-0.1	YES
B1	A2_0	alpha_6	METRIC_ONLY	0.016666666666666666	0.13333333333333333	-0.06666666666666667	0.05	YES
B1	A3_0	alpha_7	METRIC_ONLY	-0.15	-0.03333333333333333	0.08333333333333333	-0.11666666666666667	YES
B1	A2_1	alpha_8	METRIC_ONLY	-0.016666666666666666	0.11666666666666667	-0.08333333333333333	0.03333333333333333	YES
B1	A3_1	alpha_9	METRIC_ONLY	0.15	-0.05	0.06666666666666667	-0.13333333333333333	YES
B1	phi	beta	PHI_ONLY	-0.016666666666666666	0.1	-0.1	0.016666666666666666	YES
B2	a	alpha_0	METRIC_ONLY	-0.016666666666666666	0.11666666666666667	-0.06666666666666667	0.06666666666666667	YES
B2	b	alpha_1	METRIC_ONLY	0.15	-0.03333333333333333	0.1	-0.08333333333333333	YES
B2	c	alpha_2	METRIC_ONLY	0.016666666666666666	0.13333333333333333	-0.05	0.08333333333333333	YES
B2	d	alpha_3	METRIC_ONLY	-0.15	-0.016666666666666666	0.11666666666666667	-0.06666666666666667	YES
B2	e	alpha_4	METRIC_ONLY	0.016666666666666666	0.15	-0.03333333333333333	0.1	YES
B2	f	alpha_5	METRIC_ONLY	-0.13333333333333333	0.016666666666666666	0.13333333333333333	-0.05	YES
B2	A2_0	alpha_6	METRIC_ONLY	0.03333333333333333	-0.15	-0.016666666666666666	0.11666666666666667	YES
B2	A3_0	alpha_7	METRIC_ONLY	-0.11666666666666667	0.016666666666666666	0.15	-0.03333333333333333	YES
B2	A2_1	alpha_8	METRIC_ONLY	0.05	-0.13333333333333333	0.016666666666666666	0.13333333333333333	YES
B2	A3_1	alpha_9	METRIC_ONLY	-0.1	0.03333333333333333	-0.15	-0.016666666666666666	YES
B2	phi	beta	PHI_ONLY	0.06666666666666667	-0.11666666666666667	0.016666666666666666	0.15	YES
B3	a	alpha_0	METRIC_ONLY	-0.1	0.05	-0.11666666666666667	0.03333333333333333	YES
B3	b	alpha_1	METRIC_ONLY	0.08333333333333333	-0.08333333333333333	0.06666666666666667	-0.1	YES
B3	c	alpha_2	METRIC_ONLY	-0.05	0.1	-0.06666666666666667	0.08333333333333333	YES
B3	d	alpha_3	METRIC_ONLY	0.13333333333333333	-0.03333333333333333	0.11666666666666667	-0.05	YES
B3	e	alpha_4	METRIC_ONLY	-0.016666666666666666	0.15	-0.016666666666666666	0.13333333333333333	YES
B3	f	alpha_5	METRIC_ONLY	-0.13333333333333333	0.016666666666666666	-0.15	-0.016666666666666666	YES
B3	A2_0	alpha_6	METRIC_ONLY	0.05	-0.11666666666666667	0.03333333333333333	-0.13333333333333333	YES
B3	A3_0	alpha_7	METRIC_ONLY	-0.08333333333333333	0.06666666666666667	-0.1	0.05	YES
B3	A2_1	alpha_8	METRIC_ONLY	0.1	-0.06666666666666667	0.08333333333333333	-0.08333333333333333	YES
B3	A3_1	alpha_9	METRIC_ONLY	-0.03333333333333333	0.11666666666666667	-0.05	0.1	YES
B3	phi	beta	PHI_ONLY	0.15	-0.016666666666666666	0.13333333333333333	-0.03333333333333333	YES
