check_id	kind	records	unique_metric_jets	unique_phi_jets	metric_expected	phi_expected	status
SWEEP_B0_P0	FIVE_LEVEL_PHI_SWEEP	S00_B0_P0;S01_B0_P0;S02_B0_P0;S03_B0_P0;S04_B0_P0	1	5	1	5	PASS
AXIS_B0_P0	ORIGIN_PLUS_PHI_AXES	O00_B0_P0;B00P_B0_P0;B00M_B0_P0	1	3	1	3	PASS
SWEEP_B0_P4	FIVE_LEVEL_PHI_SWEEP	S00_B0_P4;S01_B0_P4;S02_B0_P4;S03_B0_P4;S04_B0_P4	1	5	1	5	PASS
AXIS_B0_P4	ORIGIN_PLUS_PHI_AXES	O00_B0_P4;B00P_B0_P4;B00M_B0_P4	1	3	1	3	PASS
SWEEP_B1_P1	FIVE_LEVEL_PHI_SWEEP	S00_B1_P1;S01_B1_P1;S02_B1_P1;S03_B1_P1;S04_B1_P1	1	5	1	5	PASS
AXIS_B1_P1	ORIGIN_PLUS_PHI_AXES	O00_B1_P1;B00P_B1_P1;B00M_B1_P1	1	3	1	3	PASS
SWEEP_B1_P5	FIVE_LEVEL_PHI_SWEEP	S00_B1_P5;S01_B1_P5;S02_B1_P5;S03_B1_P5;S04_B1_P5	1	5	1	5	PASS
AXIS_B1_P5	ORIGIN_PLUS_PHI_AXES	O00_B1_P5;B00P_B1_P5;B00M_B1_P5	1	3	1	3	PASS
SWEEP_B2_P2	FIVE_LEVEL_PHI_SWEEP	S00_B2_P2;S01_B2_P2;S02_B2_P2;S03_B2_P2;S04_B2_P2	1	5	1	5	PASS
AXIS_B2_P2	ORIGIN_PLUS_PHI_AXES	O00_B2_P2;B00P_B2_P2;B00M_B2_P2	1	3	1	3	PASS
SWEEP_B2_P6	FIVE_LEVEL_PHI_SWEEP	S00_B2_P6;S01_B2_P6;S02_B2_P6;S03_B2_P6;S04_B2_P6	1	5	1	5	PASS
AXIS_B2_P6	ORIGIN_PLUS_PHI_AXES	O00_B2_P6;B00P_B2_P6;B00M_B2_P6	1	3	1	3	PASS
SWEEP_B3_P3	FIVE_LEVEL_PHI_SWEEP	S00_B3_P3;S01_B3_P3;S02_B3_P3;S03_B3_P3;S04_B3_P3	1	5	1	5	PASS
AXIS_B3_P3	ORIGIN_PLUS_PHI_AXES	O00_B3_P3;B00P_B3_P3;B00M_B3_P3	1	3	1	3	PASS
SWEEP_B3_P7	FIVE_LEVEL_PHI_SWEEP	S00_B3_P7;S01_B3_P7;S02_B3_P7;S03_B3_P7;S04_B3_P7	1	5	1	5	PASS
AXIS_B3_P7	ORIGIN_PLUS_PHI_AXES	O00_B3_P7;B00P_B3_P7;B00M_B3_P7	1	3	1	3	PASS
