design_id	metric_field	sign	records	ricci_rank_counts	curvature_operator_rank_counts	shear_rank_counts	twist_rank_counts	mixed_curvature_active	merit_filter
A00M	0	MINUS	8	4:8	5:8	0:8	0:8	8	NONE
A00P	0	PLUS	8	4:8	5:8	0:8	0:8	8	NONE
A01M	1	MINUS	8	4:8	5:8	0:8	0:8	8	NONE
A01P	1	PLUS	8	4:8	5:8	0:8	0:8	8	NONE
A02M	2	MINUS	8	4:8	3:8	0:8	0:8	8	NONE
A02P	2	PLUS	8	4:8	3:8	0:8	0:8	8	NONE
A03M	3	MINUS	8	4:8	5:8	1:8	0:8	8	NONE
A03P	3	PLUS	8	4:8	5:8	1:8	0:8	8	NONE
A04M	4	MINUS	8	4:8	5:8	1:8	0:8	8	NONE
A04P	4	PLUS	8	4:8	5:8	1:8	0:8	8	NONE
A05M	5	MINUS	8	4:8	3:8	1:8	0:8	8	NONE
A05P	5	PLUS	8	4:8	3:8	1:8	0:8	8	NONE
A06M	6	MINUS	8	4:8	5:8	1:8	1:8	8	NONE
A06P	6	PLUS	8	4:8	5:8	1:8	1:8	8	NONE
A07M	7	MINUS	8	4:8	5:8	1:8	1:8	8	NONE
A07P	7	PLUS	8	4:8	5:8	1:8	1:8	8	NONE
A08M	8	MINUS	8	4:8	5:8	1:8	1:8	8	NONE
A08P	8	PLUS	8	4:8	5:8	1:8	1:8	8	NONE
A09M	9	MINUS	8	4:8	5:8	1:8	1:8	8	NONE
A09P	9	PLUS	8	4:8	5:8	1:8	1:8	8	NONE
