configuration_id	time_active	depth_active	angular2_active	angular3_active	mixed_shift_values_active	screen_offdiagonal_active	shear_rank	twist_rank	mixed_curvature_active	dynamical_interpretation
O00_B0_P0	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
O00_B0_P4	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
O00_B1_P1	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
O00_B1_P5	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
O00_B2_P2	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
O00_B2_P6	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
O00_B3_P3	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
O00_B3_P7	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
A00P_B0_P0	YES	YES	YES	YES	YES	YES	0	0	YES	NONE_CONFIGURATION_ONLY
A00P_B0_P4	YES	YES	YES	YES	YES	YES	0	0	YES	NONE_CONFIGURATION_ONLY
A00P_B1_P1	YES	YES	YES	YES	YES	YES	0	0	YES	NONE_CONFIGURATION_ONLY
A00P_B1_P5	YES	YES	YES	YES	YES	YES	0	0	YES	NONE_CONFIGURATION_ONLY
A00P_B2_P2	YES	YES	YES	YES	YES	YES	0	0	YES	NONE_CONFIGURATION_ONLY
A00P_B2_P6	YES	YES	YES	YES	YES	YES	0	0	YES	NONE_CONFIGURATION_ONLY
A00P_B3_P3	YES	YES	YES	YES	YES	YES	0	0	YES	NONE_CONFIGURATION_ONLY
A00P_B3_P7	YES	YES	YES	YES	YES	YES	0	0	YES	NONE_CONFIGURATION_ONLY
A00M_B0_P0	YES	YES	YES	YES	YES	YES	0	0	YES	NONE_CONFIGURATION_ONLY
A00M_B0_P4	YES	YES	YES	YES	YES	YES	0	0	YES	NONE_CONFIGURATION_ONLY
A00M_B1_P1	YES	YES	YES	YES	YES	YES	0	0	YES	NONE_CONFIGURATION_ONLY
