chain_id	A	B	C	rank_AB	rank_BC	rank_AC	transition_composes	Gram_increments_add	reciprocal_character_composes	delta_beta_telescopes	nontrivial_directed_loop
C000_000_000	S000	S000	S000	0	0	0	1	1	1	1	0
C000_000_005	S000	S000	S005	0	1	1	1	1	1	1	0
C000_000_010	S000	S000	S010	0	1	1	1	1	1	1	0
C000_000_015	S000	S000	S015	0	1	1	1	1	1	1	0
C000_000_020	S000	S000	S020	0	1	1	1	1	1	1	0
C000_000_025	S000	S000	S025	0	1	1	1	1	1	1	0
C000_000_030	S000	S000	S030	0	2	2	1	1	1	1	0
C000_000_035	S000	S000	S035	0	2	2	1	1	1	1	0
C000_000_036	S000	S000	S036	0	2	2	1	1	1	1	0
C000_000_040	S000	S000	S040	0	2	2	1	1	1	1	0
C000_000_041	S000	S000	S041	0	2	2	1	1	1	1	0
C000_000_045	S000	S000	S045	0	2	2	1	1	1	1	0
C000_000_046	S000	S000	S046	0	2	2	1	1	1	1	0
C000_000_047	S000	S000	S047	0	2	2	1	1	1	1	0
C000_000_050	S000	S000	S050	0	1	1	1	1	1	1	0
C000_000_055	S000	S000	S055	0	2	2	1	1	1	1	0
C000_000_056	S000	S000	S056	0	2	2	1	1	1	1	0
C000_000_060	S000	S000	S060	0	2	2	1	1	1	1	0
C000_000_061	S000	S000	S061	0	2	2	1	1	1	1	0
C000_000_062	S000	S000	S062	0	2	2	1	1	1	1	0
C000_000_065	S000	S000	S065	0	2	2	1	1	1	1	0
C000_000_066	S000	S000	S066	0	2	2	1	1	1	1	0
C000_000_067	S000	S000	S067	0	2	2	1	1	1	1	0
C000_000_068	S000	S000	S068	0	2	2	1	1	1	1	0
C000_000_070	S000	S000	S070	0	2	2	1	1	1	1	0
C000_000_071	S000	S000	S071	0	2	2	1	1	1	1	0
C000_000_072	S000	S000	S072	0	2	2	1	1	1	1	0
C000_000_073	S000	S000	S073	0	2	2	1	1	1	1	0
C000_000_074	S000	S000	S074	0	2	2	1	1	1	1	0
C000_000_075	S000	S000	S075	0	1	1	1	1	1	1	0
C000_000_080	S000	S000	S080	0	2	2	1	1	1	1	0
C000_000_081	S000	S000	S081	0	2	2	1	1	1	1	0
C000_000_082	S000	S000	S082	0	2	2	1	1	1	1	0
C000_000_083	S000	S000	S083	0	2	2	1	1	1	1	0
C000_000_085	S000	S000	S085	0	2	2	1	1	1	1	0
C000_000_086	S000	S000	S086	0	2	2	1	1	1	1	0
C000_000_087	S000	S000	S087	0	2	2	1	1	1	1	0
C000_000_088	S000	S000	S088	0	2	2	1	1	1	1	0
C000_000_089	S000	S000	S089	0	2	2	1	1	1	1	0
C000_000_090	S000	S000	S090	0	2	2	1	1	1	1	0
C000_000_091	S000	S000	S091	0	2	2	1	1	1	1	0
C000_000_092	S000	S000	S092	0	2	2	1	1	1	1	0
C000_000_093	S000	S000	S093	0	2	2	1	1	1	1	0
C000_000_094	S000	S000	S094	0	2	2	1	1	1	1	0
C000_000_095	S000	S000	S095	0	2	2	1	1	1	1	0
C000_000_096	S000	S000	S096	0	2	2	1	1	1	1	0
C000_000_097	S000	S000	S097	0	2	2	1	1	1	1	0
C000_000_098	S000	S000	S098	0	2	2	1	1	1	1	0
C000_000_099	S000	S000	S099	0	2	2	1	1	1	1	0
C000_005_005	S000	S005	S005	1	0	1	1	1	1	1	0
C000_005_010	S000	S005	S010	1	1	1	1	1	1	1	0
C000_005_015	S000	S005	S015	1	1	1	1	1	1	1	0
C000_005_020	S000	S005	S020	1	1	1	1	1	1	1	0
C000_005_030	S000	S005	S030	1	1	2	1	1	1	1	0
C000_005_035	S000	S005	S035	1	2	2	1	1	1	1	0
C000_005_040	S000	S005	S040	1	2	2	1	1	1	1	0
C000_005_041	S000	S005	S041	1	2	2	1	1	1	1	0
C000_005_045	S000	S005	S045	1	2	2	1	1	1	1	0
C000_005_046	S000	S005	S046	1	2	2	1	1	1	1	0
C000_005_047	S000	S005	S047	1	2	2	1	1	1	1	0
C000_005_055	S000	S005	S055	1	1	2	1	1	1	1	0
C000_005_060	S000	S005	S060	1	2	2	1	1	1	1	0
C000_005_061	S000	S005	S061	1	2	2	1	1	1	1	0
C000_005_065	S000	S005	S065	1	2	2	1	1	1	1	0
C000_005_066	S000	S005	S066	1	2	2	1	1	1	1	0
C000_005_067	S000	S005	S067	1	2	2	1	1	1	1	0
C000_005_068	S000	S005	S068	1	1	2	1	1	1	1	0
C000_005_070	S000	S005	S070	1	2	2	1	1	1	1	0
C000_005_071	S000	S005	S071	1	2	2	1	1	1	1	0
C000_005_072	S000	S005	S072	1	2	2	1	1	1	1	0
C000_005_073	S000	S005	S073	1	2	2	1	1	1	1	0
C000_005_080	S000	S005	S080	1	1	2	1	1	1	1	0
C000_005_085	S000	S005	S085	1	2	2	1	1	1	1	0
C000_005_086	S000	S005	S086	1	2	2	1	1	1	1	0
C000_005_087	S000	S005	S087	1	2	2	1	1	1	1	0
C000_005_088	S000	S005	S088	1	2	2	1	1	1	1	0
C000_005_089	S000	S005	S089	1	2	2	1	1	1	1	0
C000_005_090	S000	S005	S090	1	2	2	1	1	1	1	0
C000_005_091	S000	S005	S091	1	2	2	1	1	1	1	0
C000_005_092	S000	S005	S092	1	2	2	1	1	1	1	0
C000_005_093	S000	S005	S093	1	2	2	1	1	1	1	0
C000_005_094	S000	S005	S094	1	2	2	1	1	1	1	0
C000_005_095	S000	S005	S095	1	2	2	1	1	1	1	0
C000_005_096	S000	S005	S096	1	2	2	1	1	1	1	0
C000_005_097	S000	S005	S097	1	2	2	1	1	1	1	0
C000_005_098	S000	S005	S098	1	2	2	1	1	1	1	0
C000_005_099	S000	S005	S099	1	2	2	1	1	1	1	0
C000_010_010	S000	S010	S010	1	0	1	1	1	1	1	0
C000_010_015	S000	S010	S015	1	1	1	1	1	1	1	0
C000_010_020	S000	S010	S020	1	1	1	1	1	1	1	0
C000_010_035	S000	S010	S035	1	1	2	1	1	1	1	0
C000_010_040	S000	S010	S040	1	2	2	1	1	1	1	0
C000_010_041	S000	S010	S041	1	2	2	1	1	1	1	0
C000_010_045	S000	S010	S045	1	2	2	1	1	1	1	0
C000_010_046	S000	S010	S046	1	2	2	1	1	1	1	0
