pair_id	source	target	T_source	L_source	beta_source	T_target	L_target	beta_target	gram_class	reverse_gram_class	R11	R12	R22	area_ratio	reciprocal_ratio	delta_beta
P000_000	S000	S000	4	1	-1	4	1	-1	PSD_RANK_0	PSD_RANK_0	1	0	1	1	1	0
P000_001	S000	S001	4	1	-1	4	1	-1/2	INCOMPARABLE	INCOMPARABLE	1	2	1	1	1	1/2
P000_002	S000	S002	4	1	-1	4	1	0	INCOMPARABLE	INCOMPARABLE	1	4	1	1	1	1
P000_003	S000	S003	4	1	-1	4	1	1/2	INCOMPARABLE	INCOMPARABLE	1	6	1	1	1	3/2
P000_004	S000	S004	4	1	-1	4	1	1	INCOMPARABLE	INCOMPARABLE	1	8	1	1	1	2
P000_005	S000	S005	4	1	-1	4	2	-1	PSD_RANK_1	INCOMPARABLE	1	0	2	2	1/2	0
P000_006	S000	S006	4	1	-1	4	2	-1/2	INCOMPARABLE	INCOMPARABLE	1	2	2	2	1/2	1/2
P000_007	S000	S007	4	1	-1	4	2	0	INCOMPARABLE	INCOMPARABLE	1	4	2	2	1/2	1
P000_008	S000	S008	4	1	-1	4	2	1/2	INCOMPARABLE	INCOMPARABLE	1	6	2	2	1/2	3/2
P000_009	S000	S009	4	1	-1	4	2	1	INCOMPARABLE	INCOMPARABLE	1	8	2	2	1/2	2
P000_010	S000	S010	4	1	-1	4	3	-1	PSD_RANK_1	INCOMPARABLE	1	0	3	3	1/3	0
P000_011	S000	S011	4	1	-1	4	3	-1/2	INCOMPARABLE	INCOMPARABLE	1	2	3	3	1/3	1/2
P000_012	S000	S012	4	1	-1	4	3	0	INCOMPARABLE	INCOMPARABLE	1	4	3	3	1/3	1
P000_013	S000	S013	4	1	-1	4	3	1/2	INCOMPARABLE	INCOMPARABLE	1	6	3	3	1/3	3/2
P000_014	S000	S014	4	1	-1	4	3	1	INCOMPARABLE	INCOMPARABLE	1	8	3	3	1/3	2
P000_015	S000	S015	4	1	-1	4	4	-1	PSD_RANK_1	INCOMPARABLE	1	0	4	4	1/4	0
P000_016	S000	S016	4	1	-1	4	4	-1/2	INCOMPARABLE	INCOMPARABLE	1	2	4	4	1/4	1/2
P000_017	S000	S017	4	1	-1	4	4	0	INCOMPARABLE	INCOMPARABLE	1	4	4	4	1/4	1
P000_018	S000	S018	4	1	-1	4	4	1/2	INCOMPARABLE	INCOMPARABLE	1	6	4	4	1/4	3/2
P000_019	S000	S019	4	1	-1	4	4	1	INCOMPARABLE	INCOMPARABLE	1	8	4	4	1/4	2
P000_020	S000	S020	4	1	-1	4	5	-1	PSD_RANK_1	INCOMPARABLE	1	0	5	5	1/5	0
P000_021	S000	S021	4	1	-1	4	5	-1/2	INCOMPARABLE	INCOMPARABLE	1	2	5	5	1/5	1/2
P000_022	S000	S022	4	1	-1	4	5	0	INCOMPARABLE	INCOMPARABLE	1	4	5	5	1/5	1
P000_023	S000	S023	4	1	-1	4	5	1/2	INCOMPARABLE	INCOMPARABLE	1	6	5	5	1/5	3/2
P000_024	S000	S024	4	1	-1	4	5	1	INCOMPARABLE	INCOMPARABLE	1	8	5	5	1/5	2
P000_025	S000	S025	4	1	-1	3	1	-1	PSD_RANK_1	INCOMPARABLE	3/4	0	1	3/4	3/4	0
P000_026	S000	S026	4	1	-1	3	1	-1/2	INCOMPARABLE	INCOMPARABLE	3/4	3/2	1	3/4	3/4	1/2
P000_027	S000	S027	4	1	-1	3	1	0	INCOMPARABLE	INCOMPARABLE	3/4	3	1	3/4	3/4	1
P000_028	S000	S028	4	1	-1	3	1	1/2	INCOMPARABLE	INCOMPARABLE	3/4	9/2	1	3/4	3/4	3/2
P000_029	S000	S029	4	1	-1	3	1	1	INCOMPARABLE	INCOMPARABLE	3/4	6	1	3/4	3/4	2
P000_030	S000	S030	4	1	-1	3	2	-1	PSD_RANK_2	INCOMPARABLE	3/4	0	2	3/2	3/8	0
P000_031	S000	S031	4	1	-1	3	2	-1/2	INCOMPARABLE	INCOMPARABLE	3/4	3/2	2	3/2	3/8	1/2
P000_032	S000	S032	4	1	-1	3	2	0	INCOMPARABLE	INCOMPARABLE	3/4	3	2	3/2	3/8	1
