item	status	active_use	forbidden_promotion
terminal_pair_decomposition	DERIVED_CONDITIONAL	unique positive upper-triangular coframe on supplied A-calibrated Lorentzian chord	physical chord family or arbitrary-frame invariant
complete_orchestra_Gram_image	PARENT_DERIVED	pointwise PSD2 increment from one reduced base-plus-orchestra presentation	physical arrow reversal or dynamics
c_E	OBSERVED	clock/ruler unit calibration	path selector local signal speed or network coefficient
common_A_calibration	CONDITIONAL	one shared state arena in which endpoint matrices can literally match	universal observer frame or preferred congruence
middle_state_equality	CONDITIONAL	typed composition of adjacent endpoint transitions	automatic equality of independently rebuilt pair tapes
matrix_composition	DERIVED_ALGEBRA	matched calibrated transition composition	physical branch selection or path independence
PSD_order	DERIVED_ALGEBRA	classify directed local Gram reachability	Reciprocity or invertible physical observer relation
endpoint_phi_kappa	DERIVED_CONDITIONAL	scalar differences on one common terminal-state family	universal physical point fields
beta	DERIVED_CONDITIONAL	terminal lean coordinate in declared calibration	additive invariant under arbitrary frame changes
derivatives_time_live	OPEN_INACTIVE	not needed unless zero-order composition fails	silently imported evolution
physical_relation_family	OPEN	future ownership gate	selected by algebraic composability
Xmax_action_source_matter_bootstrap_cosmology	OPEN_INACTIVE	none	downstream physics inferred from zero-order network algebra
