id	complete_slot	complete_status	WRL_assignment	reduction_status	consequence
W01	h00	FREE_METRIC_SLOT	minus_A_of_r_times_c_E_squared	RETAINED_THROUGH_ONE_FUNCTION	adapted_clock_channel
W02	h01	FREE_METRIC_SLOT	zero	FROZEN	removes_base_shift
W03	h11	FREE_METRIC_SLOT	one_over_A_of_r	TIED_TO_W01	reciprocal_base_product
W04	q22	FREE_POSITIVE_SCREEN_SLOT	r_squared	FIXED_AREAL_ROUND_SCREEN	first_angular_scale_not_free
W05	q23	FREE_POSITIVE_SCREEN_SLOT	zero	FROZEN	screen_eigendirections_fixed
W06	q33	FREE_POSITIVE_SCREEN_SLOT	r_squared_sin_squared_theta	FIXED_AREAL_ROUND_SCREEN	second_angular_scale_not_free
W07	A2_0	FREE_MIXED_SLOT	zero	FROZEN	no_time_first_screen_shift
W08	A3_0	FREE_MIXED_SLOT	zero	FROZEN	no_time_second_screen_shift
W09	A2_1	FREE_MIXED_SLOT	zero	FROZEN	no_radial_first_screen_shift
W10	A3_1	FREE_MIXED_SLOT	zero	FROZEN	no_radial_second_screen_shift
W11	coordinate_dependence	ALL_FOUR_COORDINATES	r_only	FROZEN_TO_COHOMOGENEITY_ONE	no_time_or_nontrivial_angular_dependence
W12	base_screen_split	UNSELECTED	t_r_vs_theta_azimuth	CHOSE_ADAPTED_SPLIT	not_intrinsic_complete_parent
W13	center	NO_PARENT_CENTER	r_equals_zero_areal_origin	CHOSE_BY_SPHERICAL_CHART	curvature_center_in_WRL
W14	phi_join	OPEN	phi_equals_minus_log_A_over_two	CHOSE_WITHIN_RECIPROCAL_REDUCTION	not_general_metric_phi_theorem
W15	profile	A_of_r_free_inside_simple_metric	A_equals_one_minus_r_over_X	DERIVED_CONDITIONAL_WRL	no_global_complete_branch_selection
W16	function_count	ten_metric_components	one_independent_function_A_of_r	ONE_FUNCTION_REDUCTION	nine_slot_directions_frozen_or_tied
