id	object	exact_status	scope	what_is_not_selected
M01	four_dimensional_Lorentzian_metric_parent	PINNED_BY_RECORDED_THEORY	abstract_metric_or_coframe_configuration	no_unique_coordinate_expression
M02	coframe_relation_g_equals_eT_eta_e	DERIVED_GEOMETRIC_IDENTITY	nondegenerate_coframe	no_physical_coframe_section
M03	local_connected_frame_group_SO_plus_1_3	DERIVED_ZERO_JET	one_time_oriented_tangent_space	no_global_isometry_group
M04	future_timelike_observer_rays	DERIVED_CAUSAL_FIBER	local_time_component	no_preferred_ray
M05	null_cone	DERIVED_CONDITIONAL_CONFORMAL	Lorentzian_signature	and_no_signal_or_carrier_law
M06	CSN_positive_scale	NULL_AND_TIMELIKE_DIRECTIONS_INVARIANT	pointwise_positive_Omega	no_physical_scale_representative
M07	Levi_Civita_connection	DERIVED_PER_REPRESENTATIVE	one_supplied_metric	no_action_or_dynamics
M08	curvature_derived_observer_or_split	CONDITIONAL_STRATUM_ONLY	requires_non_degenerate_spectral_or_gradient_data	no_universal_selection_across_flat_degenerate_rows
M09	conditional_2_plus_2_decomposition	COMPLETE_BOOKKEEPING_GIVEN_SPLIT	ten_metric_slots	base_screen_split_not_selected
M10	complete_coordinate_dependencies	FREE_AND_EXPLORED	all_four_coordinates	no_static_spherical_reduction
M11	phi_metric_join	OPEN	signed_local_phi_and_metric_data	no_rapidity_identification
M12	global_observer_recenter	OPEN	requires_isometry_pair_metric_or_relational_composition	no_local_to_global_promotion
