source_id	path	sha256	bytes	role
S01	AGENTS.md	e74024f82f6adf4aaed8ea15eb61d176a330abc574bc5495b43415335b3b25db	11819	binding_method
S02	udt_complete_metric_solution_space_map_2026-07-21/AUDIT_REPORT.md	890d074276533d6ffb035584406fe249ca68d50cd838f2aa9f6fa85d1b78cde4	8203	complete_parent_architecture
S03	udt_complete_metric_solution_space_map_2026-07-21/COMPLETE_METRIC_DOF_LEDGER.tsv	91a3749c65a21cadd0a63f07ea45463f9aa8d48499421e8c746a921748eedc04	5202	ten_slot_census
S04	udt_complete_metric_solution_space_map_2026-07-21/PREMISE_AND_REDUCTION_LEDGER.tsv	fb94f3d843c134cb8122c25d263d23cde3eea8db036f1473f78c90887a63352d	9476	reduction_controls
S05	udt_canonical_geometry_evaluator_p01_2026-07-21/FORMULAE_AND_INDEX_CONVENTIONS.md	7ece2ad8a0d086f0bacdc049ed42b27c5d9a25d2318841c520885ac0def6f259	2620	metric_coframe_formulae
S06	udt_canonical_geometry_evaluator_p01_2026-07-21/AUDIT_REPORT.md	32d173e755f4b9b0bc6add8971562f5e7202fa75abd7b84964f1a0fe695c4f72	5805	general_geometry_verification
S07	udt_native_coframe_composition_law_audit_2026-07-23/AUDIT_REPORT.md	b6f484a77b202b695ac76306e8d0ebf66b14f73b7eb671431c4821259a719ce8	12718	triangular_chart_group_and_gauge_limit
S08	udt_complete_metric_realization_zoomout_2026-07-23/AUDIT_REPORT.md	920201892b7902f8a84de8096b3c0c05ba9457404e3f7445915ac4ab016f1b6f	10724	metric_equivalence_layers
S09	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	923e6e4e7d9b6478f8b281f7d48f4fd46cd194c292a01540c46509ee6fc89776	11332	no_invariant_vector_and_dphi_reduction
S10	udt_reciprocal_c_metric_meaning_audit_2026-07-22/AUDIT_REPORT.md	1e63d4fcc03c793e895d9771b925a9e8a295f9e573e55ded62302693c173bc21	7649	c_E_and_frame_meaning
S11	udt_phi_metric_ontology_audit_2026-07-22/AUDIT_REPORT.md	f762051c7af6559556e6f2f68a6f85f3d4038dc9350822878619eb834ba30fee	10753	phi_join_status
S12	SIMPLE_METRIC_MACRO.md	f0c045abf9810dc327d249d0df385cd7e8d6914eedfaf5b31c78d186eaa13d44	4973	WRL_simple_metric_choices
S13	simple_metric_WR_L_center_nogo_atlas_results.md	ddb9b5753b25d94a5af015c96b871c55d8d62b0e9eeccd6af7b18214e0f0d7cb	8784	July9_pair_chart_fork
S14	simple_metric_L_principle_closure_attack_results.md	bb65f7e621c6e6f51c13c19af60dc0727d14e50fbc2a1a1522f10e03e8cf2862	5562	WRL_principle_gap
S15	udt_xmax_dilation_asymptote_correction_2026-07-23/AUDIT_REPORT.md	fd3d99c357d158021151e12013158da13b0a4c30940bcec4c60f3cc7b7277164	6959	WRL_profile_asymptote
S16	udt_observer_centered_xmax_frame_correction_2026-07-23/AUDIT_REPORT.md	91328e4fca88980cc37621b0e9d4e7f1162c079c0a1780adac853b205c945cb1	7574	crossing_and_center_correction
S17	udt_metric_to_frontier_reference_2026-07-22/REFERENCE.md	a8b27cb298a95dc1f3eabc5c4ff78b2835041a4d3dcc3e184d8ff6be47ded1e7	18350	current_synthesis
S18	CANON.md	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	current_canon
