id	question	exact_result	status	scope_limit
F01	does_zero_jet_metric_select_one_observer	no_nonzero_vector_fixed_by_three_independent_exact_boosts	DERIVED_NO_PREFERRED_ZERO_JET_OBSERVER	curvature_boundary_or_solution_data_can_select_conditionally
F02	what_is_the_local_observer_space	future_unit_hyperboloid_after_representative_calibration	DERIVED_LOCAL	csn_pre_scale_uses_timelike_rays
F03	relative_pair_scalar	gamma_equals_minus_g_u_v_over_c_E_squared	DERIVED_LOCAL_PAIRWISE	requires_two_supplied_observer_directions
F04	reciprocal_relative_magnitude	gamma_symmetric_and_beta_magnitude_equal	DERIVED_LOCAL_PAIRWISE	directions_live_in_different_rest_screens
F05	common_light_cone	all_local_orthonormal_frames_preserve_g_k_k_equals_zero	DERIVED_LOCAL_CAUSAL	no_signalling_or_material_speed_theorem
F06	collinear_composition	B_x_chi1_times_B_x_chi2_equals_B_x_chi1_plus_chi2	DERIVED_ONE_PARAMETER_SUBGROUP	does_not_cover_general_frame_composition
F07	noncollinear_composition	B_x_times_B_y_not_equal_B_y_times_B_x	DERIVED_FULL_FRAME_STRUCTURE	full_SO_plus_1_3_is_nonabelian
F08	transverse_screen_effect	exact_residual_rotation_cos_equals_40_over_41_sin_equals_9_over_41	DERIVED_METRIC_SCREEN_ROTATION	local_tangent_composition_not_curvature_force_or_Hopf
F09	angular_sector_passive_under_full_frame_reciprocity	no	REFUTED_IN_LOCAL_FRAME_GROUP	noncollinear_composition_rotates_screen
F10	additive_metric_phi_equals_observer_rapidity	not_derived	OPEN_JOIN	phi_is_distinct_local_field_or_character
F11	local_frame_reciprocity_implies_global_recenter	no	FALSE_EXCLUDED	requires_global_isometry_or_relational_pair_law
F12	global_observer_centered_metric	none_selected	OPEN	standard_tensor_metric_vs_pair_metric_ontology
F13	CSN_effect	preserves_causal_rays_and_normalized_pair_gamma	DERIVED_POINTWISE	physical_scale_section_open
F14	curvature_selected_frame	possible_on_non_degenerate_strata	CONDITIONAL_NOT_UNIVERSAL	flat_and_degenerate_configurations_select_none
F15	accelerated_frame_in_flat_metric	nonzero_a_with_unchanged_eta_and_null_cone	DERIVED_KINEMATIC_CONTROL	not_physical_metric_response
F16	acceleration_induced_physical_warp	no_response_law_present	OPEN	no_GR_equivalence_import
