id	WRL_claim	regraded_status	reason
S01	reciprocal_base_metric_A_and_one_over_A	DERIVED_CONDITIONAL_SIMPLE_METRIC	founding_reciprocal_reduction_not_complete_parent
S02	A_equals_one_minus_r_over_X	DERIVED_CONDITIONAL_WRL	profile_derivation_retains_static_spherical_areal_premises
S03	X_clock_factor_tends_zero	DERIVED_CONDITIONAL_WRL	exact_inside_reduction
S04	X_optical_depth_tends_infinity	DERIVED_CONDITIONAL_WRL	exact_inside_reduction
S05	Pantheon_linear_ceiling_near_data	OBSERVED_SCOPED	readout_of_supplied_WRL_profile_not_complete_metric_selection
S06	WRL_is_complete_UDT_metric	REFUTED_BY_REDUCTION_CENSUS	one_function_from_ten_slots_plus_dependencies
S07	WRL_configuration_space_is_closed_under_generic_observer_change	REFUTED_IN_ADAPTED_ANSATZ	generic_base_mixing_activates_cross_shift_and_time_dependence
S08	WRL_has_no_preferred_geometric_center	FALSE_FOR_FIXED_TENSOR	curvature_scalars_identify_r
S09	no_preferred_law_frame_is_refuted_by_WRL_center	FALSE_EXCLUDED	a_reduced_solution_or_chart_is_not_the_parent_law
S10	WRL_residual_pair_chart	WORKING_COMPATIBLE_INTERPRETATION	already_recorded_July9_not_canonized
S11	common_physical_Xmax_all_observers	OWNER_LOCKED_CONDITIONAL_CONSISTENCY	not_derived_by_WRL
S12	numerical_Xmax	OPEN	scale_breaking_bootstrap_missing
S13	native_mass_infinity	OPEN	observational_e_to_phi_readout_not_native_matter_mass
S14	global_hard_boundary	OPEN	WRL_centered_polarization_limit_not_complete_topology
S15	full_angular_frame_reciprocity	NOT_CONTAINED_WRL_freezes_screen_shape_and_shifts
S16	SNe_result_invalidated_by_metric_parent_correction	no	RETAINED_SCOPED_OBSERVATION	empirical_score_of_conditional_readout_survives
