claim_id	claim	status	scope
Q01	authoritative_complete_parent_is_one_WRL_coordinate_metric	REFUTED_BY_SOURCE_CENSUS	recorded_parent_is_abstract_conformal_Lorentzian_metric_coframe_class
Q02	conditional_2_plus_2_parent_has_ten_metric_slots	DERIVED_BOOKKEEPING	given_unselected_split
Q03	pointwise_Lorentzian_metric_selects_a_preferred_unit_timelike_vector	REFUTED_IN_ZERO_JET_CLASS	full_connected_Lorentz_stabilizer
Q04	local_future_observer_directions_form_one_SO_plus_1_3_orbit	DERIVED_LOCAL	time_component_supplied
Q05	pairwise_gamma_equals_minus_g_u_v_over_c_E_squared	DERIVED_LOCAL_CALIBRATED	after_representative_and_c_E_anchor
Q06	pairwise_relative_speed_magnitude_is_reciprocal	DERIVED_LOCAL	metric_symmetry
Q07	all_local_observers_share_the_same_null_cone	DERIVED_LOCAL_CONFORMAL	no_signalling_law
Q08	positive_CSN_rescaling_preserves_pair_gamma_after_renormalization	DERIVED_POINTWISE	physical_representative_open
Q09	collinear_frame_rapidities_add	DERIVED_ONE_PARAMETER_SUBGROUP	exact_SO_plus_1_1_inside_SO_plus_1_3
Q10	general_frame_composition_is_abelian	REFUTED	noncollinear_boosts_do_not_commute
Q11	noncollinear_frame_composition_generates_transverse_screen_rotation	DERIVED_LOCAL	exact_40_41_9_41_witness
Q12	screen_rotation_is_curvature_force_or_Hopf_emergence	FALSE_EXCLUDED	local_group_kinematics_only
Q13	observer_rapidity_is_the_local_UDT_phi_field	OPEN_NOT_JOINED	distinct_objects
Q14	local_frame_reciprocity_derives_global_observer_recentering	FALSE_EXCLUDED	global_isometry_or_pair_metric_required
Q15	curvature_or_global_data_can_select_a_congruence	CONDITIONAL	solution_dependent_not_parent_zero_jet
Q16	WRL_retains_all_ten_complete_metric_slots	REFUTED	one_independent_function
Q17	WRL_freezes_or_ties_nine_slot_directions	DERIVED_REDUCTION_CENSUS	conditional_2_plus_2_chart
Q18	WRL_retains_all_coordinate_dependencies	REFUTED	r_only_static_spherical
Q19	WRL_zero_shift_diagonal_areal_screen_is_metric_pure	REFUTED_AS_PARENT	adapted_reduction_choices
Q20	generic_base_coordinate_mixing_preserves_fixed_WRL_adapted_form	REFUTED_IN_CLASS	nonzero_cross_component_and_time_dependence
Q21	local_coframe_Lorentz_change_preserves_the_metric	DERIVED_GEOMETRY	does_not_supply_global_centered_chart
Q22	WRL_profile_A_equals_one_minus_r_over_X	DERIVED_CONDITIONAL_WRL	scoped_profile
Q23	WRL_X_clock_and_optical_asymptote	DERIVED_CONDITIONAL_WRL	scoped_profile
Q24	WRL_SNe_readout	OBSERVED_SCOPED	not_complete_metric_selector
Q25	common_global_Xmax	OWNER_LOCKED_CONDITIONAL_CONSISTENCY	complete_global_output_open
Q26	numerical_Xmax	OPEN	scale_selection_missing
Q27	native_mass_at_Xmax	OPEN	matter_functional_missing
Q28	complete_boundary_topology	OPEN	finite_cell_completion_unselected
Q29	accelerated_timelike_field_can_exist_with_unchanged_flat_metric	DERIVED_KINEMATIC_CONTROL	observer_choice_not_metric_response
Q30	acceleration_physically_warps_the_UDT_metric	OPEN	response_law_missing
Q31	GR_gravity_acceleration_equivalence_used	NO	excluded
Q32	WRL_center_refutes_no_preferred_frame_at_law_level	FALSE_EXCLUDED	reduction_solution_vs_parent_law_distinction
Q33	July9_pair_space_WRL_interpretation	WORKING_REDISCOVERED_NOT_NEW_CANON	historical_post_firewall_lead
Q34	complete_frame_reciprocity_has_intrinsic_angular_content	DERIVED_LOCAL_NONABELIAN	screen_rotation_under_noncollinear_composition
Q35	this_derives_carrier_action_source_or_Hopf	NO	open
