premise_id	object	statement	status	source_or_reason	forbidden_promotion
P01	metric_parent	four_dimensional_conformal_Lorentzian_metric_or_coframe_parent	PINNED_BY_THEORY	complete_metric_map_and_P01	no_unique_coordinate_metric
P02	signature	eta_equals_diag_minus_plus_plus_plus	PINNED_BY_TESTED_PARENT	P01_formulae	no_field_equation
P03	dimension	four_spacetime_dimensions	PINNED_BY_RECORDED_UDT_PARENT	current_foundation	no_dimensional_selection_theorem
P04	time_orientation	local_future_component_is_supplied_for_observer_comparison	PINNED_BY_SCOPE	local_bounded_test	no_global_time_orientation_theorem
P05	CSN	positive_common_scale_is_pre_scale_equivalence_with_physical_section_open	PINNED_BY_THEORY	current_CSN_status	no_physical_representative
P06	c_E	measured_Einsteinian_c_is_calibrated_layer_clock_length_anchor	OBSERVED_FOUNDING_ANCHOR	owner_meaning	no_foundational_signal_ontology
P07	observer_direction	every_future_timelike_ray_is_free_and_explored	FREE_AND_EXPLORED	metric_pure_scope	no_preferred_u
P08	connection	Levi_Civita_is_derived_per_metric_representative	PINNED_BY_GEOMETRY	P01_evaluator	no_selected_dynamics
P09	two_plus_two_split	base_screen_split_is_conditional_and_unselected	OPEN	complete_metric_map	no_named_reciprocal_plane
P10	phi_join	signed_local_phi_relation_to_metric_and_observer_rapidity_is_open	OPEN	metric_ontology_audits	no_identification
P11	global_observer_map	global_recenter_isometry_or_pair_metric_is_open	OPEN	current_frontier	no_local_to_global_promotion
P12	acceleration_response	acceleration_to_changed_physical_metric_law_is_open	OPEN	observer_centered_correction	no_GR_equivalence_import
P13	WRL	WRL_loaded_only_as_static_spherical_diagonal_areal_reduction	PINNED_BY_REDUCTION	SIMPLE_METRIC_MACRO.md	no_complete_metric_status
P14	WRL_profile	A_equals_one_minus_r_over_X	DERIVED_CONDITIONAL_WRL	Xmax_dilation_correction	no_global_branch_selection
P15	angular_geometry	general_screen_shape_twist_and_shifts_remain_live	FREE_AND_EXPLORED	complete_metric_DOF_ledger	no_round_S2_default
P16	time_dependence	all_four_coordinate_dependencies_live_in_parent	FREE_AND_EXPLORED	complete_metric_DOF_ledger	no_static_whole_theory
P17	action_source	no_action_EOM_source_or_carrier_loaded	OPEN	scope_control	no_dynamics_claim
P18	Xmax	common_physical_Xmax_and_numerical_scale_open	OWNER_LOCKED_CONDITIONAL_CONSISTENCY	owner_correction	no_scale_selection
P19	compute	CPU_only_exact_algebra	PINNED_BY_SCOPE	user_authorization	no_GPU
