source_id	path	role	authority_limit
S01	AGENTS.md	binding_method_and_metric_purity	no_physics_result
S02	udt_complete_metric_solution_space_map_2026-07-21/AUDIT_REPORT.md	complete_parent_architecture	plan_not_dynamics
S03	udt_complete_metric_solution_space_map_2026-07-21/COMPLETE_METRIC_DOF_LEDGER.tsv	ten_slots_and_live_dependencies	conditional_2_plus_2_split
S04	udt_complete_metric_solution_space_map_2026-07-21/PREMISE_AND_REDUCTION_LEDGER.tsv	reduction_controls	open_branches_remain_open
S05	udt_canonical_geometry_evaluator_p01_2026-07-21/FORMULAE_AND_INDEX_CONVENTIONS.md	exact_metric_coframe_interface	geometry_not_field_equation
S06	udt_canonical_geometry_evaluator_p01_2026-07-21/AUDIT_REPORT.md	verified_general_geometry_tool	no_physical_section
S07	udt_native_coframe_composition_law_audit_2026-07-23/AUDIT_REPORT.md	complete_triangular_chart_and_gauge_limit	chosen_trivialization
S08	udt_complete_metric_realization_zoomout_2026-07-23/AUDIT_REPORT.md	metric_quotient_and_realization_distinctions	no_selector
S09	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	intrinsic_metric_objects	no_named_coframe_plane
S10	udt_reciprocal_c_metric_meaning_audit_2026-07-22/AUDIT_REPORT.md	c_E_and_frame_meanings	no_global_frame_theorem
S11	udt_phi_metric_ontology_audit_2026-07-22/AUDIT_REPORT.md	phi_metric_ontology	join_open
S12	SIMPLE_METRIC_MACRO.md	WRL_parent_simple_metric_choices	bounded_macro_slice
S13	simple_metric_WR_L_center_nogo_atlas_results.md	known_center_and_pair_chart_fork	working_ontology_not_canon
S14	simple_metric_L_principle_closure_attack_results.md	WRL_principle_gap	bounded_static_spherical
S15	udt_xmax_dilation_asymptote_correction_2026-07-23/AUDIT_REPORT.md	WRL_profile_asymptote	conditional_WRL
S16	udt_observer_centered_xmax_frame_correction_2026-07-23/AUDIT_REPORT.md	current_crossing_and_center_correction	bounded_WRL_tensor
S17	udt_metric_to_frontier_reference_2026-07-22/REFERENCE.md	current_synthesis	navigation_not_new_authority
S18	CANON.md	current_canon_and_WRL_scope	Charles_only_canonizes
