catch_id	mutation	expected_result	reason
C01	promote_WRL_to_complete_metric_parent	FAIL	source_census_names_abstract_parent
C02	promote_zero_jet_no_preferred_vector_to_global_homogeneity	FAIL	solutions_can_have_curvature_structure
C03	promote_local_Lorentz_orbit_to_global_recenter_isometry	FAIL	local_and_global_categories_differ
C04	identify_observer_rapidity_with_metric_phi	FAIL	join_not_derived
C05	extend_collinear_additive_law_to_full_SO_plus_1_3	FAIL	noncollinear_composition_noncommutes
C06	call_screen_rotation_curvature	FAIL	fixed_tangent_metric_group_composition
C07	call_screen_rotation_Hopf_carrier	FAIL	no_bundle_section_topology_or_dynamics
C08	select_physical_CSN_representative	FAIL	CSN_section_open
C09	select_2_plus_2_split_intrinsically	FAIL	conditional_bookkeeping_only
C10	call_WRL_adapted_chart_closed_under_generic_observer_change	FAIL	cross_shift_witness
C11	call_zero_shift_metric_pure	FAIL	frozen_WRL_choice
C12	call_round_areal_screen_complete_angular_geometry	FAIL	q_shape_and_shifts_frozen
C13	call_staticity_complete_metric_theorem	FAIL	parent_has_all_coordinate_dependencies
C14	call_accelerated_frame_changed_metric	FAIL	flat_accelerated_control
C15	import_GR_equivalence_principle	FAIL	not_used_or_derived
C16	call_SNe_readout_complete_metric_selection	FAIL	conditional_profile_scoring_only
C17	promote_common_Xmax_to_derived_scale	FAIL	global_scale_open
C18	promote_native_mass_or_boundary_closure	FAIL	action_source_topology_open
C19	claim_parent_metric_has_no_conditional_curvature_selected_frames	FAIL	zero_jet_theorem_does_not_cover_higher_jets
C20	claim_WRL_SNe_observation_invalidated	FAIL	scoped_empirical_result_survives
C21	claim_full_frame_group_has_no_angular_effect	FAIL	exact_9_over_41_screen_rotation
C22	call_local_null_cone_a_material_signal_law	FAIL	carrier_and_signalling_ontology_open
